,1,2,3,4,5,6,7,8,9
6.0,4844882,7940595,4740622,6768772,6413104,4836060,7940595,4836060,6445790
17.0,5029342,8239875,4928290,7023058,6657972,5017713,8239875,5017713,6691766
27.0,5197361,8511420,5091096,7254630,6777636,5183326,8511420,5183326,6893976
