,A,B,C,D,E,EF,F,G,H
8.0,16020,15779,14485,14521,14677,16504,14416,16449,15694
20.0,16845,16484,15185,15019,15302,17352,15116,16484,16407
32.0,17353,16997,15904,15893,16008,18123,15834,16997,16575
