,A,B,C,D,E,EF,F,G,H
8.0,13937400,13522603,7865355,7783256,7866872,19540736,7827888,14096793,13653780
20.0,14469855,14126788,8245455,8050184,8201872,20544768,8207988,14126788,14093613
32.0,14906227,14566429,8635872,8518648,8580288,21457632,8597862,14566429,14237925
