,A,AB,B,C,D,E,F,G
16.0,7758576,20866320,11290032,11517688,12546235,13040820,11228094,11252250
30.0,8232780,21509888,11349364,11663704,13455193,13469820,11964024,11621475
45.0,8718336,23643081,12054828,12525604,14534275,14829480,12273714,12495600
