,A,B,B & C,BC,C,D,E,F,G,H
14.0,11853,11572,11906,11906,11399,11739,11753,11492,11469,12593
28.0,12338,11841,12505,12505,11398,12077,12099,11602,11756,12492
42.0,13463,12452,13075,13075,12048,12658,12497,12337,12123,13009
