,A,B,C,D,E,F,G,H
7.0,5434020,5436108,7314484,7275647,5298648,5461860,6965498,7278929
15.0,5601756,5593752,7535472,7492259,5370336,5500140,7071069,7495541
23.0,5765664,5756616,7758101,7743879,5532852,5641776,7281117,7748255
