,A,B,C,D,E,F,G,GH,H
16.0,13081590,12419775,11100981,10996668,10996668,7983888,8044972,17795598,8441784
30.0,12000970,11582100,11655315,10212804,10316088,8239968,8484608,16187896,8928810
43.0,13150725,12285911,11443524,10599264,10712808,8549904,8617180,17193102,9418446
