,A,B,C,CD,D,E,EF,F,G,H
16.0,8357742,8726696,8683488,19348536,10834560,10297620,20271615,10751628,10736646,8506998
28.0,8421948,9065724,9007680,20069712,11167668,10517868,20986875,11085318,10887828,8948838
40.0,8653194,9176812,8838192,20771560,11357136,10979568,21728070,11231733,11276679,9159238
