,A,B,C,CD,D,E,EF,F,G,H
16.0,522,524,528,1208,684,684,1365,681,681,526
28.0,522,524,528,1208,684,684,1365,681,681,526
40.0,522,524,528,1208,684,684,1365,681,681,526
