,A,B,D,E,F,G,H,J,K
5.0,12512,12185,11426,11645,12549,12235,11597,11645,11688
12.0,12846,12507,11671,12598,13107,12776,12474,11854,12546
19.0,13162,12806,11950,12895,13234,13073,12768,12895,12864
