,A,B,C,D,E,F,G,GH,H
16.0,16113,15496,15082,15372,15372,15605,16149,16508,16109
28.0,16441,16013,15833,16337,16170,16246,15729,17045,16034
40.0,16819,16639,16458,17074,16795,16806,16355,17722,16659
