,A,AB,B,C,D,E,EF,F,G
17.0,17468,18444,16703,17493,16144,17969,19858,18584,17504
30.0,18125,19774,17068,18702,18407,18795,20946,19296,18713
45.0,19110,20928,18059,19749,19257,20027,,20415,19761
