,A,AB,B,C,D,E,EF,F,G
17.0,11266860,21450372,8652154,11685324,10655040,13818161,30760042,14495520,11815200
30.0,11690625,22997162,8841224,12492936,12148620,14453355,32445354,15359616,12631275
45.0,12325950,24339264,9354562,13192332,12709620,15721195,,16250340,13338675
