,A,B,C,CD,D,E,EF,F,G,H
8.0,13034340,13679434,8136855,17594133,8097352,8133264,17594133,7897392,12723879,13206266
20.0,13489736,14697550,8509353,18468885,8467728,8672480,18498499,8230251,13178089,14012867
32.0,13962186,15091770,8982849,19326552,8855256,8837032,19348193,8825379,14313614,14348736
