,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,nfa_avg,lumpSum_change,npsf_change
2020-12-15,25867144.546907127,13526.0,"PERFETTO SENSO(Block 28,Phase 3,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,3期,28座(凱濤),100 青山公路青龍頭段",27199466.60787268,14054.0,1418.0,24534822.48594157,12998.0,1383.0,,0.014760531209556449,0.039142626666154534
2020-11-15,25490885.53540259,13016.5,"PERFETTO SENSO(Block 28,Phase 3,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,3期,28座(凱濤),100 青山公路青龍頭段",26806544.56297334,13526.0,1418.0,24175226.50783184,12507.0,1383.0,,0.28080489813783327,0.3051085376247056
2020-10-15,19902239.26568666,9973.5,"PERFETTO SENSO(Block 28,Phase 3,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,3期,28座(凱濤),100 青山公路青龍頭段",20764216.305073645,10281.0,1418.0,19040262.226299673,9666.0,1383.0,,-0.0262907472691134,-0.001701616535708883
2020-9-15,20439611.93741191,9990.5,"PERFETTO SENSO(Block 28,Phase 3,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,3期,28座(凱濤),100 青山公路青龍頭段",21321747.52435452,10297.0,1418.0,19557476.3504693,9684.0,1383.0,,0.032994974105124975,0.03287671232876721
2020-8-15,19786748.67718362,9672.5,"PERFETTO SENSO(Block 28,Phase 3,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,3期,28座(凱濤),100 青山公路青龍頭段",20429671.275763374,9866.0,1418.0,19143826.078603867,9479.0,1383.0,,-0.009743653779112682,0.0001551028849136049
2020-7-15,19981440.919511132,9671.0,"PERFETTO SENSO(Block 28,Phase 3,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,3期,28座(凱濤),100 青山公路青龍頭段",20625589.60382249,9862.0,1418.0,19337292.23519978,9480.0,1383.0,,-0.0011260481870423167,-0.001548626884162685
2020-6-15,20003966.349552702,9686.0,"PERFETTO SENSO(Block 28,Phase 3,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,3期,28座(凱濤),100 青山公路青龍頭段",20489293.25039659,9800.0,1418.0,19518639.448708814,9572.0,1383.0,,-0.008633559570586202,0.07550521874306027
2020-5-15,20178175.832629472,9006.0,"PERFETTO SENSO(Block 28,Phase 3,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,3期,28座(凱濤),100 青山公路青龍頭段",21023741.43587084,9271.0,1418.0,19332610.229388103,8741.0,1383.0,,0.026904623028946695,-0.003154574132492094
2020-4-15,19649513.09023436,9034.5,"PERFETTO SENSO(Block 28,Phase 3,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,3期,28座(凱濤),100 青山公路青龍頭段",20470016.298437666,9299.0,1418.0,18829009.882031057,8770.0,1383.0,,-0.00540486909152238,0.017971830985915593
2020-3-15,19756293.269087505,8875.0,"PERFETTO SENSO(Block 28,Phase 3,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,3期,28座(凱濤),100 青山公路青龍頭段",20577184.372618847,9133.0,1418.0,18935402.165556163,8617.0,1383.0,,0.029732519995469664,-0.03132503820126609
2020-2-15,19185849.611872435,9162.0,"PERFETTO SENSO(Block 28,Phase 3,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,3期,28座(凱濤),100 青山公路青龍頭段",19980227.987737022,9427.0,1418.0,18391471.236007843,8897.0,1383.0,,-0.04465822521990659,0.045592011412268096
