,lumpSum_avg,npsf_avg,final_address,lumpSum_A1,npsf_A1,nfa_A1,lumpSum_A2,npsf_A2,nfa_A2,lumpSum_A3,npsf_A3,nfa_A3,lumpSum_A5,npsf_A5,nfa_A5,lumpSum_A6,npsf_A6,nfa_A6,lumpSum_B1,npsf_B1,nfa_B1,lumpSum_B2,npsf_B2,nfa_B2,lumpSum_B3,npsf_B3,nfa_B3,nfa_avg,lumpSum_change,npsf_change
2020-12-15,6547033.875,13558.375,"WETLAND SEASONS PARK(Phase 3),Block 7,WETLAND PARK RD|WETLAND SEASONS PARK3期,7座,濕地公園路",6582564.0,13218.0,498.0,6584744.0,14764.0,446.0,6609720.0,13380.0,494.0,5918400.0,13700.0,432.0,8822692.0,13388.0,659.0,6521460.0,13530.0,482.0,5745477.0,13269.0,433.0,5591214.0,13218.0,423.0,,-0.005251687816639206,-0.005254952311078531
2020-11-15,6581598.375,13630.0,"WETLAND SEASONS PARK(Phase 3),Block 7,WETLAND PARK RD|WETLAND SEASONS PARK3期,7座,濕地公園路",6617424.0,13288.0,498.0,6619532.0,14842.0,446.0,6644300.0,13450.0,494.0,5950800.000000001,13775.0,432.0,8868822.0,13458.0,659.0,6556164.0,13602.0,482.0,5774921.0,13337.0,433.0,5620824.0,13288.0,423.0,,-0.022002915224344388,-0.022001381252634733
2020-10-15,6729670.75,13936.625,"WETLAND SEASONS PARK(Phase 3),Block 7,WETLAND PARK RD|WETLAND SEASONS PARK3期,7座,濕地公園路",6766326.0,13587.0,498.0,6768496.0,15176.0,446.0,6793982.0,13753.0,494.0,6085584.0,14087.0,432.0,9068499.0,13761.0,659.0,6703656.0,13908.0,482.0,5903522.0,13634.0,433.0,5747301.0,13587.0,423.0,,0.013267794937086963,0.013268746648732677
2020-9-15,6641552.0,13754.125,"WETLAND SEASONS PARK(Phase 3),Block 7,WETLAND PARK RD|WETLAND SEASONS PARK3期,7座,濕地公園路",6677682.0,13409.0,498.0,6679742.0,14977.0,446.0,6705062.0,13573.0,494.0,6005664.0,13902.0,432.0,8949879.0,13581.0,659.0,6615932.000000001,13726.0,482.0,5826448.0,13456.0,433.0,5672007.0,13409.0,423.0,,0.0196646816382382,0.019664353031664916
2020-8-15,6513466.75,13488.875,"WETLAND SEASONS PARK(Phase 3),Block 7,WETLAND PARK RD|WETLAND SEASONS PARK3期,7座,濕地公園路",6549198.0,13151.0,498.0,6550848.0,14688.0,446.0,6575634.0,13311.0,494.0,5889024.0,13632.0,432.0,8777221.0,13319.0,659.0,6488202.0,13461.0,482.0,5714734.0,13198.0,433.0,5562873.0,13151.0,423.0,,-0.049912884837341465,-0.049911956330339846
2020-7-15,6855652.125,14197.5,"WETLAND SEASONS PARK(Phase 3),Block 7,WETLAND PARK RD|WETLAND SEASONS PARK3期,7座,濕地公園路",6892818.0,13841.0,498.0,6895160.0,15460.0,446.0,6921434.0,14011.0,494.0,6197040.0,14345.0,432.0,9238521.0,14019.0,659.0,6828976.0,14168.0,482.0,6016102.0,13894.0,433.0,5855166.0,13842.0,423.0,,0.020210827607485937,0.02021018593371049
2020-6-15,6719838.625,13916.25,"WETLAND SEASONS PARK(Phase 3),Block 7,WETLAND PARK RD|WETLAND SEASONS PARK3期,7座,濕地公園路",6756366.0,13567.0,498.0,6758684.0,15154.0,446.0,6784102.0,13733.0,494.0,6073487.999999999,14059.0,432.0,9055319.0,13741.0,659.0,6694016.0,13888.0,482.0,5897893.0,13621.0,433.0,5738841.0,13567.0,423.0,,0.010528204837181532,0.010529182173005358
2020-5-15,6649827.875,13771.25,"WETLAND SEASONS PARK(Phase 3),Block 7,WETLAND PARK RD|WETLAND SEASONS PARK3期,7座,濕地公園路",6686148.0,13426.0,498.0,6688216.0,14996.0,446.0,6713460.0,13590.0,494.0,6009120.0,13910.0,432.0,8961082.0,13598.0,659.0,6624126.0,13743.0,482.0,5837273.0,13481.0,433.0,5679198.0,13426.0,423.0,,0.007120335764437158,0.007121243978023717
2020-4-15,6602813.625,13673.875,"WETLAND SEASONS PARK(Phase 3),Block 7,WETLAND PARK RD|WETLAND SEASONS PARK3期,7座,濕地公園路",6638838.0,13331.0,498.0,6640940.0,14890.0,446.0,6666036.0,13494.0,494.0,5965488.0,13809.0,432.0,8897818.0,13502.0,659.0,6577372.0,13646.0,482.0,5797004.0,13388.0,433.0,5639013.0,13331.0,423.0,,0.01832993571986763,0.018329578671035796
2020-3-15,6483963.0,13427.75,"WETLAND SEASONS PARK(Phase 3),Block 7,WETLAND PARK RD|WETLAND SEASONS PARK3期,7座,濕地公園路",6519318.0,13091.0,498.0,6521412.0,14622.0,446.0,6545994.0,13251.0,494.0,5857056.0,13558.0,432.0,8737681.0,13259.0,659.0,6458800.0,13400.0,482.0,5693950.0,13150.0,433.0,5537493.0,13091.0,423.0,,0.005447770090122983,0.0054473979782851956
2020-2-15,6448831.25,13355.0,"WETLAND SEASONS PARK(Phase 3),Block 7,WETLAND PARK RD|WETLAND SEASONS PARK3期,7座,濕地公園路",6483960.0,13020.0,498.0,6486178.0,14543.0,446.0,6510426.0,13179.0,494.0,5824224.0,13482.0,432.0,8690233.0,13187.0,659.0,6424096.0,13328.0,482.0,5664073.0,13081.0,433.0,5507460.0,13020.0,423.0,,-0.023277360517093393,-0.02327537344815611
