,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_change,npsf_change
2019-12-15,12076715.0,12376.666666666666,3,36230145.0,37130.0,3001,"WETLAND SEASONS PARK(Block V5),WETLAND PARK RD|WETLAND SEASONS PARKV5座,濕地公園路",10144080.0,13140.0,772.0,12629688.0,9929.0,1272.0,13456377.0,14061.0,957.0,-0.00027993705348383635,-0.0002692514808831925
2019-11-15,12080096.666666666,12380.0,3,36240290.0,37140.0,3001,"WETLAND SEASONS PARK(Block V5),WETLAND PARK RD|WETLAND SEASONS PARKV5座,濕地公園路",10145624.0,13142.0,772.0,12633504.0,9932.0,1272.0,13461162.0,14066.0,957.0,0.02020180466174426,0.020217558510053912
2019-10-15,11840889.333333334,12134.666666666666,3,35522668.0,36404.0,3001,"WETLAND SEASONS PARK(Block V5),WETLAND PARK RD|WETLAND SEASONS PARKV5座,濕地公園路",9943360.000000002,12880.0,772.0,12384192.0,9736.0,1272.0,13195116.0,13788.0,957.0,0.010820976249397818,0.010829122008108039
2019-9-15,11714131.0,12004.666666666666,3,35142393.0,36014.0,3001,"WETLAND SEASONS PARK(Block V5),WETLAND PARK RD|WETLAND SEASONS PARKV5座,濕地公園路",9836052.0,12741.0,772.0,12251904.0,9632.0,1272.0,13054437.0,13641.0,957.0,-0.05002142712694013,-0.050914457386812884
2019-8-15,12330942.333333334,12648.666666666666,3,36992827.0,37946.0,3001,"WETLAND SEASONS PARK(Block V5),WETLAND PARK RD|WETLAND SEASONS PARKV5座,濕地公園路",10394980.0,13465.0,772.0,12798864.0,10062.0,1272.0,13798983.0,14419.0,957.0,0.04116852455122211,0.04118534778433247
2019-7-15,11843368.333333334,12148.333333333334,3,35530105.0,36445.0,3001,"WETLAND SEASONS PARK(Block V5),WETLAND PARK RD|WETLAND SEASONS PARKV5座,濕地公園路",9982732.0,12931.0,772.0,12293880.0,9665.0,1272.0,13253493.0,13849.0,957.0,-0.044131868089296145,-0.04411571851968421
2019-6-15,12390169.666666666,12709.0,3,37170509.0,38127.0,3001,"WETLAND SEASONS PARK(Block V5),WETLAND PARK RD|WETLAND SEASONS PARKV5座,濕地公園路",10442072.0,13526.0,772.0,12862464.0,10112.0,1272.0,13865973.0,14489.0,957.0,0.002536487769262852,0.0025506179332106527
2019-5-15,12358821.666666666,12676.666666666666,3,37076465.0,38030.0,3001,"WETLAND SEASONS PARK(Block V5),WETLAND PARK RD|WETLAND SEASONS PARKV5座,濕地公園路",10414280.0,13490.0,772.0,12830664.0,10087.0,1272.0,13831521.0,14453.0,957.0,-0.002498860216695764,-0.0021777346312282786
2019-4-15,12389782.0,12704.333333333334,3,37169346.0,38113.0,3001,"WETLAND SEASONS PARK(Block V5),WETLAND PARK RD|WETLAND SEASONS PARKV5座,濕地公園路",10408104.0,13482.0,772.0,12879000.0,10125.0,1272.0,13882242.0,14506.0,957.0,0.06062392778293768,0.06063894918461621
2019-3-15,11681597.666666666,11978.0,3,35044793.0,35934.0,3001,"WETLAND SEASONS PARK(Block V5),WETLAND PARK RD|WETLAND SEASONS PARKV5座,濕地公園路",9812120.0,12710.0,772.0,12143784.0,9547.0,1272.0,13088889.0,13677.0,957.0,0.03860716340586445,0.038614948840973495
2019-2-15,11247368.666666666,11532.666666666666,3,33742106.0,34598.0,3001,"WETLAND SEASONS PARK(Block V5),WETLAND PARK RD|WETLAND SEASONS PARKV5座,濕地公園路",9446192.0,12236.0,772.0,11692224.0,9192.0,1272.0,12603689.999999998,13170.0,957.0,0.009163252504222452,0.009188227401335958
2019-1-15,11145242.0,11427.666666666666,3,33435726.0,34283.0,3001,"WETLAND SEASONS PARK(Block V5),WETLAND PARK RD|WETLAND SEASONS PARKV5座,濕地公園路",9358956.0,12123.0,772.0,11587920.0,9110.0,1272.0,12488850.0,13050.0,957.0,0.05643849975783177,0.056454346553264756
2018-12-15,10549825.666666666,10817.0,3,31649477.0,32451.0,3001,"WETLAND SEASONS PARK(Block V5),WETLAND PARK RD|WETLAND SEASONS PARKV5座,濕地公園路",8857928.0,11474.0,772.0,10969728.000000002,8624.0,1272.0,11821821.0,12353.0,957.0,,
2018-11-15,,,3,,,3001,"WETLAND SEASONS PARK(Block V5),WETLAND PARK RD|WETLAND SEASONS PARKV5座,濕地公園路",,,772.0,,,1272.0,,,957.0,,
2018-10-15,,,3,,,3001,"WETLAND SEASONS PARK(Block V5),WETLAND PARK RD|WETLAND SEASONS PARKV5座,濕地公園路",,,772.0,,,1272.0,,,957.0,,
2018-9-15,,,3,,,3001,"WETLAND SEASONS PARK(Block V5),WETLAND PARK RD|WETLAND SEASONS PARKV5座,濕地公園路",,,772.0,,,1272.0,,,957.0,,
2018-8-15,,,3,,,3001,"WETLAND SEASONS PARK(Block V5),WETLAND PARK RD|WETLAND SEASONS PARKV5座,濕地公園路",,,772.0,,,1272.0,,,957.0,,
2018-7-15,,,3,,,3001,"WETLAND SEASONS PARK(Block V5),WETLAND PARK RD|WETLAND SEASONS PARKV5座,濕地公園路",,,772.0,,,1272.0,,,957.0,,
2018-6-15,,,3,,,3001,"WETLAND SEASONS PARK(Block V5),WETLAND PARK RD|WETLAND SEASONS PARKV5座,濕地公園路",,,772.0,,,1272.0,,,957.0,,
2018-5-15,,,3,,,3001,"WETLAND SEASONS PARK(Block V5),WETLAND PARK RD|WETLAND SEASONS PARKV5座,濕地公園路",,,772.0,,,1272.0,,,957.0,,
2018-4-15,,,3,,,3001,"WETLAND SEASONS PARK(Block V5),WETLAND PARK RD|WETLAND SEASONS PARKV5座,濕地公園路",,,772.0,,,1272.0,,,957.0,,
2018-3-15,,,3,,,3001,"WETLAND SEASONS PARK(Block V5),WETLAND PARK RD|WETLAND SEASONS PARKV5座,濕地公園路",,,772.0,,,1272.0,,,957.0,,
2018-2-15,,,3,,,3001,"WETLAND SEASONS PARK(Block V5),WETLAND PARK RD|WETLAND SEASONS PARKV5座,濕地公園路",,,772.0,,,1272.0,,,957.0,,
