,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A1,npsf_A1,nfa_A1,lumpSum_A2,npsf_A2,nfa_A2,lumpSum_A3,npsf_A3,nfa_A3,lumpSum_A5,npsf_A5,nfa_A5,lumpSum_B1,npsf_B1,nfa_B1,lumpSum_B2,npsf_B2,nfa_B2,lumpSum_B3,npsf_B3,nfa_B3,lumpSum_B5,npsf_B5,nfa_B5,lumpSum_B6,npsf_B6,nfa_B6,lumpSum_change,npsf_change
2019-12-15,7053164.888888889,14957.666666666666,9,63478484.0,134619.0,4338,"WETLAND SEASONS PARK(Block 9),WETLAND PARK RD|WETLAND SEASONS PARK9座,濕地公園路",6930240.0,14438.0,480.0,5853431.999999999,18761.0,312.0,9491868.0,13877.0,684.0,9365328.0,13692.0,684.0,4695444.0,14859.0,316.0,7516926.0,13998.0,537.0,6402894.0,16251.0,394.0,7125990.0,13270.0,537.0,6096362.0,15473.0,394.0,-0.0002819373058491337,-0.00027477423954369584
2019-11-15,7055154.0,14961.777777777777,9,63496386.0,134656.0,4338,"WETLAND SEASONS PARK(Block 9),WETLAND PARK RD|WETLAND SEASONS PARK9座,濕地公園路",6932639.999999999,14443.0,480.0,5855304.0,18767.0,312.0,9494604.0,13881.0,684.0,9368063.999999998,13696.0,684.0,4695760.0,14860.0,316.0,7518537.0,14001.0,537.0,6404470.0,16255.0,394.0,7128675.0,13275.0,537.0,6098332.0,15478.0,394.0,0.020172758979047467,0.0201907705828428
2019-10-15,6915646.333333333,14665.666666666666,9,62240817.0,131991.0,4338,"WETLAND SEASONS PARK(Block 9),WETLAND PARK RD|WETLAND SEASONS PARK9座,濕地公園路",6795360.0,14157.0,480.0,5739864.0,18397.0,312.0,9307872.0,13608.0,684.0,9183384.0,13426.0,684.0,4601592.000000001,14562.0,316.0,7369788.0,13724.0,537.0,6277208.0,15932.0,394.0,6987981.0,13013.0,537.0,5977768.0,15172.0,394.0,0.01034377810661491,0.010496095544326955
2019-9-15,6844844.777777778,14513.333333333334,9,61603603.0,130620.0,4338,"WETLAND SEASONS PARK(Block 9),WETLAND PARK RD|WETLAND SEASONS PARK9座,濕地公園路",6722880.0,14006.0,480.0,5678712.0,18201.0,312.0,9208692.0,13463.0,684.0,9113616.0,13324.0,684.0,4551348.0,14403.0,316.0,7290849.0,13577.0,537.0,6209834.0,15761.0,394.0,6913338.0,12874.0,537.0,5914334.0,15011.0,394.0,-0.05392290269700828,-0.05391017144347143
2019-8-15,7234975.666666667,15340.333333333334,9,65114781.0,138063.0,4338,"WETLAND SEASONS PARK(Block 9),WETLAND PARK RD|WETLAND SEASONS PARK9座,濕地公園路",7106400.000000001,14805.0,480.0,6002568.0,19239.0,312.0,9734004.0,14231.0,684.0,9633456.0,14084.0,684.0,4809520.0,15220.0,316.0,7705950.0,14350.0,537.0,6563252.0,16658.0,394.0,7308033.0,13609.0,537.0,6251598.0,15867.0,394.0,0.041182483470103115,0.04119909502262442
2019-7-15,6948806.555555556,14733.333333333334,9,62539259.0,132600.0,4338,"WETLAND SEASONS PARK(Block 9),WETLAND PARK RD|WETLAND SEASONS PARK9座,濕地公園路",6825600.0,14220.0,480.0,5765448.0,18479.0,312.0,9349596.000000002,13669.0,684.0,9253152.0,13528.0,684.0,4618024.0,14614.0,316.0,7400934.0,13782.0,537.0,6302818.0,15997.0,394.0,7019127.0,13071.0,537.0,6004560.0,15240.0,394.0,-0.044105047955497745,-0.044096974415536616
2019-6-15,7269424.888888889,15413.0,9,65424824.0,138717.0,4338,"WETLAND SEASONS PARK(Block 9),WETLAND PARK RD|WETLAND SEASONS PARK9座,濕地公園路",7140480.0,14876.0,480.0,6031896.0,19333.0,312.0,9781200.0,14300.0,684.0,9680652.0,14153.0,684.0,4830060.0,15285.0,316.0,7741929.0,14417.0,537.0,6593196.0,16734.0,394.0,7343475.0,13675.0,537.0,6281936.0,15944.0,394.0,0.0025049129385157354,0.002515014201157628
2019-5-15,7251261.111111111,15374.333333333334,9,65261350.0,138369.0,4338,"WETLAND SEASONS PARK(Block 9),WETLAND PARK RD|WETLAND SEASONS PARK9座,濕地公園路",7122720.0,14839.0,480.0,6017232.0,19286.0,312.0,9757260.0,14265.0,684.0,9656712.0,14118.0,684.0,4816788.0,15243.0,316.0,7722597.0,14381.0,537.0,6576254.0,16691.0,394.0,7325217.0,13641.0,537.0,6266570.0,15905.0,394.0,-0.0036358751940358536,-0.003622040440117491
2019-4-15,7277722.0,15430.222222222223,9,65499498.0,138872.0,4338,"WETLAND SEASONS PARK(Block 9),WETLAND PARK RD|WETLAND SEASONS PARK9座,濕地公園路",7149120.0,14894.0,480.0,6039384.0,19357.0,312.0,9793512.0,14318.0,684.0,9692280.0,14170.0,684.0,4832904.0,15294.0,316.0,7749984.0,14432.0,537.0,6599894.0,16751.0,394.0,7352604.0,13692.0,537.0,6289816.0,15964.0,394.0,,
2019-3-15,,,9,,,4338,"WETLAND SEASONS PARK(Block 9),WETLAND PARK RD|WETLAND SEASONS PARK9座,濕地公園路",,,480.0,,,312.0,,,684.0,,,684.0,,,316.0,,,537.0,,,394.0,,,537.0,,,394.0,,
2019-2-15,,,9,,,4338,"WETLAND SEASONS PARK(Block 9),WETLAND PARK RD|WETLAND SEASONS PARK9座,濕地公園路",,,480.0,,,312.0,,,684.0,,,684.0,,,316.0,,,537.0,,,394.0,,,537.0,,,394.0,,
2019-1-15,,,9,,,4338,"WETLAND SEASONS PARK(Block 9),WETLAND PARK RD|WETLAND SEASONS PARK9座,濕地公園路",,,480.0,,,312.0,,,684.0,,,684.0,,,316.0,,,537.0,,,394.0,,,537.0,,,394.0,,
2018-12-15,,,9,,,4338,"WETLAND SEASONS PARK(Block 9),WETLAND PARK RD|WETLAND SEASONS PARK9座,濕地公園路",,,480.0,,,312.0,,,684.0,,,684.0,,,316.0,,,537.0,,,394.0,,,537.0,,,394.0,,
2018-11-15,,,9,,,4338,"WETLAND SEASONS PARK(Block 9),WETLAND PARK RD|WETLAND SEASONS PARK9座,濕地公園路",,,480.0,,,312.0,,,684.0,,,684.0,,,316.0,,,537.0,,,394.0,,,537.0,,,394.0,,
2018-10-15,,,9,,,4338,"WETLAND SEASONS PARK(Block 9),WETLAND PARK RD|WETLAND SEASONS PARK9座,濕地公園路",,,480.0,,,312.0,,,684.0,,,684.0,,,316.0,,,537.0,,,394.0,,,537.0,,,394.0,,
