,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,nfa_avg,lumpSum_change,npsf_change
2020-12-15,11801466.333333334,12094.0,"WETLAND SEASONS PARK(Phase 2),Block V5,WETLAND PARK RD|WETLAND SEASONS PARK2期,V5座,濕地公園路",9906304.0,12832.0,772.0,12342216.0,9703.0,1272.0,13155879.0,13747.0,957.0,,-0.005282054595925012,-0.00529129540781359
2020-11-15,11864133.333333334,12158.333333333334,"WETLAND SEASONS PARK(Phase 2),Block V5,WETLAND PARK RD|WETLAND SEASONS PARK2期,V5座,濕地公園路",9959572.0,12901.0,772.0,12407088.0,9754.0,1272.0,13225739.999999998,13820.0,957.0,,-0.022026119181835835,-0.02203930611041105
2020-10-15,12131339.666666666,12432.333333333334,"WETLAND SEASONS PARK(Phase 2),Block V5,WETLAND PARK RD|WETLAND SEASONS PARK2期,V5座,濕地公園路",10184996.0,13193.0,772.0,12685656.0,9973.0,1272.0,13523367.0,14131.0,957.0,,0.013158977878631406,0.013147529405373115
2020-9-15,11973777.0,12271.0,"WETLAND SEASONS PARK(Phase 2),Block V5,WETLAND PARK RD|WETLAND SEASONS PARK2期,V5座,濕地公園路",10053756.0,13023.0,772.0,12520296.0,9843.0,1272.0,13347279.0,13947.0,957.0,,0.019623650191215036,0.019609472372247527
2020-8-15,11743330.0,12035.0,"WETLAND SEASONS PARK(Phase 2),Block V5,WETLAND PARK RD|WETLAND SEASONS PARK2期,V5座,濕地公園路",9861528.0,12774.0,772.0,12278616.0,9653.0,1272.0,13089846.0,13678.0,957.0,,-0.04993277524126816,-0.049943425519037965
2020-7-15,12360525.333333334,12667.666666666666,"WETLAND SEASONS PARK(Phase 2),Block V5,WETLAND PARK RD|WETLAND SEASONS PARK2期,V5座,濕地公園路",10381084.0,13447.0,772.0,12923520.0,10160.0,1272.0,13776972.0,14396.0,957.0,,0.02016576769067102,0.020159991409857136
2020-6-15,12116193.0,12417.333333333334,"WETLAND SEASONS PARK(Phase 2),Block V5,WETLAND PARK RD|WETLAND SEASONS PARK2期,V5座,濕地公園路",10176504.0,13182.0,772.0,12667848.0,9959.0,1272.0,13504227.0,14111.0,957.0,,0.010529124282093072,0.01052517361111116
2020-5-15,11989949.333333334,12288.0,"WETLAND SEASONS PARK(Phase 2),Block V5,WETLAND PARK RD|WETLAND SEASONS PARK2期,V5座,濕地公園路",10070740.0,13045.0,772.0,12535560.0,9855.0,1272.0,13363548.0,13964.0,957.0,,0.007177986518654311,0.007185596021966667
2020-4-15,11904499.0,12200.333333333334,"WETLAND SEASONS PARK(Phase 2),Block V5,WETLAND PARK RD|WETLAND SEASONS PARK2期,V5座,濕地公園路",9998172.0,12951.0,772.0,12446520.0,9785.0,1272.0,13268805.0,13865.0,957.0,,0.018314551342207386,0.01833509543152867
2020-3-15,11690394.666666666,11980.666666666666,"WETLAND SEASONS PARK(Phase 2),Block V5,WETLAND PARK RD|WETLAND SEASONS PARK2期,V5座,濕地公園路",9816752.0,12716.0,772.0,12223920.0,9610.0,1272.0,13030512.0,13616.0,957.0,,0.005534871156252619,0.0055393912264996015
2020-2-15,11626046.0,11914.666666666666,"WETLAND SEASONS PARK(Phase 2),Block V5,WETLAND PARK RD|WETLAND SEASONS PARK2期,V5座,濕地公園路",9761940.0,12645.0,772.0,12156504.0,9557.0,1272.0,12959694.0,13542.0,957.0,,-0.023263886992767713,-0.023254542970351233
2020-1-15,11902955.0,12198.333333333334,"WETLAND SEASONS PARK(Phase 2),Block V5,WETLAND PARK RD|WETLAND SEASONS PARK2期,V5座,濕地公園路",9993540.0,12945.0,772.0,12446520.0,9785.0,1272.0,13268805.0,13865.0,957.0,,-0.007847947128812094,-0.007835375772692665
2019-12-15,11997107.666666666,12294.666666666666,"WETLAND SEASONS PARK(Phase 2),Block V5,WETLAND PARK RD|WETLAND SEASONS PARK2期,V5座,濕地公園路",10071512.0,13046.0,772.0,12545736.0,9863.0,1272.0,13374075.0,13975.0,957.0,,0.003498257604621413,0.003509726567813898
2019-11-15,11955285.0,12251.666666666666,"WETLAND SEASONS PARK(Phase 2),Block V5,WETLAND PARK RD|WETLAND SEASONS PARK2期,V5座,濕地公園路",10035228.0,12999.0,772.0,12502488.0,9829.0,1272.0,13328139.0,13927.0,957.0,,0.01616374394927389,0.01617362455073268
2019-10-15,11765116.666666666,12056.666666666666,"WETLAND SEASONS PARK(Phase 2),Block V5,WETLAND PARK RD|WETLAND SEASONS PARK2期,V5座,濕地公園路",9874651.999999998,12791.0,772.0,12304056.0,9673.0,1272.0,13116642.0,13706.0,957.0,,-0.010442385762601036,-0.010423791414735595
2019-9-15,11889269.0,12183.666666666666,"WETLAND SEASONS PARK(Phase 2),Block V5,WETLAND PARK RD|WETLAND SEASONS PARK2期,V5座,濕地公園路",9977328.0,12924.0,772.0,12435072.0,9776.0,1272.0,13255407.0,13851.0,957.0,,-0.032180471913070274,-0.03309348711708371
2019-8-15,12284593.0,12600.666666666666,"WETLAND SEASONS PARK(Phase 2),Block V5,WETLAND PARK RD|WETLAND SEASONS PARK2期,V5座,濕地公園路",10350204.0,13407.0,772.0,12750528.0,10024.0,1272.0,13753047.0,14371.0,957.0,,0.0437565275886409,0.04376397824226186
2019-7-15,11769596.333333334,12072.333333333334,"WETLAND SEASONS PARK(Phase 2),Block V5,WETLAND PARK RD|WETLAND SEASONS PARK2期,V5座,濕地公園路",9915568.0,12844.0,772.0,12216288.0,9604.0,1272.0,13176933.0,13769.0,957.0,,-0.04303939053801542,-0.04301757167393305
2019-6-15,12298935.0,12615.0,"WETLAND SEASONS PARK(Phase 2),Block V5,WETLAND PARK RD|WETLAND SEASONS PARK2期,V5座,濕地公園路",10359468.0,13419.0,772.0,12767064.0,10037.0,1272.0,13770273.0,14389.0,957.0,,0.003942324967701749,0.003952674023768976
2019-5-15,12250639.0,12565.333333333334,"WETLAND SEASONS PARK(Phase 2),Block V5,WETLAND PARK RD|WETLAND SEASONS PARK2期,V5座,濕地公園路",10317780.0,13365.0,772.0,12717456.0,9998.0,1272.0,13716681.0,14333.0,957.0,,-0.005106959499895036,-0.004804899941918794
2019-4-15,12313523.666666666,12626.0,"WETLAND SEASONS PARK(Phase 2),Block V5,WETLAND PARK RD|WETLAND SEASONS PARK2期,V5座,濕地公園路",10340168.0,13394.0,772.0,12797592.0,10061.0,1272.0,13802811.0,14423.0,957.0,,0.06609816095715071,0.06611500464409348
