,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A1,npsf_A1,nfa_A1,lumpSum_A2,npsf_A2,nfa_A2,lumpSum_A3,npsf_A3,nfa_A3,lumpSum_A5,npsf_A5,nfa_A5,lumpSum_B1,npsf_B1,nfa_B1,lumpSum_B2,npsf_B2,nfa_B2,lumpSum_B3,npsf_B3,nfa_B3,lumpSum_change,npsf_change
2019-12-15,6456997.428571428,13733.42857142857,7,45198982.0,96134.0,3322,"WETLAND SEASONS PARK(Block 18),WETLAND PARK RD|WETLAND SEASONS PARK18座,濕地公園路",6328051.0,15031.0,421.0,6457620.0,14610.0,442.0,6459624.0,14748.0,438.0,5963135.0,14369.0,415.0,6302674.0,12334.0,511.0,7041798.0,12162.0,579.0,6646080.0,12880.0,516.0,-0.0004280343171400025,-0.000447092340164601
2019-11-15,6459762.428571428,13739.57142857143,7,45218337.0,96177.0,3322,"WETLAND SEASONS PARK(Block 18),WETLAND PARK RD|WETLAND SEASONS PARK18座,濕地公園路",6332261.0,15041.0,421.0,6461156.0,14618.0,442.0,6463128.0,14756.0,438.0,5966870.0,14378.0,415.0,6303696.0,12336.0,511.0,7044114.0,12166.0,579.0,6647112.0,12882.0,516.0,0.019968616202438616,0.019947823873759374
2019-10-15,6333295.285714285,13470.857142857143,7,44333067.0,94296.0,3322,"WETLAND SEASONS PARK(Block 18),WETLAND PARK RD|WETLAND SEASONS PARK18座,濕地公園路",6209750.0,14750.0,421.0,6335628.0,14334.0,442.0,6337422.0,14469.0,438.0,5851085.0,14099.0,415.0,6179012.0,12092.0,511.0,6905154.0,11926.0,579.0,6515016.0,12626.0,516.0,0.010641849044352947,0.010621081399710741
2019-9-15,6266607.0,13329.285714285714,7,43866249.0,93305.0,3322,"WETLAND SEASONS PARK(Block 18),WETLAND PARK RD|WETLAND SEASONS PARK18座,濕地公園路",6145758.0,14598.0,421.0,6269770.0,14185.0,442.0,6271284.0,14318.0,438.0,5790910.0,13954.0,415.0,6112582.0,11962.0,511.0,6831621.0,11799.0,579.0,6444324.0,12489.0,516.0,-0.05407684291431425,-0.054095153131051066
2019-8-15,6624858.428571428,14091.57142857143,7,46374009.0,98641.0,3322,"WETLAND SEASONS PARK(Block 18),WETLAND PARK RD|WETLAND SEASONS PARK18座,濕地公園路",6498556.0,15436.0,421.0,6629116.0,14998.0,442.0,6630882.0,15139.0,438.0,6122910.0,14754.0,415.0,6460573.0,12643.0,511.0,7221288.0,12472.0,579.0,6810684.0,13199.0,516.0,0.040975839573653694,0.040956099620092834
2019-7-15,6364084.714285715,13537.142857142857,7,44548593.0,94760.0,3322,"WETLAND SEASONS PARK(Block 18),WETLAND PARK RD|WETLAND SEASONS PARK18座,濕地公園路",6244272.0,14832.0,421.0,6368778.0,14409.0,442.0,6370710.0,14545.0,438.0,5883040.0,14176.0,415.0,6205073.0,12143.0,511.0,6936420.0,11980.0,579.0,6540300.000000001,12675.0,516.0,-0.044265157752182205,-0.04428598803844641
2019-6-15,6658839.285714285,14164.42857142857,7,46611875.0,99151.0,3322,"WETLAND SEASONS PARK(Block 18),WETLAND PARK RD|WETLAND SEASONS PARK18座,濕地公園路",6534762.0,15522.0,421.0,6664918.0,15079.0,442.0,6666798.0,15221.0,438.0,6156940.0,14836.0,415.0,6490722.0,12702.0,511.0,7256607.0,12533.0,579.0,6841128.0,13258.0,516.0,0.0022947347044814936,0.0022744273497361522
2019-5-15,6643594.0,14132.285714285714,7,46505158.0,98926.0,3322,"WETLAND SEASONS PARK(Block 18),WETLAND PARK RD|WETLAND SEASONS PARK18座,濕地公園路",6521290.0,15490.0,421.0,6650774.0,15047.0,442.0,6652344.0,15188.0,438.0,6144075.0,14805.0,415.0,6474370.0,12670.0,511.0,7239237.0,12503.0,579.0,6823068.0,13223.0,516.0,-0.003805618834254121,-0.0038265563007271464
2019-4-15,6668973.571428572,14186.57142857143,7,46682815.0,99306.0,3322,"WETLAND SEASONS PARK(Block 18),WETLAND PARK RD|WETLAND SEASONS PARK18座,濕地公園路",6547813.0,15553.0,421.0,6676852.0,15106.0,442.0,6678624.0,15248.0,438.0,6168975.0,14865.0,415.0,6497876.0,12716.0,511.0,7265871.0,12549.0,579.0,6846804.0,13269.0,516.0,0.06043029657479182,0.060406411173637764
2019-3-15,6288931.571428572,13378.42857142857,7,44022521.0,93649.0,3322,"WETLAND SEASONS PARK(Block 18),WETLAND PARK RD|WETLAND SEASONS PARK18座,濕地公園路",6176491.0,14671.0,421.0,6297174.0,14247.0,442.0,6299316.0,14382.0,438.0,5818300.0,14020.0,415.0,6125868.0,11988.0,511.0,6850728.0,11832.0,579.0,6454644.0,12509.0,516.0,0.03840887977925855,0.038386907203920684
2019-2-15,6056315.285714285,12883.857142857143,7,42394207.0,90187.0,3322,"WETLAND SEASONS PARK(Block 18),WETLAND PARK RD|WETLAND SEASONS PARK18座,濕地公園路",5949151.0,14131.0,421.0,6065124.0,13722.0,442.0,6067176.0,13852.0,438.0,5604575.0,13505.0,415.0,5897962.0,11542.0,511.0,6596547.0,11393.0,579.0,6213672.0,12042.0,516.0,0.008993814784350462,0.008972422665995516
2019-1-15,6002331.428571428,12769.285714285714,7,42016320.0,89385.0,3322,"WETLAND SEASONS PARK(Block 18),WETLAND PARK RD|WETLAND SEASONS PARK18座,濕地公園路",5897789.0,14009.0,421.0,6012084.0,13602.0,442.0,6013740.0,13730.0,438.0,5555605.0,13387.0,415.0,5843796.0,11436.0,511.0,6536910.0,11290.0,579.0,6156396.0,11931.0,516.0,0.06884680992384751,0.07031240645169023
2018-12-15,5615707.857142857,11930.42857142857,7,39309955.0,83513.0,3322,"WETLAND SEASONS PARK(Block 18),WETLAND PARK RD|WETLAND SEASONS PARK18座,濕地公園路",5114729.0,12149.0,421.0,5692960.0,12880.0,442.0,5694876.0,13002.0,438.0,5261370.0,12678.0,415.0,5531575.0,10825.0,511.0,6187773.0,10687.0,579.0,5826672.0,11292.0,516.0,,
2018-11-15,,,7,,,3322,"WETLAND SEASONS PARK(Block 18),WETLAND PARK RD|WETLAND SEASONS PARK18座,濕地公園路",,,421.0,,,442.0,,,438.0,,,415.0,,,511.0,,,579.0,,,516.0,,
2018-10-15,,,7,,,3322,"WETLAND SEASONS PARK(Block 18),WETLAND PARK RD|WETLAND SEASONS PARK18座,濕地公園路",,,421.0,,,442.0,,,438.0,,,415.0,,,511.0,,,579.0,,,516.0,,
2018-9-15,,,7,,,3322,"WETLAND SEASONS PARK(Block 18),WETLAND PARK RD|WETLAND SEASONS PARK18座,濕地公園路",,,421.0,,,442.0,,,438.0,,,415.0,,,511.0,,,579.0,,,516.0,,
2018-8-15,,,7,,,3322,"WETLAND SEASONS PARK(Block 18),WETLAND PARK RD|WETLAND SEASONS PARK18座,濕地公園路",,,421.0,,,442.0,,,438.0,,,415.0,,,511.0,,,579.0,,,516.0,,
2018-7-15,,,7,,,3322,"WETLAND SEASONS PARK(Block 18),WETLAND PARK RD|WETLAND SEASONS PARK18座,濕地公園路",,,421.0,,,442.0,,,438.0,,,415.0,,,511.0,,,579.0,,,516.0,,
2018-6-15,,,7,,,3322,"WETLAND SEASONS PARK(Block 18),WETLAND PARK RD|WETLAND SEASONS PARK18座,濕地公園路",,,421.0,,,442.0,,,438.0,,,415.0,,,511.0,,,579.0,,,516.0,,
