,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_1,npsf_1,nfa_1,lumpSum_11,npsf_11,nfa_11,lumpSum_12,npsf_12,nfa_12,lumpSum_13,npsf_13,nfa_13,lumpSum_14,npsf_14,nfa_14,lumpSum_15,npsf_15,nfa_15,lumpSum_16,npsf_16,nfa_16,lumpSum_17,npsf_17,nfa_17,lumpSum_18,npsf_18,nfa_18,lumpSum_19,npsf_19,nfa_19,lumpSum_2,npsf_2,nfa_2,lumpSum_20,npsf_20,nfa_20,lumpSum_21,npsf_21,nfa_21,lumpSum_22,npsf_22,nfa_22,lumpSum_23,npsf_23,nfa_23,lumpSum_24,npsf_24,nfa_24,lumpSum_25,npsf_25,nfa_25,lumpSum_26,npsf_26,nfa_26,lumpSum_27,npsf_27,nfa_27,lumpSum_28,npsf_28,nfa_28,lumpSum_29,npsf_29,nfa_29,lumpSum_3,npsf_3,nfa_3,lumpSum_4,npsf_4,nfa_4,lumpSum_6,npsf_6,nfa_6,lumpSum_7,npsf_7,nfa_7,lumpSum_8,npsf_8,nfa_8,lumpSum_change,npsf_change
2019-12-15,2722221.1153846155,7201.884615384615,26,70777749.0,187249.0,9810,"YUNG MING COURT(Block A),CHI SHIN ST|雍明苑A座,至善街",1973986.0,6878.0,287.0,3320746.0,7513.0,442.0,2033969.0,7087.0,287.0,2900736.0000000005,7554.0,384.0,2037125.9999999998,7098.0,287.0,1973986.0,6878.0,287.0,2631168.0,6852.0,384.0,2810374.0,7357.0,382.0,3340615.0,7507.0,445.0,3207560.0,7208.0,445.0,3087370.0,6985.0,442.0,2666742.0,6981.0,382.0,2804760.0,7420.0,378.0,2644920.0,7110.0,372.0,2684352.0,7216.0,372.0,2673936.0,7188.0,372.0,3483896.0,7228.0,482.0,2887156.0,7558.0,382.0,2830920.0,7610.0,372.0,2695884.0,7247.0,372.0,2843940.0,7645.0,372.0,3036440.0,6901.0,440.0,3420428.0,7067.0,484.0,1984031.0,6913.0,287.0,1978003.9999999998,6892.0,287.0,2824704.0,7356.0,384.0,-0.049723528957327234,-0.04965183320475863
2019-11-15,2864662.230769231,7578.153846153846,26,74481218.0,197032.0,9810,"YUNG MING COURT(Block A),CHI SHIN ST|雍明苑A座,至善街",2077593.0,7239.0,287.0,3495336.0,7908.0,442.0,2141020.0,7460.0,287.0,3053184.0,7951.0,384.0,2126670.0,7410.0,287.0,2077593.0,7239.0,287.0,2770176.0000000005,7214.0,384.0,2958208.0,7744.0,382.0,3515945.0,7901.0,445.0,3376215.0,7587.0,445.0,3249584.0,7352.0,442.0,2806936.0,7348.0,382.0,2952558.0,7811.0,378.0,2783676.0,7483.0,372.0,2825712.0,7596.0,372.0,2814552.0,7566.0,372.0,3667056.0,7608.0,482.0,3038810.0,7955.0,382.0,2979720.0,8010.0,372.0,2837616.0,7628.0,372.0,2993484.0,8047.0,372.0,3196160.0,7264.0,440.0,3599992.0,7438.0,484.0,2088211.9999999998,7276.0,287.0,2081898.0,7254.0,287.0,2973312.0,7743.0,384.0,0.04744512721180394,0.047446400187127535
2019-10-15,2734904.346153846,7234.884615384615,26,71107513.0,188107.0,9810,"YUNG MING COURT(Block A),CHI SHIN ST|雍明苑A座,至善街",1983744.0,6912.0,287.0,3336658.0,7549.0,442.0,2044014.0,7122.0,287.0,2914944.0,7591.0,384.0,2030238.0,7074.0,287.0,1983457.0,6911.0,287.0,2644992.0,6888.0,384.0,2824126.0,7393.0,382.0,3356635.0,7543.0,445.0,3223579.9999999995,7244.0,445.0,3102398.0,7019.0,442.0,2679730.0,7015.0,382.0,2818746.0,7457.0,378.0,2657568.0,7144.0,372.0,2697744.0,7252.0,372.0,2687328.0000000005,7224.0,372.0,3500766.0,7263.0,482.0,2900908.0,7594.0,382.0,2844684.0000000005,7647.0,372.0,2709276.0,7283.0,372.0,2857704.0,7682.0,372.0,3051400.0,6935.0,440.0,3437368.0,7102.0,484.0,1993502.0,6946.0,287.0,1987475.0,6925.0,287.0,2838528.0,7392.0,384.0,-0.018492369218678584,-0.01851243119146395
2019-9-15,2786432.076923077,7371.346153846154,26,72447234.0,191655.0,9810,"YUNG MING COURT(Block A),CHI SHIN ST|雍明苑A座,至善街",2018184.0,7032.0,287.0,3395002.0,7681.0,442.0,2079602.0,7246.0,287.0,2965632.0,7723.0,384.0,2065826.0,7198.0,287.0,2018184.0,7032.0,287.0,2691456.0,7009.0,384.0,2873786.0,7523.0,382.0,3415375.0,7675.0,445.0,3279650.0,7370.0,445.0,3156764.0,7142.0,442.0,2726716.0,7138.0,382.0,2868264.0,7588.0,378.0,2704068.0,7269.0,372.0,2744988.0,7379.0,372.0,2784792.0,7486.0,372.0,3561980.0,7390.0,482.0,2951714.0,7727.0,382.0,2894532.0,7781.0,372.0,2802276.0,7533.0,372.0,2907924.0,7817.0,372.0,3104640.0,7056.0,440.0,3497384.0,7226.0,484.0,2028229.0,7067.0,287.0,2022202.0000000002,7046.0,287.0,2888064.0,7521.0,384.0,-0.037422841413045416,-0.037427112055326894
2019-8-15,2894762.3076923075,7657.961538461538,26,75263820.0,199107.0,9810,"YUNG MING COURT(Block A),CHI SHIN ST|雍明苑A座,至善街",2097396.0,7308.0,287.0,3528044.0,7982.0,442.0,2161110.0,7530.0,287.0,3081984.0,8026.0,384.0,2146760.0,7480.0,287.0,2097396.0,7308.0,287.0,2797440.0,7285.0,384.0,2961263.9999999995,7752.0,382.0,3549320.0,7976.0,445.0,3408255.0,7659.0,445.0,3280524.0,7422.0,442.0,2833676.0,7418.0,382.0,2980530.0,7885.0,378.0,2810088.0,7554.0,372.0,2852496.0,7668.0,372.0,2894160.0,7780.0,372.0,3701760.0,7680.0,482.0,3067460.0,8030.0,382.0,3007992.0000000005,8086.0,372.0,2912388.0,7829.0,372.0,3022128.0,8124.0,372.0,3226520.0,7333.0,440.0,3634356.0,7509.0,484.0,2107728.0,7344.0,287.0,2101701.0,7323.0,287.0,3001344.0,7816.0,384.0,0.0039021212831746865,0.003902527567273273
2019-7-15,2883510.5,7628.192307692308,26,74971273.0,198333.0,9810,"YUNG MING COURT(Block A),CHI SHIN ST|雍明苑A座,至善街",2089360.0000000002,7280.0,287.0,3514342.0,7951.0,442.0,2152787.0,7501.0,287.0,3070080.0,7995.0,384.0,2138437.0,7451.0,287.0,2089073.0,7279.0,287.0,2787072.0,7258.0,384.0,2949804.0,7722.0,382.0,3535080.0,7944.0,445.0,3394905.0,7629.0,445.0,3267706.0,7393.0,442.0,2822598.0000000005,7389.0,382.0,2969190.0,7855.0,378.0,2799300.0000000005,7525.0,372.0,2841708.0,7639.0,372.0,2883000.0,7750.0,372.0,3687300.0000000005,7650.0,482.0,3055236.0,7998.0,382.0,2996088.0,8054.0,372.0,2900856.0,7798.0,372.0,3010224.0000000005,8092.0,372.0,3214200.0,7305.0,440.0,3620320.0,7480.0,484.0,2099405.0,7315.0,287.0,2093378.0,7294.0,287.0,2989823.9999999995,7786.0,384.0,0.004679795948267618,0.004680637660896991
2019-6-15,2870079.1153846155,7592.653846153846,26,74622057.0,197409.0,9810,"YUNG MING COURT(Block A),CHI SHIN ST|雍明苑A座,至善街",2079602.0,7246.0,287.0,3497988.0,7914.0,442.0,2142742.0,7466.0,287.0,3055872.0,7958.0,384.0,2128392.0,7416.0,287.0,2079315.0,7245.0,287.0,2774399.9999999995,7225.0,384.0,2936052.0,7686.0,382.0,3518615.0,7907.0,445.0,3379330.0,7594.0,445.0,3252678.0,7359.0,442.0,2809227.9999999995,7354.0,382.0,2955582.0,7819.0,378.0,2786280.0,7490.0,372.0,2828316.0,7603.0,372.0,2869608.0,7714.0,372.0,3669948.0,7614.0,482.0,3041102.0,7961.0,382.0,2981952.0,8016.0,372.0,2887464.0,7762.0,372.0,2996088.0,8054.0,372.0,3199240.0,7271.0,440.0,3603380.0,7445.0,484.0,2089646.9999999998,7281.0,287.0,2083619.9999999998,7260.0,287.0,2975616.0,7749.0,384.0,-0.011562073667590989,-0.01156130143502343
2019-5-15,2903651.346153846,7681.461538461538,26,75494935.0,199718.0,9810,"YUNG MING COURT(Block A),CHI SHIN ST|雍明苑A座,至善街",2103710.0,7330.0,287.0,3539094.0,8007.0,442.0,2167711.0,7553.0,287.0,3091584.0,8051.0,384.0,2153361.0,7503.0,287.0,2103710.0,7330.0,287.0,2807424.0,7311.0,384.0,2970432.0,7776.0,382.0,3559555.0,7999.0,445.0,3418490.0,7682.0,445.0,3290690.0,7445.0,442.0,2842080.0,7440.0,382.0,2989980.0,7910.0,378.0,2818644.0,7577.0,372.0,2861796.0,7693.0,372.0,2903460.0,7805.0,372.0,3712846.0,7703.0,482.0,3076246.0000000005,8053.0,382.0,3016920.0,8110.0,372.0,2921316.0,7853.0,372.0,3031428.0,8149.0,372.0,3236640.0,7356.0,440.0,3645487.9999999995,7532.0,484.0,2113755.0,7365.0,287.0,2108015.0,7345.0,287.0,3010560.0,7840.0,384.0,0.024675168394606484,0.02467305255272967
2019-4-15,2833728.6153846155,7496.5,26,73676944.0,194909.0,9810,"YUNG MING COURT(Block A),CHI SHIN ST|雍明苑A座,至善街",2053198.0,7154.0,287.0,3453788.0,7814.0,442.0,2115477.0,7371.0,287.0,3017088.0,7857.0,384.0,2101414.0,7322.0,287.0,2053198.0,7154.0,287.0,2740224.0,7136.0,384.0,2898998.0,7589.0,382.0,3473670.0,7806.0,445.0,3336165.0,7497.0,445.0,3211130.0,7265.0,442.0,2773702.0,7261.0,382.0,2918160.0,7720.0,378.0,2750940.0,7395.0,372.0,2792976.0,7508.0,372.0,2833524.0,7617.0,372.0,3623194.0,7517.0,482.0,3002138.0,7859.0,382.0,2944008.0,7914.0,372.0,2851008.0,7664.0,372.0,2958144.0,7952.0,372.0,3158760.0,7179.0,440.0,3557884.0,7351.0,484.0,2062956.0,7188.0,287.0,2057216.0,7168.0,287.0,2937984.0,7651.0,384.0,0.03493558157785448,0.03493336165241878
2019-3-15,2738072.4615384615,7243.461538461538,26,71189884.0,188330.0,9810,"YUNG MING COURT(Block A),CHI SHIN ST|雍明苑A座,至善街",1983457.0,6911.0,287.0,3336215.9999999995,7548.0,442.0,2043727.0,7121.0,287.0,2914560.0,7590.0,384.0,2029951.0,7073.0,287.0,1983457.0,6911.0,287.0,2647679.9999999995,6895.0,384.0,2800441.9999999995,7331.0,382.0,3355745.0,7541.0,445.0,3223135.0,7243.0,445.0,3102398.0,7019.0,442.0,2679347.9999999995,7014.0,382.0,2819124.0,7458.0,378.0,2657568.0,7144.0,372.0,2712996.0,7293.0,372.0,2737176.0,7358.0,372.0,3500284.0,7262.0,482.0,2900144.0,7592.0,382.0,2843940.0,7645.0,372.0,2754288.0,7404.0,372.0,2857704.0,7682.0,372.0,3051400.0,6935.0,440.0,3436884.0,7101.0,484.0,1992641.0,6943.0,287.0,1987475.0,6925.0,287.0,2838144.0,7391.0,384.0,-0.003362491596150874,-0.003360410658058366
2019-2-15,2747310.269230769,7267.884615384615,26,71430067.0,188965.0,9810,"YUNG MING COURT(Block A),CHI SHIN ST|雍明苑A座,至善街",1990058.0000000002,6934.0,287.0,3347708.0,7574.0,442.0,2050615.0000000002,7145.0,287.0,2924544.0,7616.0,384.0,2036839.0,7097.0,287.0,1990058.0000000002,6934.0,287.0,2657280.0,6920.0,384.0,2809991.9999999995,7356.0,382.0,3367315.0,7567.0,445.0,3233815.0000000005,7267.0,445.0,3113006.0,7043.0,442.0,2688516.0,7038.0,382.0,2828952.0,7484.0,378.0,2666496.0,7168.0,372.0,2722295.9999999995,7318.0,372.0,2746847.9999999995,7384.0,372.0,3512334.0,7287.0,482.0,2906638.0,7609.0,382.0,2853612.0,7671.0,372.0,2763588.0,7429.0,372.0,2867748.0,7709.0,372.0,3061960.0,6959.0,440.0,3448500.0,7125.0,484.0,1999529.0,6967.0,287.0,1994076.0,6948.0,287.0,2847744.0,7416.0,384.0,0.018925986829177788,0.018926424199940728
