,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A1,npsf_A1,nfa_A1,lumpSum_A2,npsf_A2,nfa_A2,lumpSum_A3,npsf_A3,nfa_A3,lumpSum_A5,npsf_A5,nfa_A5,lumpSum_B1,npsf_B1,nfa_B1,lumpSum_B2,npsf_B2,nfa_B2,lumpSum_B3,npsf_B3,nfa_B3,lumpSum_change,npsf_change
2019-12-15,6461669.142857143,13744.57142857143,7,45231684.0,96212.0,3322,"WETLAND SEASONS PARK(Phase 2),Block 18,WETLAND PARK RD|WETLAND SEASONS PARK2期,18座,濕地公園路",6361310.0,15110.0,421.0,6458062.0,14611.0,442.0,6460062.0,14749.0,438.0,5962720.0,14368.0,415.0,6301652.0,12332.0,511.0,7041798.0,12162.0,579.0,6646080.0,12880.0,516.0,-0.0004205458503926396,-0.00043634550252458215
2019-11-15,6464387.714285715,13750.57142857143,7,45250714.0,96254.0,3322,"WETLAND SEASONS PARK(Phase 2),Block 18,WETLAND PARK RD|WETLAND SEASONS PARK2期,18座,濕地公園路",6365099.0,15119.0,421.0,6461598.0,14619.0,442.0,6463566.0,14757.0,438.0,5966040.0,14376.0,415.0,6303185.0,12335.0,511.0,7044114.0,12166.0,579.0,6647112.0,12882.0,516.0,0.019997013315540935,0.01997477985355367
2019-10-15,6337653.571428572,13481.285714285714,7,44363575.0,94369.0,3322,"WETLAND SEASONS PARK(Phase 2),Block 18,WETLAND PARK RD|WETLAND SEASONS PARK2期,18座,濕地公園路",6241746.0,14826.0,421.0,6336070.0,14335.0,442.0,6337860.0,14470.0,438.0,5850255.0,14097.0,415.0,6177990.0,12090.0,511.0,6905154.0,11926.0,579.0,6514500.000000001,12625.0,516.0,0.010632265839928712,0.010612778170446813
2019-9-15,6270978.857142857,13339.714285714286,7,43896852.0,93378.0,3322,"WETLAND SEASONS PARK(Phase 2),Block 18,WETLAND PARK RD|WETLAND SEASONS PARK2期,18座,濕地公園路",6177333.0,14673.0,421.0,6270212.0,14186.0,442.0,6271722.0,14319.0,438.0,5790080.0,13952.0,415.0,6111560.0,11960.0,511.0,6831621.0,11799.0,579.0,6444324.0,12489.0,516.0,-0.05408408873224102,-0.054103060201177056
2019-8-15,6629531.0,14102.714285714286,7,46406717.0,98719.0,3322,"WETLAND SEASONS PARK(Phase 2),Block 18,WETLAND PARK RD|WETLAND SEASONS PARK2期,18座,濕地公園路",6532236.0,15516.0,421.0,6629558.0,14999.0,442.0,6631320.0,15140.0,438.0,6122080.0,14752.0,415.0,6459551.0,12641.0,511.0,7221288.0,12472.0,579.0,6810684.0,13199.0,516.0,0.040985098638240736,0.040966320096168074
2019-7-15,6368516.714285715,13547.714285714286,7,44579617.0,94834.0,3322,"WETLAND SEASONS PARK(Phase 2),Block 18,WETLAND PARK RD|WETLAND SEASONS PARK2期,18座,濕地公園路",6276268.0,14908.0,421.0,6369220.0,14410.0,442.0,6371148.0,14546.0,438.0,5882210.0,14174.0,415.0,6204051.0,12141.0,511.0,6936420.0,11980.0,579.0,6540300.000000001,12675.0,516.0,-0.044280691126916794,-0.04430111861332253
2019-6-15,6663584.857142857,14175.714285714286,7,46645094.0,99230.0,3322,"WETLAND SEASONS PARK(Phase 2),Block 18,WETLAND PARK RD|WETLAND SEASONS PARK2期,18座,濕地公園路",6568442.0,15602.0,421.0,6665360.0,15080.0,442.0,6667236.0,15222.0,438.0,6156110.0,14834.0,415.0,6490211.0,12701.0,511.0,7256607.0,12533.0,579.0,6841128.0,13258.0,516.0,0.002326092368315935,0.0023029837781054496
2019-5-15,6648120.714285715,14143.142857142857,7,46536845.0,99002.0,3322,"WETLAND SEASONS PARK(Phase 2),Block 18,WETLAND PARK RD|WETLAND SEASONS PARK2期,18座,濕地公園路",6554970.0,15570.0,421.0,6650774.0,15047.0,442.0,6652782.0,15189.0,438.0,6143245.0,14803.0,415.0,6473348.0,12668.0,511.0,7238658.0,12502.0,579.0,6823068.0,13223.0,516.0,-0.0038248100101543336,-0.003843677050631933
2019-4-15,6673646.142857143,14197.714285714286,7,46715523.0,99384.0,3322,"WETLAND SEASONS PARK(Phase 2),Block 18,WETLAND PARK RD|WETLAND SEASONS PARK2期,18座,濕地公園路",6581493.0,15633.0,421.0,6677294.0,15107.0,442.0,6679062.0,15249.0,438.0,6168145.0,14863.0,415.0,6496854.0,12714.0,511.0,7265871.0,12549.0,579.0,6846804.0,13269.0,516.0,0.06044678780042445,0.0604240244982448
2019-3-15,6293240.0,13388.714285714286,7,44052680.0,93721.0,3322,"WETLAND SEASONS PARK(Phase 2),Block 18,WETLAND PARK RD|WETLAND SEASONS PARK2期,18座,濕地公園路",6207645.0,14745.0,421.0,6297616.0,14248.0,442.0,6299316.0,14382.0,438.0,5817885.0,14019.0,415.0,6124846.0,11986.0,511.0,6850728.0,11832.0,579.0,6454644.0,12509.0,516.0,0.0384123426691807,0.03839079950363411
2019-2-15,6060444.142857143,12893.714285714286,7,42423109.0,90256.0,3322,"WETLAND SEASONS PARK(Phase 2),Block 18,WETLAND PARK RD|WETLAND SEASONS PARK2期,18座,濕地公園路",5979463.0,14203.0,421.0,6065566.0,13723.0,442.0,6067176.0,13852.0,438.0,5603745.0,13503.0,415.0,5896940.0,11540.0,511.0,6596547.0,11393.0,579.0,6213672.0,12042.0,516.0,0.008965003110271708,0.008942944017170662
