,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_change,npsf_change
2019-12-15,11529915.0,11923.5,2,23059830.0,23847.0,1934,"CRESCENT GREEN(Block 2),KO PO PATH|山水盈2座,高埔徑",11435952.0,11814.0,968.0,11623878.0,12033.0,966.0,0.008543025961033512,0.00854303235356313
2019-11-15,11432249.0,11822.5,2,22864498.0,23645.0,1934,"CRESCENT GREEN(Block 2),KO PO PATH|山水盈2座,高埔徑",11339152.0,11714.0,968.0,11525346.0,11931.0,966.0,0.011161629763874359,0.01116147793362976
2019-10-15,11306055.0,11692.0,2,22612110.0,23384.0,1934,"CRESCENT GREEN(Block 2),KO PO PATH|山水盈2座,高埔徑",11212344.0,11583.0,968.0,11399766.0,11801.0,966.0,-0.02777300046057163,-0.02777315815732584
2019-9-15,11629028.0,12026.0,2,23258056.0,24052.0,1934,"CRESCENT GREEN(Block 2),KO PO PATH|山水盈2座,高埔徑",11530816.0,11912.0,968.0,11727240.0,12140.0,966.0,-0.02509005885997262,-0.025090186859065278
2019-8-15,11928310.0,12335.5,2,23856620.0,24671.0,1934,"CRESCENT GREEN(Block 2),KO PO PATH|山水盈2座,高埔徑",11826056.0,12217.0,968.0,12030564.0,12454.0,966.0,-0.010666739211463439,-0.010666880538958146
2019-7-15,12056918.0,12468.5,2,24113836.0,24937.0,1934,"CRESCENT GREEN(Block 2),KO PO PATH|山水盈2座,高埔徑",11951896.0,12347.0,968.0,12161940.0,12590.0,966.0,0.014854500338371324,0.014854305713820626
2019-6-15,11880440.0,12286.0,2,23760880.0,24572.0,1934,"CRESCENT GREEN(Block 2),KO PO PATH|山水盈2座,高埔徑",11774752.0,12164.0,968.0,11986128.0,12408.0,966.0,-0.02700549426699783,-0.027005622871624335
2019-5-15,12210182.0,12627.0,2,24420364.0,25254.0,1934,"CRESCENT GREEN(Block 2),KO PO PATH|山水盈2座,高埔徑",12100000.0,12500.0,968.0,12320364.0,12754.0,966.0,0.01007938311458667,0.010079193664506825
2019-4-15,12088339.0,12501.0,2,24176678.0,25002.0,1934,"CRESCENT GREEN(Block 2),KO PO PATH|山水盈2座,高埔徑",11977064.0,12373.0,968.0,12199614.0,12629.0,966.0,0.012103965146019302,0.0121037930615715
2019-3-15,11943772.0,12351.5,2,23887544.0,24703.0,1934,"CRESCENT GREEN(Block 2),KO PO PATH|山水盈2座,高埔徑",11831864.0,12223.0,968.0,12055680.0,12480.0,966.0,0.03920760473648954,0.03920743763409207
2019-2-15,11493153.0,11885.5,2,22986306.0,23771.0,1934,"CRESCENT GREEN(Block 2),KO PO PATH|山水盈2座,高埔徑",11383680.0,11760.0,968.0,11602626.0,12011.0,966.0,0.0064356557025340155,0.006435496845759836
2019-1-15,11419660.0,11809.5,2,22839320.0,23619.0,1934,"CRESCENT GREEN(Block 2),KO PO PATH|山水盈2座,高埔徑",11309144.0,11683.0,968.0,11530176.0,11936.0,966.0,0.010871172052386191,0.010870960838861521
2018-12-15,11296850.0,11682.5,2,22593700.0,23365.0,1934,"CRESCENT GREEN(Block 2),KO PO PATH|山水盈2座,高埔徑",11185240.0,11555.0,968.0,11408460.0,11810.0,966.0,-0.0011113745100433947,-0.0011115386259672455
2018-11-15,11309419.0,11695.5,2,22618838.0,23391.0,1934,"CRESCENT GREEN(Block 2),KO PO PATH|山水盈2座,高埔徑",11195888.0,11566.0,968.0,11422950.0,11825.0,966.0,-0.072043331812916,-0.07204347998571825
2018-10-15,12187443.0,12603.5,2,24374886.0,25207.0,1934,"CRESCENT GREEN(Block 2),KO PO PATH|山水盈2座,高埔徑",12063216.0,12462.0,968.0,12311670.0,12745.0,966.0,0.013469161704282584,0.013468961080733255
2018-9-15,12025470.0,12436.0,2,24050940.0,24872.0,1934,"CRESCENT GREEN(Block 2),KO PO PATH|山水盈2座,高埔徑",11900592.0,12294.0,968.0,12150348.0,12578.0,966.0,-0.05990835070513112,-0.05990853082360059
2018-8-15,12791806.0,13228.5,2,25583612.0,26457.0,1934,"CRESCENT GREEN(Block 2),KO PO PATH|山水盈2座,高埔徑",12656600.0,13075.0,968.0,12927012.0,13382.0,966.0,0.019930812368236017,0.019930609097918328
2018-7-15,12541837.0,12970.0,2,25083674.0,25940.0,1934,"CRESCENT GREEN(Block 2),KO PO PATH|山水盈2座,高埔徑",12406856.0,12817.0,968.0,12676818.0,13123.0,966.0,0.011897983673069712,0.01189779598205587
2018-6-15,12394369.0,12817.5,2,24788738.0,25635.0,1934,"CRESCENT GREEN(Block 2),KO PO PATH|山水盈2座,高埔徑",12258752.0,12664.0,968.0,12529986.0,12971.0,966.0,,
2018-5-15,,,2,,,1934,"CRESCENT GREEN(Block 2),KO PO PATH|山水盈2座,高埔徑",,,968.0,,,966.0,,
2018-4-15,,,2,,,1934,"CRESCENT GREEN(Block 2),KO PO PATH|山水盈2座,高埔徑",,,968.0,,,966.0,,
2018-3-15,,,2,,,1934,"CRESCENT GREEN(Block 2),KO PO PATH|山水盈2座,高埔徑",,,968.0,,,966.0,,
2018-2-15,,,2,,,1934,"CRESCENT GREEN(Block 2),KO PO PATH|山水盈2座,高埔徑",,,968.0,,,966.0,,
2018-1-15,,,2,,,1934,"CRESCENT GREEN(Block 2),KO PO PATH|山水盈2座,高埔徑",,,968.0,,,966.0,,
2017-12-15,,,2,,,1934,"CRESCENT GREEN(Block 2),KO PO PATH|山水盈2座,高埔徑",,,968.0,,,966.0,,
2017-11-15,,,2,,,1934,"CRESCENT GREEN(Block 2),KO PO PATH|山水盈2座,高埔徑",,,968.0,,,966.0,,
2017-10-15,,,2,,,1934,"CRESCENT GREEN(Block 2),KO PO PATH|山水盈2座,高埔徑",,,968.0,,,966.0,,
2017-9-15,,,2,,,1934,"CRESCENT GREEN(Block 2),KO PO PATH|山水盈2座,高埔徑",,,968.0,,,966.0,,
2017-8-15,,,2,,,1934,"CRESCENT GREEN(Block 2),KO PO PATH|山水盈2座,高埔徑",,,968.0,,,966.0,,
2017-7-15,,,2,,,1934,"CRESCENT GREEN(Block 2),KO PO PATH|山水盈2座,高埔徑",,,968.0,,,966.0,,
2017-6-15,,,2,,,1934,"CRESCENT GREEN(Block 2),KO PO PATH|山水盈2座,高埔徑",,,968.0,,,966.0,,
2017-5-15,,,2,,,1934,"CRESCENT GREEN(Block 2),KO PO PATH|山水盈2座,高埔徑",,,968.0,,,966.0,,
2017-4-15,,,2,,,1934,"CRESCENT GREEN(Block 2),KO PO PATH|山水盈2座,高埔徑",,,968.0,,,966.0,,
2017-3-15,,,2,,,1934,"CRESCENT GREEN(Block 2),KO PO PATH|山水盈2座,高埔徑",,,968.0,,,966.0,,
2017-2-15,,,2,,,1934,"CRESCENT GREEN(Block 2),KO PO PATH|山水盈2座,高埔徑",,,968.0,,,966.0,,
2017-1-15,,,2,,,1934,"CRESCENT GREEN(Block 2),KO PO PATH|山水盈2座,高埔徑",,,968.0,,,966.0,,
2016-12-15,,,2,,,1934,"CRESCENT GREEN(Block 2),KO PO PATH|山水盈2座,高埔徑",,,968.0,,,966.0,,
2016-11-15,,,2,,,1934,"CRESCENT GREEN(Block 2),KO PO PATH|山水盈2座,高埔徑",,,968.0,,,966.0,,
2016-10-15,,,2,,,1934,"CRESCENT GREEN(Block 2),KO PO PATH|山水盈2座,高埔徑",,,968.0,,,966.0,,
2016-9-15,,,2,,,1934,"CRESCENT GREEN(Block 2),KO PO PATH|山水盈2座,高埔徑",,,968.0,,,966.0,,
2016-8-15,,,2,,,1934,"CRESCENT GREEN(Block 2),KO PO PATH|山水盈2座,高埔徑",,,968.0,,,966.0,,
2016-7-15,,,2,,,1934,"CRESCENT GREEN(Block 2),KO PO PATH|山水盈2座,高埔徑",,,968.0,,,966.0,,
2016-6-15,,,2,,,1934,"CRESCENT GREEN(Block 2),KO PO PATH|山水盈2座,高埔徑",,,968.0,,,966.0,,
2016-5-15,,,2,,,1934,"CRESCENT GREEN(Block 2),KO PO PATH|山水盈2座,高埔徑",,,968.0,,,966.0,,
2016-4-15,,,2,,,1934,"CRESCENT GREEN(Block 2),KO PO PATH|山水盈2座,高埔徑",,,968.0,,,966.0,,
2016-3-15,,,2,,,1934,"CRESCENT GREEN(Block 2),KO PO PATH|山水盈2座,高埔徑",,,968.0,,,966.0,,
2016-2-15,,,2,,,1934,"CRESCENT GREEN(Block 2),KO PO PATH|山水盈2座,高埔徑",,,968.0,,,966.0,,
2016-1-15,,,2,,,1934,"CRESCENT GREEN(Block 2),KO PO PATH|山水盈2座,高埔徑",,,968.0,,,966.0,,
