,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_change,npsf_change
2019-12-15,11459994.2,17337.8,5,57299971.0,86689.0,3263,"MONTEREY(Block 7B),TONG CHUN ST|MONTEREY7B座,唐俊街",14839487.0,18343.0,809.0,15971500.0,18790.0,850.0,9097074.0,16303.0,558.0,8524782.0,16331.0,522.0,8867128.0,16922.0,524.0,-0.05010745395480598,-0.05010847888496872
2019-11-15,12064516.4,18252.4,5,60322582.0,91262.0,3263,"MONTEREY(Block 7B),TONG CHUN ST|MONTEREY7B座,唐俊街",15621790.0,19310.0,809.0,16813850.0,19781.0,850.0,9579744.0,17168.0,558.0,8971614.0,17187.0,522.0,9335584.0,17816.0,524.0,0.04428275681478744,0.043745782677813816
2019-10-15,11552921.2,17487.4,5,57764606.0,87437.0,3263,"MONTEREY(Block 7B),TONG CHUN ST|MONTEREY7B座,唐俊街",14916342.0,18438.0,809.0,16056500.0,18890.0,850.0,9313020.0,16690.0,558.0,8563932.0,16406.0,522.0,8914812.0,17013.0,524.0,-0.014482118977020564,-0.013727524984772144
2019-9-15,11722690.6,17730.8,5,58613453.0,88654.0,3263,"MONTEREY(Block 7B),TONG CHUN ST|MONTEREY7B座,唐俊街",15179267.0,18763.0,809.0,16340400.0,19224.0,850.0,9480420.0,16990.0,558.0,8712702.0,16691.0,522.0,8900664.0,16986.0,524.0,-0.037919985723777194,-0.03791726353257796
2019-8-15,12184735.6,18429.6,5,60923678.0,92148.0,3263,"MONTEREY(Block 7B),TONG CHUN ST|MONTEREY7B座,唐俊街",15777118.0,19502.0,809.0,16984700.0,19982.0,850.0,9857070.0,17665.0,558.0,9053046.0,17343.0,522.0,9251744.0,17656.0,524.0,0.003741876042758774,0.003747113415537351
2019-7-15,12139311.8,18360.8,5,60696559.0,91804.0,3263,"MONTEREY(Block 7B),TONG CHUN ST|MONTEREY7B座,唐俊街",15718061.0,19429.0,809.0,16921800.0,19908.0,850.0,9823032.0,17604.0,558.0,9016506.0,17273.0,522.0,9217160.0,17590.0,524.0,0.004484275322142572,0.00448607129570866
2019-6-15,12085118.8,18278.8,5,60425594.0,91394.0,3263,"MONTEREY(Block 7B),TONG CHUN ST|MONTEREY7B座,唐俊街",15647678.0,19342.0,809.0,16846150.0,19819.0,850.0,9782298.0,17531.0,558.0,8973180.0,17190.0,522.0,9176288.0,17512.0,524.0,-0.0117055761075886,-0.011700333059388446
2019-5-15,12228257.6,18495.2,5,61141288.0,92476.0,3263,"MONTEREY(Block 7B),TONG CHUN ST|MONTEREY7B座,唐俊街",15832130.0,19570.0,809.0,17046750.0,20055.0,850.0,9900594.0,17743.0,558.0,9077058.0,17389.0,522.0,9284756.0,17719.0,524.0,0.024702966420752093,0.02475565701114779
2019-4-15,11933465.6,18048.4,5,59667328.0,90242.0,3263,"MONTEREY(Block 7B),TONG CHUN ST|MONTEREY7B座,唐俊街",15453518.0,19102.0,809.0,16639600.0,19576.0,850.0,9660096.0,17312.0,558.0,8856774.0,16967.0,522.0,9057340.0,17285.0,524.0,0.03520936463838842,0.03525335841870403
2019-3-15,11527586.6,17433.8,5,57637933.0,87169.0,3263,"MONTEREY(Block 7B),TONG CHUN ST|MONTEREY7B座,唐俊街",14930095.0,18455.0,809.0,16076900.0,18914.0,850.0,9330318.0,16721.0,558.0,8554536.0,16388.0,522.0,8746084.0,16691.0,524.0,-0.0033931151187417408,-0.003350026297134878
2019-2-15,11566834.2,17492.4,5,57834171.0,87462.0,3263,"MONTEREY(Block 7B),TONG CHUN ST|MONTEREY7B座,唐俊街",14983489.0,18521.0,809.0,16134700.0,18982.0,850.0,9360450.0,16775.0,558.0,8582724.0,16442.0,522.0,8772808.0,16742.0,524.0,0.018972559654355736,0.019014330653617684
