,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_H,npsf_H,nfa_H,lumpSum_J,npsf_J,nfa_J,lumpSum_K,npsf_K,nfa_K,lumpSum_L,npsf_L,nfa_L,lumpSum_change,npsf_change
2019-12-15,4302196.0,15970.875,8,34417568.0,127767.0,2170,"EMERALD BAY(Phase 1),Block 2,KWUN CHUI RD|恆大•珺瓏灣1期,2座,管翠路",4994275.0,15367.0,325.0,4951590.0,15330.0,323.0,4646340.0,14940.0,311.0,3716832.0,16593.0,224.0,3552613.0,15931.0,223.0,3777843.0,16941.0,223.0,3777843.0,16941.0,223.0,5000232.0,15724.0,318.0,-0.03081013777773678,-0.030805291743787322
2019-11-15,4438961.0,16478.5,8,35511688.0,131828.0,2170,"EMERALD BAY(Phase 1),Block 2,KWUN CHUI RD|恆大•珺瓏灣1期,2座,管翠路",5153850.0,15858.0,325.0,5108568.0,15816.0,323.0,4793754.0,15414.0,311.0,3835104.0,17121.0,224.0,3665896.9999999995,16439.0,223.0,3897594.0000000005,17478.0,223.0,3897371.0,17477.0,223.0,5159550.0,16225.0,318.0,-0.011344993822383187,-0.011346847556265471
2019-10-15,4489898.875,16667.625,8,35919191.0,133341.0,2170,"EMERALD BAY(Phase 1),Block 2,KWUN CHUI RD|恆大•珺瓏灣1期,2座,管翠路",5212675.0,16039.0,325.0,5167354.0,15998.0,323.0,4848801.0,15591.0,311.0,3879008.0,17317.0,224.0,3707820.9999999995,16627.0,223.0,3942640.0,17680.0,223.0,3942194.0,17678.0,223.0,5218698.0,16411.0,318.0,-0.001802548428812334,-0.0018116077644610984
2019-9-15,4498006.75,16697.875,8,35984054.0,133583.0,2170,"EMERALD BAY(Phase 1),Block 2,KWUN CHUI RD|恆大•珺瓏灣1期,2座,管翠路",5221450.0,16066.0,325.0,5176721.0,16027.0,323.0,4857820.0,15620.0,311.0,3885952.0,17348.0,224.0,3714511.0,16657.0,223.0,3950222.0,17714.0,223.0,3949775.9999999995,17712.0,223.0,5227602.0,16439.0,318.0,-0.049010757547527595,-0.049014722214312134
2019-8-15,4729818.75,17558.5,8,37838550.0,140468.0,2170,"EMERALD BAY(Phase 1),Block 2,KWUN CHUI RD|恆大•珺瓏灣1期,2座,管翠路",5489575.0,16891.0,325.0,5444165.0,16855.0,323.0,5108486.0,16426.0,311.0,4085984.0000000005,18241.0,224.0,3905622.0000000005,17514.0,223.0,4154267.0,18629.0,223.0,4153821.0,18627.0,223.0,5496630.0,17285.0,318.0,0.024859704764090162,0.024850067852504765
2019-7-15,4615089.0,17132.75,8,36920712.0,137062.0,2170,"EMERALD BAY(Phase 1),Block 2,KWUN CHUI RD|恆大•珺瓏灣1期,2座,管翠路",5355350.0,16478.0,325.0,5312381.0,16447.0,323.0,4985019.0,16029.0,311.0,3986752.0,17798.0,224.0,3810624.0,17088.0,223.0,4054139.9999999995,18180.0,223.0,4053694.0,18178.0,223.0,5362752.0,16864.0,318.0,0.0022165061875361047,0.0022082480257386017
2019-6-15,4604882.25,17095.0,8,36839058.0,136760.0,2170,"EMERALD BAY(Phase 1),Block 2,KWUN CHUI RD|恆大•珺瓏灣1期,2座,管翠路",5342675.0,16439.0,325.0,5300753.0,16411.0,323.0,4974134.0,15994.0,311.0,3977792.0,17758.0,224.0,3802150.0,17050.0,223.0,4045665.9999999995,18142.0,223.0,4045220.0,18140.0,223.0,5350668.0,16826.0,318.0,-0.009080193903540867,-0.009086034750097838
2019-5-15,4647078.625,17251.75,8,37176629.0,138014.0,2170,"EMERALD BAY(Phase 1),Block 2,KWUN CHUI RD|恆大•珺瓏灣1期,2座,管翠路",5390775.0,16587.0,325.0,5349849.0,16563.0,323.0,5019851.0,16141.0,311.0,4014079.9999999995,17920.0,224.0,3836715.0,17205.0,223.0,4083130.0,18310.0,223.0,4082906.9999999995,18309.0,223.0,5399322.0,16979.0,318.0,0.04162218310632615,0.04161509433962274
2019-4-15,4461386.0,16562.5,8,35691088.0,132500.0,2170,"EMERALD BAY(Phase 1),Block 2,KWUN CHUI RD|恆大•珺瓏灣1期,2座,管翠路",5174650.0,15922.0,325.0,5136346.0,15902.0,323.0,4819567.0,15497.0,311.0,3853472.0,17203.0,224.0,3683291.0000000005,16517.0,223.0,3920563.0000000005,17581.0,223.0,3920116.9999999995,17579.0,223.0,5183082.0,16299.0,318.0,0.008679979140828742,0.008670762250591935
2019-3-15,4422994.5,16420.125,8,35383956.0,131361.0,2170,"EMERALD BAY(Phase 1),Block 2,KWUN CHUI RD|恆大•珺瓏灣1期,2座,管翠路",5129150.0,15782.0,325.0,5092418.0,15766.0,323.0,4778515.0,15365.0,311.0,3820096.0,17054.0,224.0,3651402.0,16374.0,223.0,3887335.9999999995,17432.0,223.0,3887113.0,17431.0,223.0,5137926.0,16157.0,318.0,0.04239016378867455,0.04238216156165686
2019-2-15,4243127.625,15752.5,8,33945021.0,126020.0,2170,"EMERALD BAY(Phase 1),Block 2,KWUN CHUI RD|恆大•珺瓏灣1期,2座,管翠路",4919850.0,15138.0,325.0,4885698.0,15126.0,323.0,4584140.0,14740.0,311.0,3664640.0,16360.0,224.0,3502661.0,15707.0,223.0,3729898.0,16726.0,223.0,3729452.0,16724.0,223.0,4928682.0,15499.0,318.0,-0.0024864797991515086,-0.002493370799857564
2019-1-15,4253704.375,15791.875,8,34029635.0,126335.0,2170,"EMERALD BAY(Phase 1),Block 2,KWUN CHUI RD|恆大•珺瓏灣1期,2座,管翠路",4931225.0,15173.0,325.0,4898295.0,15165.0,323.0,4595958.0,14778.0,311.0,3673600.0,16400.0,224.0,3511135.0,15745.0,223.0,3739710.0,16770.0,223.0,3739264.0,16768.0,223.0,4940448.0,15536.0,318.0,0.010064391924622162,0.010057804392494152
2018-12-15,4211320.0,15634.625,8,33690560.0,125077.0,2170,"EMERALD BAY(Phase 1),Block 2,KWUN CHUI RD|恆大•珺瓏灣1期,2座,管翠路",4881175.0,15019.0,325.0,4849845.0,15015.0,323.0,4550552.0,14632.0,311.0,3636640.0,16235.0,224.0,3476124.0,15588.0,223.0,3702915.0,16605.0,223.0,3702469.0,16603.0,223.0,4890840.0,15380.0,318.0,-0.04580923208547227,-0.04581829833006568
2018-11-15,4413499.0,16385.375,8,35307992.0,131083.0,2170,"EMERALD BAY(Phase 1),Block 2,KWUN CHUI RD|恆大•珺瓏灣1期,2座,管翠路",5114525.0,15737.0,325.0,5083051.0,15737.0,323.0,4769185.0,15335.0,311.0,3811135.9999999995,17014.0,224.0,3642705.0000000005,16335.0,223.0,3881315.0,17405.0,223.0,3880869.0000000005,17403.0,223.0,5125206.0,16117.0,318.0,-0.0003751849736662871,-0.0003812922757810977
2018-10-15,4415155.5,16391.625,8,35321244.0,131133.0,2170,"EMERALD BAY(Phase 1),Block 2,KWUN CHUI RD|恆大•珺瓏灣1期,2座,管翠路",5115500.0,15740.0,325.0,5085312.0,15744.0,323.0,4771362.0,15342.0,311.0,3812255.9999999995,17019.0,224.0,3643820.0,16340.0,223.0,3883322.0,17414.0,223.0,3882876.0,17412.0,223.0,5126796.0,16122.0,318.0,-0.07708858250110273,-0.0771001069759586
2018-9-15,4783942.875,17761.0,8,38271543.0,142088.0,2170,"EMERALD BAY(Phase 1),Block 2,KWUN CHUI RD|恆大•珺瓏灣1期,2座,管翠路",5541575.0,17051.0,325.0,5510380.0,17060.0,323.0,5170064.0,16624.0,311.0,4130559.9999999995,18440.0,224.0,3947992.0,17704.0,223.0,4208456.0,18872.0,223.0,4208010.0,18870.0,223.0,5554506.0,17467.0,318.0,0.0196561912295945,0.01964836742016507
2018-8-15,4691721.5,17418.75,8,37533772.0,139350.0,2170,"EMERALD BAY(Phase 1),Block 2,KWUN CHUI RD|恆大•珺瓏灣1期,2座,管翠路",5433675.0,16719.0,325.0,5404759.0,16733.0,323.0,5070855.0,16305.0,311.0,4050815.9999999995,18084.0,224.0,3871503.0,17361.0,223.0,4127953.0,18511.0,223.0,4127507.0,18509.0,223.0,5446704.0,17128.0,318.0,0.0049256757713742605,0.0049182219401735505
2018-7-15,4668724.875,17333.5,8,37349799.0,138668.0,2170,"EMERALD BAY(Phase 1),Block 2,KWUN CHUI RD|恆大•珺瓏灣1期,2座,管翠路",5406050.0,16634.0,325.0,5378596.0,16652.0,323.0,5046286.0,16226.0,311.0,4030656.0,17994.0,224.0,3852325.0000000005,17275.0,223.0,4108329.0,18423.0,223.0,4107883.0,18421.0,223.0,5419674.0,17043.0,318.0,-0.005716985067439229,-0.005728953802691672
2018-6-15,4695569.375,17433.375,8,37564555.0,139467.0,2170,"EMERALD BAY(Phase 1),Block 2,KWUN CHUI RD|恆大•珺瓏灣1期,2座,管翠路",5435950.0,16726.0,325.0,5409927.0,16749.0,323.0,5075520.0,16320.0,311.0,4053728.0000000005,18097.0,224.0,3874402.0,17374.0,223.0,4132636.0,18532.0,223.0,4132189.9999999995,18530.0,223.0,5450202.0,17139.0,318.0,0.027503221294265634,0.027494750801193568
2018-5-15,4569882.875,16966.875,8,36559063.0,135735.0,2170,"EMERALD BAY(Phase 1),Block 2,KWUN CHUI RD|恆大•珺瓏灣1期,2座,管翠路",5289375.0,16275.0,325.0,5265546.0,16302.0,323.0,4939924.0,15884.0,311.0,3944864.0,17611.0,224.0,3770484.0000000005,16908.0,223.0,4022697.0000000005,18039.0,223.0,4022251.0,18037.0,223.0,5303922.0,16679.0,318.0,,
