,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_change,npsf_change
2019-12-15,6938294.666666667,14292.333333333334,6,41629768.0,85754.0,2892,"MARINI(Block 3B,Phase IXA,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXA期,3B座(MARINI),1 康城路",11753280.0,15264.0,770.0,5214410.000000001,14093.0,370.0,6569094.0,14343.0,458.0,7340735.0,13721.0,535.0,5416289.0,14291.0,379.0,5335960.0,14042.0,380.0,-0.04993770244992146,-0.049932972158517996
2019-11-15,7302989.166666667,15043.5,6,43817935.0,90261.0,2892,"MARINI(Block 3B,Phase IXA,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXA期,3B座(MARINI),1 康城路",12371590.0,16067.0,770.0,5488210.0,14833.0,370.0,6913968.0,15096.0,458.0,7726470.0,14442.0,535.0,5701297.0,15043.0,379.0,5616400.0,14780.0,380.0,0.04746775287163607,0.0474637639112927
2019-10-15,6972042.0,14361.833333333334,6,41832252.0,86171.0,2892,"MARINI(Block 3B,Phase IXA,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXA期,3B座(MARINI),1 康城路",11811030.0,15339.0,770.0,5239940.0,14162.0,370.0,6600238.0,14411.0,458.0,7376045.0,13787.0,535.0,5442819.0,14361.0,379.0,5362180.0,14111.0,380.0,-0.017157167256888872,-0.017154262902765893
2019-9-15,7093750.666666667,14612.5,6,42562504.0,87675.0,2892,"MARINI(Block 3B,Phase IXA,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXA期,3B座(MARINI),1 康城路",12017389.999999998,15607.0,770.0,5331330.0,14409.0,370.0,6715196.0,14662.0,458.0,7504980.0,14028.0,535.0,5537948.0,14612.0,379.0,5455660.0,14357.0,380.0,-0.03775290903235062,-0.03775448608900844
2019-8-15,7372067.666666667,15185.833333333334,6,44232406.0,91115.0,2892,"MARINI(Block 3B,Phase IXA,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXA期,3B座(MARINI),1 康城路",12488630.0,16219.0,770.0,5540750.0,14975.0,370.0,6978546.0,15237.0,458.0,7799765.0,14579.0,535.0,5755115.0,15185.0,379.0,5669600.0,14920.0,380.0,0.0038991746958723095,0.0039003536761383906
2019-7-15,7343434.333333333,15126.833333333334,6,44060606.0,90761.0,2892,"MARINI(Block 3B,Phase IXA,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXA期,3B座(MARINI),1 康城路",12440120.0,16156.0,770.0,5518920.0,14916.0,370.0,6951982.0,15179.0,458.0,7769270.0,14522.0,535.0,5732754.0,15126.0,379.0,5647560.0,14862.0,380.0,0.004658509617580409,0.004660172680982955
2019-6-15,7309383.5,15056.666666666666,6,43856301.0,90340.0,2892,"MARINI(Block 3B,Phase IXA,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXA期,3B座(MARINI),1 康城路",12382370.000000002,16081.0,770.0,5493020.000000001,14846.0,370.0,6919922.0,15109.0,458.0,7733425.0,14455.0,535.0,5706224.0,15056.0,379.0,5621340.0,14793.0,380.0,-0.01155654569511444,-0.011564931015241253
2019-5-15,7394842.333333333,15232.833333333334,6,44369054.0,91397.0,2892,"MARINI(Block 3B,Phase IXA,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXA期,3B座(MARINI),1 康城路",12526360.0,16268.0,770.0,5557400.0,15020.0,370.0,7001446.0,15287.0,458.0,7823840.0,14624.0,535.0,5772928.000000001,15232.0,379.0,5687080.0,14966.0,380.0,0.024677234223323463,0.024675994439212534
2019-4-15,7216752.833333333,14866.0,6,43300517.0,89196.0,2892,"MARINI(Block 3B,Phase IXA,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXA期,3B座(MARINI),1 康城路",12224520.0,15876.0,770.0,5423460.0,14658.0,370.0,6832902.0,14919.0,458.0,7635520.0,14272.0,535.0,5633835.0,14865.0,379.0,5550280.0,14606.0,380.0,0.035138170410108804,0.03514065546374523
2019-3-15,6971777.333333333,14361.333333333334,6,41830664.0,86168.0,2892,"MARINI(Block 3B,Phase IXA,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXA期,3B座(MARINI),1 康城路",11809490.0,15337.0,770.0,5239200.000000001,14160.0,370.0,6601154.0,14413.0,458.0,7376580.0,13788.0,535.0,5442440.0,14360.0,379.0,5361800.0,14110.0,380.0,-0.0034096049204815904,-0.003411864034326806
2019-2-15,6995629.666666667,14410.5,6,41973778.0,86463.0,2892,"MARINI(Block 3B,Phase IXA,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXA期,3B座(MARINI),1 康城路",11849530.0,15389.0,770.0,5256960.0,14208.0,370.0,6624512.0,14464.0,458.0,7401724.999999999,13835.0,535.0,5461011.0,14409.0,379.0,5380040.0,14158.0,380.0,0.018926265872802883,0.01892595778780759
2019-1-15,6865687.833333333,14142.833333333334,6,41194127.0,84857.0,2892,"MARINI(Block 3B,Phase IXA,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXA期,3B座(MARINI),1 康城路",11629310.0,15103.0,770.0,5159280.0,13944.0,370.0,6501768.0,14196.0,458.0,7264230.000000001,13578.0,535.0,5359439.0,14141.0,379.0,5280100.0,13895.0,380.0,0.03983887772263017,0.03983775702766956
2018-12-15,6602645.833333333,13601.0,6,39615875.0,81606.0,2892,"MARINI(Block 3B,Phase IXA,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXA期,3B座(MARINI),1 康城路",11183480.0,14524.0,770.0,4961330.0,13409.0,370.0,6253074.0,13653.0,458.0,6986030.0,13058.0,535.0,5154021.0,13599.0,379.0,5077940.0,13363.0,380.0,-0.035346589405190976,-0.035344460731003835
2018-11-15,6844578.333333333,14099.333333333334,6,41067470.0,84596.0,2892,"MARINI(Block 3B,Phase IXA,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXA期,3B座(MARINI),1 康城路",11593120.0,15056.0,770.0,5142999.999999999,13900.0,370.0,6482532.000000001,14154.0,458.0,7242295.0,13537.0,535.0,5342763.0,14097.0,379.0,5263760.0,13852.0,380.0,0.03337932787907594,0.033372422554480696
2018-10-15,6623490.666666667,13644.0,6,39740944.0,81864.0,2892,"MARINI(Block 3B,Phase IXA,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXA期,3B座(MARINI),1 康城路",11218129.999999998,14569.0,770.0,4976870.0,13451.0,370.0,6273226.0,13697.0,458.0,7008500.0,13100.0,535.0,5170317.999999999,13642.0,379.0,5093900.0,13405.0,380.0,-0.10738508765656551,-0.10737962316817873
2018-9-15,7420322.666666667,15285.333333333334,6,44521936.0,91712.0,2892,"MARINI(Block 3B,Phase IXA,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXA期,3B座(MARINI),1 康城路",12567940.0,16322.0,770.0,5575530.0,15069.0,370.0,7028468.0,15346.0,458.0,7851659.999999999,14676.0,535.0,5791878.0,15282.0,379.0,5706460.0,15017.0,380.0,0.0017486188305251282,0.001747640685075158
2018-8-15,7407370.0,15258.666666666666,6,44444220.0,91552.0,2892,"MARINI(Block 3B,Phase IXA,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXA期,3B座(MARINI),1 康城路",12545610.0,16293.0,770.0,5565540.000000001,15042.0,370.0,7016560.0,15320.0,458.0,7838285.0,14651.0,535.0,5781645.0,15255.0,379.0,5696580.0,14991.0,380.0,0.007011296171015147,0.007006544574602591
2018-7-15,7355796.333333333,15152.5,6,44134778.0,90915.0,2892,"MARINI(Block 3B,Phase IXA,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXA期,3B座(MARINI),1 康城路",12457830.0,16179.0,770.0,5526690.0,14937.0,370.0,6968012.0,15214.0,458.0,7783715.0,14549.0,535.0,5741471.0,15149.0,379.0,5657060.0,14887.0,380.0,0.01501925579522334,0.015016188455956092
2018-6-15,7246952.5,14928.333333333334,6,43481715.0,89570.0,2892,"MARINI(Block 3B,Phase IXA,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXA期,3B座(MARINI),1 康城路",12273030.0,15939.0,770.0,5444920.0,14716.0,370.0,6865420.0,14990.0,458.0,7668690.0,14334.0,535.0,5656575.0,14925.0,379.0,5573080.0,14666.0,380.0,0.025771685817109535,0.025767292716445178
2018-5-15,7064878.666666667,14553.333333333334,6,42389272.0,87320.0,2892,"MARINI(Block 3B,Phase IXA,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXA期,3B座(MARINI),1 康城路",11964260.0,15538.0,770.0,5308020.0,14346.0,370.0,6693212.0,14614.0,458.0,7476090.0,13974.0,535.0,5514450.0,14550.0,379.0,5433240.0,14298.0,380.0,0.0029518380360413765,0.0029518854163077535
2018-4-15,7044085.666666667,14510.5,6,42264514.0,87063.0,2892,"MARINI(Block 3B,Phase IXA,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXA期,3B座(MARINI),1 康城路",11928840.0,15492.0,770.0,5292110.0,14303.0,370.0,6673976.0,14572.0,458.0,7454155.000000001,13933.0,535.0,5498153.0,14507.0,379.0,5417280.0,14256.0,380.0,0.037771435045319546,0.03777385748682849
2018-3-15,6787704.333333333,13982.333333333334,6,40726226.0,83894.0,2892,"MARINI(Block 3B,Phase IXA,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXA期,3B座(MARINI),1 康城路",11494560.000000002,14928.0,770.0,5099340.0,13782.0,370.0,6431694.0,14043.0,458.0,7182910.0,13426.0,535.0,5297662.0,13978.0,379.0,5220060.0,13737.0,380.0,,
2018-2-15,,,6,,,2892,"MARINI(Block 3B,Phase IXA,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXA期,3B座(MARINI),1 康城路",,,770.0,,,370.0,,,458.0,,,535.0,,,379.0,,,380.0,,
2018-1-15,,,6,,,2892,"MARINI(Block 3B,Phase IXA,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXA期,3B座(MARINI),1 康城路",,,770.0,,,370.0,,,458.0,,,535.0,,,379.0,,,380.0,,
2017-12-15,,,6,,,2892,"MARINI(Block 3B,Phase IXA,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXA期,3B座(MARINI),1 康城路",,,770.0,,,370.0,,,458.0,,,535.0,,,379.0,,,380.0,,
2017-11-15,,,6,,,2892,"MARINI(Block 3B,Phase IXA,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXA期,3B座(MARINI),1 康城路",,,770.0,,,370.0,,,458.0,,,535.0,,,379.0,,,380.0,,
