,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_1,npsf_1,nfa_1,lumpSum_2,npsf_2,nfa_2,lumpSum_3,npsf_3,nfa_3,lumpSum_4,npsf_4,nfa_4,lumpSum_6,npsf_6,nfa_6,lumpSum_7,npsf_7,nfa_7,lumpSum_change,npsf_change
2019-12-15,4492566.833333333,8371.333333333334,6,26955401.0,50228.0,3222,"KWUN TAK COURT(Block A),SHEUNG LOK ST|冠德苑A座,常樂街",3864676.0,8018.0,482.0,4551855.0,8085.0,563.0,4898100.0,8700.0,563.0,4307877.0,8919.0,483.0,4787189.0,8503.0,563.0,4545704.0,8003.0,568.0,-0.023597509517020665,-0.02359939349169926
2019-11-15,4601142.333333333,8573.666666666666,6,27606854.0,51442.0,3222,"KWUN TAK COURT(Block A),SHEUNG LOK ST|冠德苑A座,常樂街",3958184.0,8212.0,482.0,4661640.0,8280.0,563.0,5016330.0,8910.0,563.0,4412205.0,9135.0,483.0,4903167.0,8709.0,563.0,4655328.0,8196.0,568.0,-0.04285213889024975,-0.04285049772071825
2019-10-15,4807138.5,8957.5,6,28842831.0,53745.0,3222,"KWUN TAK COURT(Block A),SHEUNG LOK ST|冠德苑A座,常樂街",4135078.0,8579.0,482.0,4870513.0,8651.0,563.0,5240967.0,9309.0,563.0,4609752.0,9544.0,483.0,5122737.0,9099.0,563.0,4863784.0,8563.0,568.0,0.014249617214613597,0.0142479713153425
2019-9-15,4739601.0,8831.666666666666,6,28437606.0,52990.0,3222,"KWUN TAK COURT(Block A),SHEUNG LOK ST|冠德苑A座,常樂街",4077237.9999999995,8459.0,482.0,4801827.0,8529.0,563.0,5167214.0,9178.0,563.0,4545030.0,9410.0,483.0,5050673.0,8971.0,563.0,4795624.0,8443.0,568.0,-0.0629543089492135,-0.06295313881520781
2019-8-15,5058025.5,9425.0,6,30348153.0,56550.0,3222,"KWUN TAK COURT(Block A),SHEUNG LOK ST|冠德苑A座,常樂街",4351014.0,9027.0,482.0,5124426.0,9102.0,563.0,5514585.0,9795.0,563.0,4850286.0,10042.0,483.0,5390162.0,9574.0,563.0,5117680.0,9010.0,568.0,0.0014512191801956398,0.0014521498902031471
2019-7-15,5050695.833333333,9411.333333333334,6,30304175.0,56468.0,3222,"KWUN TAK COURT(Block A),SHEUNG LOK ST|冠德苑A座,常樂街",4344748.0,9014.0,482.0,5117107.0,9089.0,563.0,5506703.0,9781.0,563.0,4843041.0,10027.0,483.0,5382280.0,9560.0,563.0,5110296.0,8997.0,568.0,0.004965670393193733,0.004965384683834895
2019-6-15,5025739.666666667,9364.833333333334,6,30154438.0,56189.0,3222,"KWUN TAK COURT(Block A),SHEUNG LOK ST|冠德苑A座,常樂街",4323058.0,8969.0,482.0,5091772.0,9044.0,563.0,5479679.0,9733.0,563.0,4819374.0,9978.0,483.0,5355819.0,9513.0,563.0,5084736.0,8952.0,568.0,-0.033010007498761484,-0.0330080713167088
2019-5-15,5197302.666666667,9684.5,6,31183816.0,58107.0,3222,"KWUN TAK COURT(Block A),SHEUNG LOK ST|冠德苑A座,常樂街",4470550.0,9275.0,482.0,5265739.0,9353.0,563.0,5666595.0,10065.0,563.0,4983594.0,10318.0,483.0,5538794.0,9838.0,563.0,5258544.0,9258.0,568.0,0.07843193604954957,0.07843210036933246
2019-4-15,4819314.5,8980.166666666666,6,28915887.0,53881.0,3222,"KWUN TAK COURT(Block A),SHEUNG LOK ST|冠德苑A座,常樂街",4145682.0,8601.0,482.0,4882899.0,8673.0,563.0,5254479.0,9333.0,563.0,4620861.0,9567.0,483.0,5135686.0,9122.0,563.0,4876280.0,8585.0,568.0,0.0955212570068209,0.09552081003598811
2019-3-15,4399106.333333333,8197.166666666666,6,26394638.0,49183.0,3222,"KWUN TAK COURT(Block A),SHEUNG LOK ST|冠德苑A座,常樂街",3784182.0,7851.0,482.0,4456708.0,7916.0,563.0,4796760.0,8520.0,563.0,4218039.0,8733.0,483.0,4688101.0,8327.0,563.0,4450848.0,7836.0,568.0,0.00017999318526840113,0.0001830235490298815
2019-2-15,4398314.666666667,8195.666666666666,6,26389888.0,49174.0,3222,"KWUN TAK COURT(Block A),SHEUNG LOK ST|冠德苑A座,常樂街",3783218.0,7849.0,482.0,4456145.0,7915.0,563.0,4795634.0,8518.0,563.0,4217073.0,8731.0,483.0,4687538.0,8326.0,563.0,4450280.0,7835.0,568.0,-0.0015814729054960397,-0.001583692032810835
