,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_whole floor,npsf_whole floor,nfa_whole floor,lumpSum_change,npsf_change
2019-12-15,38725596.0,23642.0,1,38725596.0,23642.0,1638,"ONE KAI TAK (I)(Block L7),MUK NING ST|啟德1號 (I)L7座,沐寧街",38725596.0,23642.0,1638.0,-0.0175365691489362,-0.0175365691489362
2019-11-15,39416832.0,24064.0,1,39416832.0,24064.0,1638,"ONE KAI TAK (I)(Block L7),MUK NING ST|啟德1號 (I)L7座,沐寧街",39416832.0,24064.0,1638.0,0.026183368869935997,0.026183368869935997
2019-10-15,38411100.0,23450.0,1,38411100.0,23450.0,1638,"ONE KAI TAK (I)(Block L7),MUK NING ST|啟德1號 (I)L7座,沐寧街",38411100.0,23450.0,1638.0,-0.029146311169992556,-0.029146311169992556
2019-9-15,39564252.0,24154.0,1,39564252.0,24154.0,1638,"ONE KAI TAK (I)(Block L7),MUK NING ST|啟德1號 (I)L7座,沐寧街",39564252.0,24154.0,1638.0,-0.05559899906162025,-0.05559899906162025
2019-8-15,41893488.0,25576.0,1,41893488.0,25576.0,1638,"ONE KAI TAK (I)(Block L7),MUK NING ST|啟德1號 (I)L7座,沐寧街",41893488.0,25576.0,1638.0,0.002272905400109826,0.002272905400109826
2019-7-15,41798484.0,25518.0,1,41798484.0,25518.0,1638,"ONE KAI TAK (I)(Block L7),MUK NING ST|啟德1號 (I)L7座,沐寧街",41798484.0,25518.0,1638.0,0.0028295213393068064,0.0028295213393068064
2019-6-15,41680548.0,25446.0,1,41680548.0,25446.0,1638,"ONE KAI TAK (I)(Block L7),MUK NING ST|啟德1號 (I)L7座,沐寧街",41680548.0,25446.0,1638.0,-0.009150734005685113,-0.009150734005685113
2019-5-15,42065478.0,25681.0,1,42065478.0,25681.0,1638,"ONE KAI TAK (I)(Block L7),MUK NING ST|啟德1號 (I)L7座,沐寧街",42065478.0,25681.0,1638.0,0.018400285521671833,0.018400285521671833
2019-4-15,41305446.0,25217.0,1,41305446.0,25217.0,1638,"ONE KAI TAK (I)(Block L7),MUK NING ST|啟德1號 (I)L7座,沐寧街",41305446.0,25217.0,1638.0,0.024914648024711328,0.024914648024711328
2019-3-15,40301352.0,24604.0,1,40301352.0,24604.0,1638,"ONE KAI TAK (I)(Block L7),MUK NING ST|啟德1號 (I)L7座,沐寧街",40301352.0,24604.0,1638.0,0.02354605208419991,0.02354605208419991
2019-2-15,39374244.0,24038.0,1,39374244.0,24038.0,1638,"ONE KAI TAK (I)(Block L7),MUK NING ST|啟德1號 (I)L7座,沐寧街",39374244.0,24038.0,1638.0,0.016534867002156783,0.016534867002156783
2019-1-15,38733786.0,23647.0,1,38733786.0,23647.0,1638,"ONE KAI TAK (I)(Block L7),MUK NING ST|啟德1號 (I)L7座,沐寧街",38733786.0,23647.0,1638.0,0.04249878763831938,0.04249878763831938
2018-12-15,37154754.0,22683.0,1,37154754.0,22683.0,1638,"ONE KAI TAK (I)(Block L7),MUK NING ST|啟德1號 (I)L7座,沐寧街",37154754.0,22683.0,1638.0,-0.071662437586969,-0.071662437586969
2018-11-15,40022892.0,24434.0,1,40022892.0,24434.0,1638,"ONE KAI TAK (I)(Block L7),MUK NING ST|啟德1號 (I)L7座,沐寧街",40022892.0,24434.0,1638.0,0.027847888271916643,0.027847888271916643
2018-10-15,38938536.0,23772.0,1,38938536.0,23772.0,1638,"ONE KAI TAK (I)(Block L7),MUK NING ST|啟德1號 (I)L7座,沐寧街",38938536.0,23772.0,1638.0,-0.0428024964767465,-0.0428024964767465
2018-9-15,40679730.0,24835.0,1,40679730.0,24835.0,1638,"ONE KAI TAK (I)(Block L7),MUK NING ST|啟德1號 (I)L7座,沐寧街",40679730.0,24835.0,1638.0,-0.049159615605497864,-0.049159615605497864
2018-8-15,42782922.0,26119.0,1,42782922.0,26119.0,1638,"ONE KAI TAK (I)(Block L7),MUK NING ST|啟德1號 (I)L7座,沐寧街",42782922.0,26119.0,1638.0,,
2018-7-15,,,1,,,1638,"ONE KAI TAK (I)(Block L7),MUK NING ST|啟德1號 (I)L7座,沐寧街",,,1638.0,,
2018-6-15,,,1,,,1638,"ONE KAI TAK (I)(Block L7),MUK NING ST|啟德1號 (I)L7座,沐寧街",,,1638.0,,
2018-5-15,,,1,,,1638,"ONE KAI TAK (I)(Block L7),MUK NING ST|啟德1號 (I)L7座,沐寧街",,,1638.0,,
2018-4-15,,,1,,,1638,"ONE KAI TAK (I)(Block L7),MUK NING ST|啟德1號 (I)L7座,沐寧街",,,1638.0,,
2018-3-15,,,1,,,1638,"ONE KAI TAK (I)(Block L7),MUK NING ST|啟德1號 (I)L7座,沐寧街",,,1638.0,,
2018-2-15,,,1,,,1638,"ONE KAI TAK (I)(Block L7),MUK NING ST|啟德1號 (I)L7座,沐寧街",,,1638.0,,
2018-1-15,,,1,,,1638,"ONE KAI TAK (I)(Block L7),MUK NING ST|啟德1號 (I)L7座,沐寧街",,,1638.0,,
2017-12-15,,,1,,,1638,"ONE KAI TAK (I)(Block L7),MUK NING ST|啟德1號 (I)L7座,沐寧街",,,1638.0,,
2017-11-15,,,1,,,1638,"ONE KAI TAK (I)(Block L7),MUK NING ST|啟德1號 (I)L7座,沐寧街",,,1638.0,,
2017-10-15,,,1,,,1638,"ONE KAI TAK (I)(Block L7),MUK NING ST|啟德1號 (I)L7座,沐寧街",,,1638.0,,
2017-9-15,,,1,,,1638,"ONE KAI TAK (I)(Block L7),MUK NING ST|啟德1號 (I)L7座,沐寧街",,,1638.0,,
2017-8-15,,,1,,,1638,"ONE KAI TAK (I)(Block L7),MUK NING ST|啟德1號 (I)L7座,沐寧街",,,1638.0,,
2017-7-15,,,1,,,1638,"ONE KAI TAK (I)(Block L7),MUK NING ST|啟德1號 (I)L7座,沐寧街",,,1638.0,,
2017-6-15,,,1,,,1638,"ONE KAI TAK (I)(Block L7),MUK NING ST|啟德1號 (I)L7座,沐寧街",,,1638.0,,
2017-5-15,,,1,,,1638,"ONE KAI TAK (I)(Block L7),MUK NING ST|啟德1號 (I)L7座,沐寧街",,,1638.0,,
2017-4-15,,,1,,,1638,"ONE KAI TAK (I)(Block L7),MUK NING ST|啟德1號 (I)L7座,沐寧街",,,1638.0,,
2017-3-15,,,1,,,1638,"ONE KAI TAK (I)(Block L7),MUK NING ST|啟德1號 (I)L7座,沐寧街",,,1638.0,,
2017-2-15,,,1,,,1638,"ONE KAI TAK (I)(Block L7),MUK NING ST|啟德1號 (I)L7座,沐寧街",,,1638.0,,
2017-1-15,,,1,,,1638,"ONE KAI TAK (I)(Block L7),MUK NING ST|啟德1號 (I)L7座,沐寧街",,,1638.0,,
2016-12-15,,,1,,,1638,"ONE KAI TAK (I)(Block L7),MUK NING ST|啟德1號 (I)L7座,沐寧街",,,1638.0,,
2016-11-15,,,1,,,1638,"ONE KAI TAK (I)(Block L7),MUK NING ST|啟德1號 (I)L7座,沐寧街",,,1638.0,,
2016-10-15,,,1,,,1638,"ONE KAI TAK (I)(Block L7),MUK NING ST|啟德1號 (I)L7座,沐寧街",,,1638.0,,
2016-9-15,,,1,,,1638,"ONE KAI TAK (I)(Block L7),MUK NING ST|啟德1號 (I)L7座,沐寧街",,,1638.0,,
2016-8-15,,,1,,,1638,"ONE KAI TAK (I)(Block L7),MUK NING ST|啟德1號 (I)L7座,沐寧街",,,1638.0,,
2016-7-15,,,1,,,1638,"ONE KAI TAK (I)(Block L7),MUK NING ST|啟德1號 (I)L7座,沐寧街",,,1638.0,,
2016-6-15,,,1,,,1638,"ONE KAI TAK (I)(Block L7),MUK NING ST|啟德1號 (I)L7座,沐寧街",,,1638.0,,
2016-5-15,,,1,,,1638,"ONE KAI TAK (I)(Block L7),MUK NING ST|啟德1號 (I)L7座,沐寧街",,,1638.0,,
2016-4-15,,,1,,,1638,"ONE KAI TAK (I)(Block L7),MUK NING ST|啟德1號 (I)L7座,沐寧街",,,1638.0,,
2016-3-15,,,1,,,1638,"ONE KAI TAK (I)(Block L7),MUK NING ST|啟德1號 (I)L7座,沐寧街",,,1638.0,,
2016-2-15,,,1,,,1638,"ONE KAI TAK (I)(Block L7),MUK NING ST|啟德1號 (I)L7座,沐寧街",,,1638.0,,
2016-1-15,,,1,,,1638,"ONE KAI TAK (I)(Block L7),MUK NING ST|啟德1號 (I)L7座,沐寧街",,,1638.0,,
