,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_H,npsf_H,nfa_H,lumpSum_change,npsf_change
2019-12-15,,,7,,,3516,"CULLINAN WEST III(Phase 5),Block 8,SHAM MONG RD|匯璽III5期,8座,深旺道",,,1513.0,8115684.0,22174.0,366.0,5979875.0,21745.0,275.0,6281175.0,23525.0,267.0,7390250.0,21115.0,350.0,7351164.0,20766.0,354.0,7982265.000000001,20415.0,391.0,,
2019-11-15,,,7,,,3516,"CULLINAN WEST III(Phase 5),Block 8,SHAM MONG RD|匯璽III5期,8座,深旺道",,,1513.0,8256960.0,22560.0,366.0,6083275.0,22121.0,275.0,6389310.0,23930.0,267.0,7519050.0,21483.0,350.0,7478958.0,21127.0,354.0,8120679.0,20769.0,391.0,,
2019-10-15,,,7,,,3516,"CULLINAN WEST III(Phase 5),Block 8,SHAM MONG RD|匯璽III5期,8座,深旺道",,,1513.0,8042484.0,21974.0,366.0,5924600.0,21544.0,275.0,6222702.0,23306.0,267.0,7324100.0,20926.0,350.0,7284612.0,20578.0,354.0,7909539.0,20229.0,391.0,,
2019-9-15,,,7,,,3516,"CULLINAN WEST III(Phase 5),Block 8,SHAM MONG RD|匯璽III5期,8座,深旺道",,,1513.0,8279286.0,22621.0,366.0,6099225.0,22179.0,275.0,6406398.0,23994.0,267.0,7539700.0,21542.0,350.0,7499136.0,21184.0,354.0,8142575.0,20825.0,391.0,,
2019-8-15,,,7,,,3516,"CULLINAN WEST III(Phase 5),Block 8,SHAM MONG RD|匯璽III5期,8座,深旺道",,,1513.0,8541342.0,23337.0,366.0,6292825.0,22883.0,275.0,6610119.0,24757.0,267.0,7778050.0,22223.0,350.0,7736670.0,21855.0,354.0,8400635.0,21485.0,391.0,,
2019-7-15,,,7,,,3516,"CULLINAN WEST III(Phase 5),Block 8,SHAM MONG RD|匯璽III5期,8座,深旺道",,,1513.0,8520846.0,23281.0,366.0,6278800.0,22832.0,275.0,6595701.0,24703.0,267.0,7759150.0,22169.0,350.0,7718262.0,21803.0,354.0,8381085.0,21435.0,391.0,,
2019-6-15,,,7,,,3516,"CULLINAN WEST III(Phase 5),Block 8,SHAM MONG RD|匯璽III5期,8座,深旺道",,,1513.0,8495958.0,23213.0,366.0,6260925.0,22767.0,275.0,6577278.0,24634.0,267.0,7736050.0,22103.0,350.0,7695606.0,21739.0,354.0,8356843.0,21373.0,391.0,,
2019-5-15,,,7,,,3516,"CULLINAN WEST III(Phase 5),Block 8,SHAM MONG RD|匯璽III5期,8座,深旺道",,,1513.0,8573550.0,23425.0,366.0,6318950.0,22978.0,275.0,6638688.0,24864.0,267.0,7806400.0,22304.0,350.0,7765698.0,21937.0,354.0,8433479.0,21569.0,391.0,,
2019-4-15,,,7,,,3516,"CULLINAN WEST III(Phase 5),Block 8,SHAM MONG RD|匯璽III5期,8座,深旺道",,,1513.0,8417268.0,22998.0,366.0,6204825.0,22563.0,275.0,6518805.0,24415.0,267.0,7664300.0,21898.0,350.0,7624452.0,21538.0,354.0,8280598.0,21178.0,391.0,,
2019-3-15,,,7,,,3516,"CULLINAN WEST III(Phase 5),Block 8,SHAM MONG RD|匯璽III5期,8座,深旺道",,,1513.0,8211210.0,22435.0,366.0,6053575.0,22013.0,275.0,6360474.0,23822.0,267.0,7476350.0,21361.0,350.0,7437894.0,21011.0,354.0,8078060.0,20660.0,391.0,,
2019-2-15,,,7,,,3516,"CULLINAN WEST III(Phase 5),Block 8,SHAM MONG RD|匯璽III5期,8座,深旺道",,,1513.0,8021622.0,21917.0,366.0,5914425.0,21507.0,275.0,6214425.0,23275.0,267.0,7303100.0,20866.0,350.0,7265850.0,20525.0,354.0,7891944.0,20184.0,391.0,,
2019-1-15,,,7,,,3516,"CULLINAN WEST III(Phase 5),Block 8,SHAM MONG RD|匯璽III5期,8座,深旺道",,,1513.0,7889861.999999999,21557.0,366.0,5818175.0,21157.0,275.0,6113766.0,22898.0,267.0,7183050.0,20523.0,350.0,7146552.0,20188.0,354.0,7762523.0,19853.0,391.0,,
2018-12-15,,,7,,,3516,"CULLINAN WEST III(Phase 5),Block 8,SHAM MONG RD|匯璽III5期,8座,深旺道",,,1513.0,7567050.0,20675.0,366.0,5580850.0,20294.0,275.0,5864655.0,21965.0,267.0,6889050.0,19683.0,350.0,6854501.999999999,19363.0,354.0,7445422.0,19042.0,391.0,,
2018-11-15,,,7,,,3516,"CULLINAN WEST III(Phase 5),Block 8,SHAM MONG RD|匯璽III5期,8座,深旺道",,,1513.0,8150088.0,22268.0,366.0,6011775.0,21861.0,275.0,6317754.0,23662.0,267.0,7419650.0,21199.0,350.0,7382670.0,20855.0,354.0,8019801.0,20511.0,391.0,,
2018-10-15,,,7,,,3516,"CULLINAN WEST III(Phase 5),Block 8,SHAM MONG RD|匯璽III5期,8座,深旺道",,,1513.0,7928292.0,21662.0,366.0,5848700.0,21268.0,275.0,6146874.0,23022.0,267.0,7217000.0,20620.0,350.0,7181598.0,20287.0,354.0,7801623.0,19953.0,391.0,,
2018-9-15,,,7,,,3516,"CULLINAN WEST III(Phase 5),Block 8,SHAM MONG RD|匯璽III5期,8座,深旺道",,,1513.0,8281482.0,22627.0,366.0,6110225.0,22219.0,275.0,6422151.0,24053.0,267.0,7538650.0,21539.0,350.0,7501614.0,21191.0,354.0,8150004.0,20844.0,391.0,,
2018-8-15,,,7,,,3516,"CULLINAN WEST III(Phase 5),Block 8,SHAM MONG RD|匯璽III5期,8座,深旺道",,,1513.0,8708604.0,23794.0,366.0,6426475.0,23369.0,275.0,6754833.0,25299.0,267.0,7926800.0,22648.0,350.0,7888536.0,22284.0,354.0,8570720.0,21920.0,391.0,,
2018-7-15,,,7,,,3516,"CULLINAN WEST III(Phase 5),Block 8,SHAM MONG RD|匯璽III5期,8座,深旺道",,,1513.0,8706408.0,23788.0,366.0,6425650.0,23366.0,275.0,6754566.0,25298.0,267.0,7924700.0,22642.0,350.0,7886412.0,22278.0,354.0,8568765.0,21915.0,391.0,,
2018-6-15,,,7,,,3516,"CULLINAN WEST III(Phase 5),Block 8,SHAM MONG RD|匯璽III5期,8座,深旺道",,,1513.0,8382864.0,22904.0,366.0,6187775.0,22501.0,275.0,6504921.0,24363.0,267.0,7629650.0,21799.0,350.0,7593654.0,21451.0,354.0,8250882.0,21102.0,391.0,,
2018-5-15,,,7,,,3516,"CULLINAN WEST III(Phase 5),Block 8,SHAM MONG RD|匯璽III5期,8座,深旺道",,,1513.0,8335284.0,22774.0,366.0,6153400.0,22376.0,275.0,6469143.0,24229.0,267.0,7585900.0,21674.0,350.0,7550466.0,21329.0,354.0,8204744.0,20984.0,391.0,,
2018-4-15,,,7,,,3516,"CULLINAN WEST III(Phase 5),Block 8,SHAM MONG RD|匯璽III5期,8座,深旺道",,,1513.0,8320278.0,22733.0,366.0,6143500.0,22340.0,275.0,6459264.0,24192.0,267.0,7572250.0,21635.0,350.0,7537014.0,21291.0,354.0,8190277.0,20947.0,391.0,,
2018-3-15,,,7,,,3516,"CULLINAN WEST III(Phase 5),Block 8,SHAM MONG RD|匯璽III5期,8座,深旺道",,,1513.0,,,366.0,,,275.0,,,267.0,,,350.0,,,354.0,,,391.0,,
2018-2-15,,,7,,,3516,"CULLINAN WEST III(Phase 5),Block 8,SHAM MONG RD|匯璽III5期,8座,深旺道",,,1513.0,,,366.0,,,275.0,,,267.0,,,350.0,,,354.0,,,391.0,,
2018-1-15,,,7,,,3516,"CULLINAN WEST III(Phase 5),Block 8,SHAM MONG RD|匯璽III5期,8座,深旺道",,,1513.0,,,366.0,,,275.0,,,267.0,,,350.0,,,354.0,,,391.0,,
2017-12-15,,,7,,,3516,"CULLINAN WEST III(Phase 5),Block 8,SHAM MONG RD|匯璽III5期,8座,深旺道",,,1513.0,,,366.0,,,275.0,,,267.0,,,350.0,,,354.0,,,391.0,,
2017-11-15,,,7,,,3516,"CULLINAN WEST III(Phase 5),Block 8,SHAM MONG RD|匯璽III5期,8座,深旺道",,,1513.0,,,366.0,,,275.0,,,267.0,,,350.0,,,354.0,,,391.0,,
2017-10-15,,,7,,,3516,"CULLINAN WEST III(Phase 5),Block 8,SHAM MONG RD|匯璽III5期,8座,深旺道",,,1513.0,,,366.0,,,275.0,,,267.0,,,350.0,,,354.0,,,391.0,,
2017-9-15,,,7,,,3516,"CULLINAN WEST III(Phase 5),Block 8,SHAM MONG RD|匯璽III5期,8座,深旺道",,,1513.0,,,366.0,,,275.0,,,267.0,,,350.0,,,354.0,,,391.0,,
2017-8-15,,,7,,,3516,"CULLINAN WEST III(Phase 5),Block 8,SHAM MONG RD|匯璽III5期,8座,深旺道",,,1513.0,,,366.0,,,275.0,,,267.0,,,350.0,,,354.0,,,391.0,,
2017-7-15,,,7,,,3516,"CULLINAN WEST III(Phase 5),Block 8,SHAM MONG RD|匯璽III5期,8座,深旺道",,,1513.0,,,366.0,,,275.0,,,267.0,,,350.0,,,354.0,,,391.0,,
2017-6-15,,,7,,,3516,"CULLINAN WEST III(Phase 5),Block 8,SHAM MONG RD|匯璽III5期,8座,深旺道",,,1513.0,,,366.0,,,275.0,,,267.0,,,350.0,,,354.0,,,391.0,,
2017-5-15,,,7,,,3516,"CULLINAN WEST III(Phase 5),Block 8,SHAM MONG RD|匯璽III5期,8座,深旺道",,,1513.0,,,366.0,,,275.0,,,267.0,,,350.0,,,354.0,,,391.0,,
2017-4-15,,,7,,,3516,"CULLINAN WEST III(Phase 5),Block 8,SHAM MONG RD|匯璽III5期,8座,深旺道",,,1513.0,,,366.0,,,275.0,,,267.0,,,350.0,,,354.0,,,391.0,,
2017-3-15,,,7,,,3516,"CULLINAN WEST III(Phase 5),Block 8,SHAM MONG RD|匯璽III5期,8座,深旺道",,,1513.0,,,366.0,,,275.0,,,267.0,,,350.0,,,354.0,,,391.0,,
2017-2-15,,,7,,,3516,"CULLINAN WEST III(Phase 5),Block 8,SHAM MONG RD|匯璽III5期,8座,深旺道",,,1513.0,,,366.0,,,275.0,,,267.0,,,350.0,,,354.0,,,391.0,,
2017-1-15,,,7,,,3516,"CULLINAN WEST III(Phase 5),Block 8,SHAM MONG RD|匯璽III5期,8座,深旺道",,,1513.0,,,366.0,,,275.0,,,267.0,,,350.0,,,354.0,,,391.0,,
2016-12-15,,,7,,,3516,"CULLINAN WEST III(Phase 5),Block 8,SHAM MONG RD|匯璽III5期,8座,深旺道",,,1513.0,,,366.0,,,275.0,,,267.0,,,350.0,,,354.0,,,391.0,,
2016-11-15,,,7,,,3516,"CULLINAN WEST III(Phase 5),Block 8,SHAM MONG RD|匯璽III5期,8座,深旺道",,,1513.0,,,366.0,,,275.0,,,267.0,,,350.0,,,354.0,,,391.0,,
2016-10-15,,,7,,,3516,"CULLINAN WEST III(Phase 5),Block 8,SHAM MONG RD|匯璽III5期,8座,深旺道",,,1513.0,,,366.0,,,275.0,,,267.0,,,350.0,,,354.0,,,391.0,,
2016-9-15,,,7,,,3516,"CULLINAN WEST III(Phase 5),Block 8,SHAM MONG RD|匯璽III5期,8座,深旺道",,,1513.0,,,366.0,,,275.0,,,267.0,,,350.0,,,354.0,,,391.0,,
2016-8-15,,,7,,,3516,"CULLINAN WEST III(Phase 5),Block 8,SHAM MONG RD|匯璽III5期,8座,深旺道",,,1513.0,,,366.0,,,275.0,,,267.0,,,350.0,,,354.0,,,391.0,,
2016-7-15,,,7,,,3516,"CULLINAN WEST III(Phase 5),Block 8,SHAM MONG RD|匯璽III5期,8座,深旺道",,,1513.0,,,366.0,,,275.0,,,267.0,,,350.0,,,354.0,,,391.0,,
2016-6-15,,,7,,,3516,"CULLINAN WEST III(Phase 5),Block 8,SHAM MONG RD|匯璽III5期,8座,深旺道",,,1513.0,,,366.0,,,275.0,,,267.0,,,350.0,,,354.0,,,391.0,,
2016-5-15,,,7,,,3516,"CULLINAN WEST III(Phase 5),Block 8,SHAM MONG RD|匯璽III5期,8座,深旺道",,,1513.0,,,366.0,,,275.0,,,267.0,,,350.0,,,354.0,,,391.0,,
2016-4-15,,,7,,,3516,"CULLINAN WEST III(Phase 5),Block 8,SHAM MONG RD|匯璽III5期,8座,深旺道",,,1513.0,,,366.0,,,275.0,,,267.0,,,350.0,,,354.0,,,391.0,,
2016-3-15,,,7,,,3516,"CULLINAN WEST III(Phase 5),Block 8,SHAM MONG RD|匯璽III5期,8座,深旺道",,,1513.0,,,366.0,,,275.0,,,267.0,,,350.0,,,354.0,,,391.0,,
2016-2-15,,,7,,,3516,"CULLINAN WEST III(Phase 5),Block 8,SHAM MONG RD|匯璽III5期,8座,深旺道",,,1513.0,,,366.0,,,275.0,,,267.0,,,350.0,,,354.0,,,391.0,,
2016-1-15,,,7,,,3516,"CULLINAN WEST III(Phase 5),Block 8,SHAM MONG RD|匯璽III5期,8座,深旺道",,,1513.0,,,366.0,,,275.0,,,267.0,,,350.0,,,354.0,,,391.0,,
