,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A1,npsf_A1,nfa_A1,lumpSum_A2,npsf_A2,nfa_A2,lumpSum_A3,npsf_A3,nfa_A3,lumpSum_A5,npsf_A5,nfa_A5,lumpSum_A6,npsf_A6,nfa_A6,lumpSum_A8,npsf_A8,nfa_A8,lumpSum_B1,npsf_B1,nfa_B1,lumpSum_B2,npsf_B2,nfa_B2,lumpSum_B3,npsf_B3,nfa_B3,lumpSum_B5,npsf_B5,nfa_B5,lumpSum_B6,npsf_B6,nfa_B6,lumpSum_B8,npsf_B8,nfa_B8,lumpSum_change,npsf_change
2019-12-15,5787660.083333333,13431.333333333334,12,69451921.0,161176.0,5185,"WETLAND SEASONS PARK(Block 6),WETLAND PARK RD|WETLAND SEASONS PARK6座,濕地公園路",6013380.0,12932.0,465.0,5727351.0,13413.0,427.0,6037850.0,13270.0,455.0,5603169.0,13061.0,429.0,5561004.0,13054.0,426.0,5974254.0,13926.0,429.0,6605759.0,12679.0,521.0,5535295.0,14605.0,379.0,4813172.000000001,13223.0,364.0,5789208.0,13278.0,436.0,5574415.0,14479.0,385.0,6217064.0,13256.0,469.0,-0.0003321626579968484,-0.00033492526204803585
2019-11-15,5789583.166666667,13435.833333333334,12,69474998.0,161230.0,5185,"WETLAND SEASONS PARK(Block 6),WETLAND PARK RD|WETLAND SEASONS PARK6座,濕地公園路",6014310.0,12934.0,465.0,5729059.0,13417.0,427.0,6040125.0,13275.0,455.0,5605743.0,13067.0,429.0,5561856.0,13056.0,426.0,5976399.0,13931.0,429.0,6608364.0,12684.0,521.0,5537190.0,14610.0,379.0,4815720.0,13230.0,364.0,5790952.0,13282.0,436.0,5576340.0,14484.0,385.0,6218940.0,13260.0,469.0,0.02011441022100202,0.020113760748112997
2019-10-15,5675425.333333333,13170.916666666666,12,68105104.0,158051.0,5185,"WETLAND SEASONS PARK(Block 6),WETLAND PARK RD|WETLAND SEASONS PARK6座,濕地公園路",5894805.000000001,12677.0,465.0,5616331.0,13153.0,427.0,5921370.000000001,13014.0,455.0,5495490.0,12810.0,429.0,5451522.0,12797.0,426.0,5858424.0,13656.0,429.0,6478635.0,12435.0,521.0,5428038.0,14322.0,379.0,4721444.0,12971.0,364.0,5676284.0,13019.0,436.0,5466230.0,14198.0,385.0,6096531.0,12999.0,469.0,0.010750852350845053,0.010750143889492803
2019-9-15,5615058.666666667,13030.833333333334,12,67380704.0,156370.0,5185,"WETLAND SEASONS PARK(Block 6),WETLAND PARK RD|WETLAND SEASONS PARK6座,濕地公園路",5831100.0,12540.0,465.0,5556551.0,13013.0,427.0,5859035.0,12877.0,455.0,5437575.0,12675.0,429.0,5392734.0,12659.0,426.0,5796219.0,13511.0,429.0,6410384.0,12304.0,521.0,5370051.0,14169.0,379.0,4671940.0,12835.0,364.0,5615680.0,12880.0,436.0,5408095.0,14047.0,385.0,6031340.0,12860.0,469.0,-0.05395900051658231,-0.05396003363805213
2019-8-15,5935322.75,13774.083333333334,12,71223873.0,165289.0,5185,"WETLAND SEASONS PARK(Block 6),WETLAND PARK RD|WETLAND SEASONS PARK6座,濕地公園路",6162645.0,13253.0,465.0,5873385.0,13755.0,427.0,6193915.0,13613.0,455.0,5748171.0,13399.0,429.0,5699028.0,13378.0,426.0,6126549.0,14281.0,429.0,6776647.0,13007.0,521.0,5676283.0,14977.0,379.0,4939480.0,13570.0,364.0,5935704.0,13614.0,436.0,5716480.0,14848.0,385.0,6375586.0,13594.0,469.0,0.04113493089787856,0.04113152640165296
2019-7-15,5700819.916666667,13229.916666666666,12,68409839.0,158759.0,5185,"WETLAND SEASONS PARK(Block 6),WETLAND PARK RD|WETLAND SEASONS PARK6座,濕地公園路",5918055.0,12727.0,465.0,5641524.0,13212.0,427.0,5949580.0,13076.0,455.0,5521659.0,12871.0,429.0,5472822.0,12847.0,426.0,5884593.0,13717.0,429.0,6509374.0,12494.0,521.0,5452294.0,14386.0,379.0,4745103.999999999,13036.0,364.0,5700700.0,13075.0,436.0,5490870.0,14262.0,385.0,6123264.0,13056.0,469.0,-0.04417827892891146,-0.04417900383510842
2019-6-15,5964313.0,13841.416666666666,12,71571756.0,166097.0,5185,"WETLAND SEASONS PARK(Block 6),WETLAND PARK RD|WETLAND SEASONS PARK6座,濕地公園路",6190545.0,13313.0,465.0,5901994.0,13822.0,427.0,6224855.0,13681.0,455.0,5776914.0,13466.0,429.0,5725014.0,13439.0,426.0,6156579.0,14351.0,429.0,6811033.0,13073.0,521.0,5704329.0,15051.0,379.0,4965324.0,13641.0,364.0,5964044.0,13679.0,436.0,5744585.0,14921.0,385.0,6406540.0,13660.0,469.0,0.0024587860464522215,0.002456394471603618
2019-5-15,5949684.0,13807.5,12,71396208.0,165690.0,5185,"WETLAND SEASONS PARK(Block 6),WETLAND PARK RD|WETLAND SEASONS PARK6座,濕地公園路",6174270.0,13278.0,465.0,5887476.0,13788.0,427.0,6210295.0,13649.0,455.0,5763615.0,13435.0,429.0,5709678.0,13403.0,426.0,6141564.0,14316.0,429.0,6794882.0,13042.0,521.0,5690306.0,15014.0,379.0,4954404.0,13611.0,364.0,5948784.0,13644.0,436.0,5730340.0,14884.0,385.0,6390594.0,13626.0,469.0,-0.003672818918383447,-0.003674060889591768
2019-4-15,5971616.666666667,13858.416666666666,12,71659400.0,166301.0,5185,"WETLAND SEASONS PARK(Block 6),WETLAND PARK RD|WETLAND SEASONS PARK6座,濕地公園路",6195660.0,13324.0,465.0,5909253.0,13839.0,427.0,6233955.0,13701.0,455.0,5785494.0,13486.0,429.0,5729700.0,13450.0,426.0,6164301.0,14369.0,429.0,6820411.0,13091.0,521.0,5711151.0,15069.0,379.0,4973332.0,13663.0,364.0,5970583.999999999,13694.0,436.0,5751515.0,14939.0,385.0,6414044.0,13676.0,469.0,0.06057356967854277,0.06057282067307379
2019-3-15,5630553.916666667,13066.916666666666,12,67566647.0,156803.0,5185,"WETLAND SEASONS PARK(Block 6),WETLAND PARK RD|WETLAND SEASONS PARK6座,濕地公園路",5840865.0,12561.0,465.0,5571923.0,13049.0,427.0,5878145.0,12919.0,455.0,5455164.0,12716.0,429.0,5401680.0,12680.0,426.0,5812092.0,13548.0,429.0,6431745.0,12345.0,521.0,5384832.0,14208.0,379.0,4690140.0,12885.0,364.0,5629196.0,12911.0,436.0,5423110.0,14086.0,385.0,6047755.0,12895.0,469.0,0.03854346404034259,0.03854050760345462
2019-2-15,5421587.166666667,12582.0,12,65059046.0,150984.0,5185,"WETLAND SEASONS PARK(Block 6),WETLAND PARK RD|WETLAND SEASONS PARK6座,濕地公園路",5622780.000000001,12092.0,465.0,5364828.0,12564.0,427.0,5660655.0,12441.0,455.0,5253534.0,12246.0,429.0,5200182.0,12207.0,426.0,5596305.0,13045.0,429.0,6193647.999999999,11888.0,521.0,5185099.0,13681.0,379.0,4517240.0,12410.0,364.0,5419916.000000001,12431.0,436.0,5221755.0,13563.0,385.0,5823104.0,12416.0,469.0,0.009111592332420093,0.00910968380107069
2019-1-15,5372633.916666667,12468.416666666666,12,64471607.0,149621.0,5185,"WETLAND SEASONS PARK(Block 6),WETLAND PARK RD|WETLAND SEASONS PARK6座,濕地公園路",5571165.0,11981.0,465.0,5316577.0,12451.0,427.0,5610150.0,12330.0,455.0,5206343.999999999,12136.0,429.0,5152044.0,12094.0,426.0,5545682.999999999,12927.0,429.0,6138422.0,11782.0,521.0,5138482.0,13558.0,379.0,4477200.0,12300.0,364.0,5370648.0,12318.0,436.0,5174785.0,13441.0,385.0,5770107.0,12303.0,469.0,0.056378223067340194,0.05637690982518562
2018-12-15,5085899.916666667,11803.0,12,61030799.0,141636.0,5185,"WETLAND SEASONS PARK(Block 6),WETLAND PARK RD|WETLAND SEASONS PARK6座,濕地公園路",5272635.0,11339.0,465.0,5032622.0,11786.0,427.0,5311214.999999999,11673.0,455.0,4929210.0,11490.0,429.0,4876422.0,11447.0,426.0,5249673.0,12237.0,429.0,5811234.0,11154.0,521.0,4864086.0,12834.0,379.0,4239144.0,11646.0,364.0,5083760.0,11660.0,436.0,4898355.0,12723.0,385.0,5462443.0,11647.0,469.0,-0.027637531724841846,-0.0276393294064341
2018-11-15,5230456.833333333,12138.5,12,62765482.0,145662.0,5185,"WETLAND SEASONS PARK(Block 6),WETLAND PARK RD|WETLAND SEASONS PARK6座,濕地公園路",5421434.999999999,11659.0,465.0,5175667.0,12121.0,427.0,5462730.0,12006.0,455.0,5069493.0,11817.0,429.0,5014020.0,11770.0,426.0,5398965.0,12585.0,429.0,5976912.0,11472.0,521.0,5002421.0,13199.0,379.0,4360356.0,11979.0,364.0,5228076.0,11991.0,436.0,5037725.0,13085.0,385.0,5617682.0,11978.0,469.0,-0.05117028890127351,-0.05117315233392827
2018-10-15,5512534.833333333,12793.166666666666,12,66150418.0,153518.0,5185,"WETLAND SEASONS PARK(Block 6),WETLAND PARK RD|WETLAND SEASONS PARK6座,濕地公園路",5712525.0,12285.0,465.0,5454925.0,12775.0,427.0,5758025.0,12655.0,455.0,5343624.0,12456.0,429.0,5283252.0,12402.0,426.0,5690256.0,13264.0,429.0,6299932.0,12092.0,521.0,5272269.0,13911.0,379.0,4596592.0,12628.0,364.0,5509296.0,12636.0,436.0,5309535.0,13791.0,385.0,5920187.0,12623.0,469.0,-0.021827438970255075,-0.021829442348863304
2018-9-15,5635544.333333333,13078.666666666666,12,67626532.0,156944.0,5185,"WETLAND SEASONS PARK(Block 6),WETLAND PARK RD|WETLAND SEASONS PARK6座,濕地公園路",5839005.0,12557.0,465.0,5576620.0,13060.0,427.0,5886790.0,12938.0,455.0,5463315.0,12735.0,429.0,5399976.000000001,12676.0,426.0,5817240.0,13560.0,429.0,6441123.0,12363.0,521.0,5389759.0,14221.0,379.0,4700332.0,12913.0,364.0,5631812.0,12917.0,436.0,5428115.0,14099.0,385.0,6052445.0,12905.0,469.0,-0.05473097582079678,-0.054730743054007935
2018-8-15,5961841.75,13835.916666666666,12,71542101.0,166031.0,5185,"WETLAND SEASONS PARK(Block 6),WETLAND PARK RD|WETLAND SEASONS PARK6座,濕地公園路",6175665.0,13281.0,465.0,5899432.0,13816.0,427.0,6228495.0,13689.0,455.0,5780346.0,13474.0,429.0,5711382.0,13407.0,426.0,6154005.0,14345.0,429.0,6815201.0,13081.0,521.0,5701676.0,15044.0,379.0,4973332.0,13663.0,364.0,5957504.0,13664.0,436.0,5742275.0,14915.0,385.0,6402788.0,13652.0,469.0,0.004012310564025512,0.003997097417911322
2018-7-15,5938016.583333333,13780.833333333334,12,71256199.0,165370.0,5185,"WETLAND SEASONS PARK(Block 6),WETLAND PARK RD|WETLAND SEASONS PARK6座,濕地公園路",6155669.999999999,13238.0,465.0,5881498.0,13774.0,427.0,6210295.0,13649.0,455.0,5763186.0,13434.0,429.0,5692638.0,13363.0,426.0,6135129.0,14301.0,429.0,6794882.0,13042.0,521.0,5684621.0,14999.0,379.0,4959500.000000001,13625.0,364.0,5870740.0,13465.0,436.0,5724950.0,14870.0,385.0,6383090.0,13610.0,469.0,,
2018-6-15,,,12,,,5185,"WETLAND SEASONS PARK(Block 6),WETLAND PARK RD|WETLAND SEASONS PARK6座,濕地公園路",,,465.0,,,427.0,,,455.0,,,429.0,,,426.0,,,429.0,,,521.0,,,379.0,,,364.0,,,436.0,,,385.0,,,469.0,,
2018-5-15,,,12,,,5185,"WETLAND SEASONS PARK(Block 6),WETLAND PARK RD|WETLAND SEASONS PARK6座,濕地公園路",,,465.0,,,427.0,,,455.0,,,429.0,,,426.0,,,429.0,,,521.0,,,379.0,,,364.0,,,436.0,,,385.0,,,469.0,,
2018-4-15,,,12,,,5185,"WETLAND SEASONS PARK(Block 6),WETLAND PARK RD|WETLAND SEASONS PARK6座,濕地公園路",,,465.0,,,427.0,,,455.0,,,429.0,,,426.0,,,429.0,,,521.0,,,379.0,,,364.0,,,436.0,,,385.0,,,469.0,,
2018-3-15,,,12,,,5185,"WETLAND SEASONS PARK(Block 6),WETLAND PARK RD|WETLAND SEASONS PARK6座,濕地公園路",,,465.0,,,427.0,,,455.0,,,429.0,,,426.0,,,429.0,,,521.0,,,379.0,,,364.0,,,436.0,,,385.0,,,469.0,,
2018-2-15,,,12,,,5185,"WETLAND SEASONS PARK(Block 6),WETLAND PARK RD|WETLAND SEASONS PARK6座,濕地公園路",,,465.0,,,427.0,,,455.0,,,429.0,,,426.0,,,429.0,,,521.0,,,379.0,,,364.0,,,436.0,,,385.0,,,469.0,,
2018-1-15,,,12,,,5185,"WETLAND SEASONS PARK(Block 6),WETLAND PARK RD|WETLAND SEASONS PARK6座,濕地公園路",,,465.0,,,427.0,,,455.0,,,429.0,,,426.0,,,429.0,,,521.0,,,379.0,,,364.0,,,436.0,,,385.0,,,469.0,,
2017-12-15,,,12,,,5185,"WETLAND SEASONS PARK(Block 6),WETLAND PARK RD|WETLAND SEASONS PARK6座,濕地公園路",,,465.0,,,427.0,,,455.0,,,429.0,,,426.0,,,429.0,,,521.0,,,379.0,,,364.0,,,436.0,,,385.0,,,469.0,,
2017-11-15,,,12,,,5185,"WETLAND SEASONS PARK(Block 6),WETLAND PARK RD|WETLAND SEASONS PARK6座,濕地公園路",,,465.0,,,427.0,,,455.0,,,429.0,,,426.0,,,429.0,,,521.0,,,379.0,,,364.0,,,436.0,,,385.0,,,469.0,,
2017-10-15,,,12,,,5185,"WETLAND SEASONS PARK(Block 6),WETLAND PARK RD|WETLAND SEASONS PARK6座,濕地公園路",,,465.0,,,427.0,,,455.0,,,429.0,,,426.0,,,429.0,,,521.0,,,379.0,,,364.0,,,436.0,,,385.0,,,469.0,,
2017-9-15,,,12,,,5185,"WETLAND SEASONS PARK(Block 6),WETLAND PARK RD|WETLAND SEASONS PARK6座,濕地公園路",,,465.0,,,427.0,,,455.0,,,429.0,,,426.0,,,429.0,,,521.0,,,379.0,,,364.0,,,436.0,,,385.0,,,469.0,,
2017-8-15,,,12,,,5185,"WETLAND SEASONS PARK(Block 6),WETLAND PARK RD|WETLAND SEASONS PARK6座,濕地公園路",,,465.0,,,427.0,,,455.0,,,429.0,,,426.0,,,429.0,,,521.0,,,379.0,,,364.0,,,436.0,,,385.0,,,469.0,,
2017-7-15,,,12,,,5185,"WETLAND SEASONS PARK(Block 6),WETLAND PARK RD|WETLAND SEASONS PARK6座,濕地公園路",,,465.0,,,427.0,,,455.0,,,429.0,,,426.0,,,429.0,,,521.0,,,379.0,,,364.0,,,436.0,,,385.0,,,469.0,,
2017-6-15,,,12,,,5185,"WETLAND SEASONS PARK(Block 6),WETLAND PARK RD|WETLAND SEASONS PARK6座,濕地公園路",,,465.0,,,427.0,,,455.0,,,429.0,,,426.0,,,429.0,,,521.0,,,379.0,,,364.0,,,436.0,,,385.0,,,469.0,,
2017-5-15,,,12,,,5185,"WETLAND SEASONS PARK(Block 6),WETLAND PARK RD|WETLAND SEASONS PARK6座,濕地公園路",,,465.0,,,427.0,,,455.0,,,429.0,,,426.0,,,429.0,,,521.0,,,379.0,,,364.0,,,436.0,,,385.0,,,469.0,,
2017-4-15,,,12,,,5185,"WETLAND SEASONS PARK(Block 6),WETLAND PARK RD|WETLAND SEASONS PARK6座,濕地公園路",,,465.0,,,427.0,,,455.0,,,429.0,,,426.0,,,429.0,,,521.0,,,379.0,,,364.0,,,436.0,,,385.0,,,469.0,,
2017-3-15,,,12,,,5185,"WETLAND SEASONS PARK(Block 6),WETLAND PARK RD|WETLAND SEASONS PARK6座,濕地公園路",,,465.0,,,427.0,,,455.0,,,429.0,,,426.0,,,429.0,,,521.0,,,379.0,,,364.0,,,436.0,,,385.0,,,469.0,,
2017-2-15,,,12,,,5185,"WETLAND SEASONS PARK(Block 6),WETLAND PARK RD|WETLAND SEASONS PARK6座,濕地公園路",,,465.0,,,427.0,,,455.0,,,429.0,,,426.0,,,429.0,,,521.0,,,379.0,,,364.0,,,436.0,,,385.0,,,469.0,,
2017-1-15,,,12,,,5185,"WETLAND SEASONS PARK(Block 6),WETLAND PARK RD|WETLAND SEASONS PARK6座,濕地公園路",,,465.0,,,427.0,,,455.0,,,429.0,,,426.0,,,429.0,,,521.0,,,379.0,,,364.0,,,436.0,,,385.0,,,469.0,,
2016-12-15,,,12,,,5185,"WETLAND SEASONS PARK(Block 6),WETLAND PARK RD|WETLAND SEASONS PARK6座,濕地公園路",,,465.0,,,427.0,,,455.0,,,429.0,,,426.0,,,429.0,,,521.0,,,379.0,,,364.0,,,436.0,,,385.0,,,469.0,,
2016-11-15,,,12,,,5185,"WETLAND SEASONS PARK(Block 6),WETLAND PARK RD|WETLAND SEASONS PARK6座,濕地公園路",,,465.0,,,427.0,,,455.0,,,429.0,,,426.0,,,429.0,,,521.0,,,379.0,,,364.0,,,436.0,,,385.0,,,469.0,,
2016-10-15,,,12,,,5185,"WETLAND SEASONS PARK(Block 6),WETLAND PARK RD|WETLAND SEASONS PARK6座,濕地公園路",,,465.0,,,427.0,,,455.0,,,429.0,,,426.0,,,429.0,,,521.0,,,379.0,,,364.0,,,436.0,,,385.0,,,469.0,,
2016-9-15,,,12,,,5185,"WETLAND SEASONS PARK(Block 6),WETLAND PARK RD|WETLAND SEASONS PARK6座,濕地公園路",,,465.0,,,427.0,,,455.0,,,429.0,,,426.0,,,429.0,,,521.0,,,379.0,,,364.0,,,436.0,,,385.0,,,469.0,,
2016-8-15,,,12,,,5185,"WETLAND SEASONS PARK(Block 6),WETLAND PARK RD|WETLAND SEASONS PARK6座,濕地公園路",,,465.0,,,427.0,,,455.0,,,429.0,,,426.0,,,429.0,,,521.0,,,379.0,,,364.0,,,436.0,,,385.0,,,469.0,,
2016-7-15,,,12,,,5185,"WETLAND SEASONS PARK(Block 6),WETLAND PARK RD|WETLAND SEASONS PARK6座,濕地公園路",,,465.0,,,427.0,,,455.0,,,429.0,,,426.0,,,429.0,,,521.0,,,379.0,,,364.0,,,436.0,,,385.0,,,469.0,,
2016-6-15,,,12,,,5185,"WETLAND SEASONS PARK(Block 6),WETLAND PARK RD|WETLAND SEASONS PARK6座,濕地公園路",,,465.0,,,427.0,,,455.0,,,429.0,,,426.0,,,429.0,,,521.0,,,379.0,,,364.0,,,436.0,,,385.0,,,469.0,,
2016-5-15,,,12,,,5185,"WETLAND SEASONS PARK(Block 6),WETLAND PARK RD|WETLAND SEASONS PARK6座,濕地公園路",,,465.0,,,427.0,,,455.0,,,429.0,,,426.0,,,429.0,,,521.0,,,379.0,,,364.0,,,436.0,,,385.0,,,469.0,,
2016-4-15,,,12,,,5185,"WETLAND SEASONS PARK(Block 6),WETLAND PARK RD|WETLAND SEASONS PARK6座,濕地公園路",,,465.0,,,427.0,,,455.0,,,429.0,,,426.0,,,429.0,,,521.0,,,379.0,,,364.0,,,436.0,,,385.0,,,469.0,,
2016-3-15,,,12,,,5185,"WETLAND SEASONS PARK(Block 6),WETLAND PARK RD|WETLAND SEASONS PARK6座,濕地公園路",,,465.0,,,427.0,,,455.0,,,429.0,,,426.0,,,429.0,,,521.0,,,379.0,,,364.0,,,436.0,,,385.0,,,469.0,,
2016-2-15,,,12,,,5185,"WETLAND SEASONS PARK(Block 6),WETLAND PARK RD|WETLAND SEASONS PARK6座,濕地公園路",,,465.0,,,427.0,,,455.0,,,429.0,,,426.0,,,429.0,,,521.0,,,379.0,,,364.0,,,436.0,,,385.0,,,469.0,,
2016-1-15,,,12,,,5185,"WETLAND SEASONS PARK(Block 6),WETLAND PARK RD|WETLAND SEASONS PARK6座,濕地公園路",,,465.0,,,427.0,,,455.0,,,429.0,,,426.0,,,429.0,,,521.0,,,379.0,,,364.0,,,436.0,,,385.0,,,469.0,,
