,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_1,npsf_1,nfa_1,lumpSum_10,npsf_10,nfa_10,lumpSum_11,npsf_11,nfa_11,lumpSum_12,npsf_12,nfa_12,lumpSum_13,npsf_13,nfa_13,lumpSum_14,npsf_14,nfa_14,lumpSum_15,npsf_15,nfa_15,lumpSum_16,npsf_16,nfa_16,lumpSum_17,npsf_17,nfa_17,lumpSum_18,npsf_18,nfa_18,lumpSum_19,npsf_19,nfa_19,lumpSum_2,npsf_2,nfa_2,lumpSum_3,npsf_3,nfa_3,lumpSum_4,npsf_4,nfa_4,lumpSum_5,npsf_5,nfa_5,lumpSum_6,npsf_6,nfa_6,lumpSum_7,npsf_7,nfa_7,lumpSum_8,npsf_8,nfa_8,lumpSum_9,npsf_9,nfa_9,lumpSum_change,npsf_change
2019-12-15,2510125.947368421,6763.421052631579,19,47692393.0,128505.0,7074,"YUK WO COURT,AU PUI WAN ST|旭禾苑,坳背灣街",2602611.0,6831.0,381.0,2487297.0,6329.0,393.0,2122758.0,7029.0,302.0,2066475.0,7005.0,295.0,2058215.0000000002,6977.0,295.0,3065661.0,6679.0,459.0,3007750.0,6625.0,454.0,2973246.0,6549.0,454.0,3059960.0,6740.0,454.0,3037743.0,6561.0,463.0,2723912.0,6844.0,398.0,2545080.0,6680.0,381.0,1984140.0,6570.0,302.0,2481450.0,6990.0,355.0,2469025.0,6955.0,355.0,2065056.0,7024.0,294.0,2062410.0,7015.0,294.0,2341768.0,6578.0,356.0,2537836.0,6524.0,389.0,-0.0009583322283467366,-0.0009562459184624394
2019-11-15,2512533.789473684,6769.894736842105,19,47738142.0,128628.0,7074,"YUK WO COURT,AU PUI WAN ST|旭禾苑,坳背灣街",2604897.0,6837.0,381.0,2489655.0,6335.0,393.0,2124872.0,7036.0,302.0,2068540.0,7012.0,295.0,2059984.9999999998,6983.0,295.0,3068874.0,6686.0,459.0,3010474.0,6631.0,454.0,2975970.0,6555.0,454.0,3063138.0,6747.0,454.0,3040984.0,6568.0,463.0,2726300.0,6850.0,398.0,2547747.0,6687.0,381.0,1986254.0,6577.0,302.0,2483580.0,6996.0,355.0,2471510.0,6962.0,355.0,2066820.0,7030.0,294.0,2064468.0000000002,7022.0,294.0,2343904.0,6584.0,356.0,2540170.0,6530.0,389.0,0.03464177916070588,0.034644187225006284
2019-10-15,2428409.3684210526,6543.210526315789,19,46139778.0,124321.0,7074,"YUK WO COURT,AU PUI WAN ST|旭禾苑,坳背灣街",2517648.0,6608.0,381.0,2406339.0,6123.0,393.0,2053600.0,6800.0,302.0,1999215.0,6777.0,295.0,1990955.0,6749.0,295.0,2966058.0,6462.0,459.0,2909686.0,6409.0,454.0,2876544.0,6336.0,454.0,2960534.0,6521.0,454.0,2939124.0,6348.0,463.0,2635158.0,6621.0,398.0,2462784.0,6464.0,381.0,1919512.0,6356.0,302.0,2400510.0,6762.0,355.0,2388440.0,6728.0,355.0,1997730.0,6795.0,294.0,1995378.0,6787.0,294.0,2265584.0,6364.0,356.0,2454979.0,6311.0,389.0,-0.03935660817880404,-0.03936174322914654
2019-9-15,2527898.8947368423,6811.315789473684,19,48030079.0,129415.0,7074,"YUK WO COURT,AU PUI WAN ST|旭禾苑,坳背灣街",2620899.0,6879.0,381.0,2504982.0,6374.0,393.0,2137858.0,7079.0,302.0,2081225.0000000002,7055.0,295.0,2072670.0,7026.0,295.0,3087234.0,6726.0,459.0,3028634.0,6671.0,454.0,2994130.0,6595.0,454.0,3081752.0,6788.0,454.0,3059504.0,6608.0,463.0,2743016.0,6892.0,398.0,2564130.0,6730.0,381.0,1998334.0,6617.0,302.0,2498845.0,7039.0,355.0,2486420.0,7004.0,355.0,2079462.0,7073.0,294.0,2077109.9999999998,7065.0,294.0,2358144.0,6624.0,356.0,2555730.0,6570.0,389.0,0.02755793310966137,0.02755986787778686
2019-8-15,2460103.5263157897,6628.631578947368,19,46741967.0,125944.0,7074,"YUK WO COURT,AU PUI WAN ST|旭禾苑,坳背灣街",2550414.0,6694.0,381.0,2437779.0,6203.0,393.0,2080478.0,6889.0,302.0,2025470.0,6866.0,295.0,2017210.0,6838.0,295.0,3004614.0,6546.0,459.0,2947822.0,6493.0,454.0,2913772.0,6418.0,454.0,2999124.0,6606.0,454.0,2977090.0,6430.0,463.0,2669386.0,6707.0,398.0,2495550.0,6550.0,381.0,1944578.0,6439.0,302.0,2431750.0,6850.0,355.0,2419680.0,6816.0,355.0,2023602.0,6883.0,294.0,2021250.0,6875.0,294.0,2295132.0,6447.0,356.0,2487266.0,6394.0,389.0,-0.04917067738103553,-0.049170674256551195
2019-7-15,2587324.0,6971.421052631579,19,49159156.0,132457.0,7074,"YUK WO COURT,AU PUI WAN ST|旭禾苑,坳背灣街",2682621.0,7041.0,381.0,2563539.0,6523.0,393.0,2187990.0,7245.0,302.0,2130195.0,7221.0,295.0,2121345.0,7191.0,295.0,3159756.0,6884.0,459.0,3099912.0,6828.0,454.0,3064500.0,6750.0,454.0,3154392.0,6948.0,454.0,3131269.0,6763.0,463.0,2807492.0,7054.0,398.0,2625090.0,6890.0,381.0,2045143.9999999998,6772.0,302.0,2557420.0,7204.0,355.0,2544995.0,7169.0,355.0,2128266.0,7239.0,294.0,2125914.0,7231.0,294.0,2413680.0,6780.0,356.0,2615636.0,6724.0,389.0,0.017249503802997612,0.01726455160549567
2019-6-15,2543450.736842105,6853.105263157895,19,48325564.0,130209.0,7074,"YUK WO COURT,AU PUI WAN ST|旭禾苑,坳背灣街",2637663.0,6923.0,381.0,2521095.0,6415.0,393.0,2151448.0,7124.0,302.0,2094795.0000000002,7101.0,295.0,2086240.0,7072.0,295.0,3107430.0,6770.0,459.0,3048610.0,6715.0,454.0,3013652.0,6638.0,454.0,3101728.0,6832.0,454.0,3078950.0,6650.0,463.0,2760926.0,6937.0,398.0,2582037.0,6777.0,381.0,2011320.0,6660.0,302.0,2514820.0,7084.0,355.0,2485710.0,7002.0,355.0,2092986.0,7119.0,294.0,2090634.0,7111.0,294.0,2373452.0,6667.0,356.0,2572068.0,6612.0,389.0,-0.011492429777252067,-0.011493816569619564
2019-5-15,2573021.0,6932.789473684211,19,48887399.0,131723.0,7074,"YUK WO COURT,AU PUI WAN ST|旭禾苑,坳背灣街",2668524.0,7004.0,381.0,2550177.0,6489.0,393.0,2176514.0,7207.0,302.0,2119280.0,7184.0,295.0,2110430.0,7154.0,295.0,3143232.0,6848.0,459.0,3084022.0,6793.0,454.0,3048610.0,6715.0,454.0,3137594.0,6911.0,454.0,3115064.0,6728.0,463.0,2792766.0,7017.0,398.0,2612136.0,6856.0,381.0,2034574.0,6737.0,302.0,2544285.0,7167.0,355.0,2514820.0,7084.0,355.0,2117388.0,7202.0,294.0,2114742.0,7193.0,294.0,2401220.0,6745.0,356.0,2602021.0,6689.0,389.0,0.03134140944679231,0.03134199812088956
2019-4-15,2494829.5263157897,6722.105263157895,19,47401761.0,127720.0,7074,"YUK WO COURT,AU PUI WAN ST|旭禾苑,坳背灣街",2587371.0,6791.0,381.0,2472756.0,6292.0,393.0,2110376.0,6988.0,302.0,2054970.0,6966.0,295.0,2046120.0,6936.0,295.0,3047760.0,6640.0,459.0,2990044.0,6586.0,454.0,2955994.0,6511.0,454.0,3042254.0,6701.0,454.0,3020149.0,6523.0,463.0,2707992.0,6804.0,398.0,2533269.0,6649.0,381.0,1972664.0,6532.0,302.0,2466895.0,6949.0,355.0,2438495.0,6869.0,355.0,2053002.0,6983.0,294.0,2050356.0,6974.0,294.0,2328240.0,6540.0,356.0,2523054.0,6486.0,389.0,0.02436809857633704,0.02436598707110904
2019-3-15,2435481.4736842103,6562.210526315789,19,46274148.0,124682.0,7074,"YUK WO COURT,AU PUI WAN ST|旭禾苑,坳背灣街",2525649.0,6629.0,381.0,2413806.0,6142.0,393.0,2060244.0,6822.0,302.0,2006000.0,6800.0,295.0,1997445.0,6771.0,295.0,2975238.0,6482.0,459.0,2918766.0,6429.0,454.0,2885624.0,6356.0,454.0,2970068.0,6542.0,454.0,2948384.0,6368.0,463.0,2643516.0,6642.0,398.0,2473452.0,6492.0,381.0,1925854.0,6377.0,302.0,2408320.0,6784.0,355.0,2380275.0,6705.0,355.0,2004198.0,6817.0,294.0,2001846.0,6809.0,294.0,2272704.0,6384.0,356.0,2462759.0,6331.0,389.0,0.050259692980345605,0.050263235479930835
2019-2-15,2318932.6315789474,6248.1578947368425,19,44059720.0,118715.0,7074,"YUK WO COURT,AU PUI WAN ST|旭禾苑,坳背灣街",2404872.0,6312.0,381.0,2298264.0,5848.0,393.0,1961490.0,6495.0,302.0,1910125.0,6475.0,295.0,1901865.0,6447.0,295.0,2832948.0,6172.0,459.0,2779388.0,6122.0,454.0,2747608.0,6052.0,454.0,2827966.0,6229.0,454.0,2807169.0,6063.0,463.0,2516952.0,6324.0,398.0,2355342.0,6182.0,381.0,1833743.9999999998,6072.0,302.0,2292945.0,6459.0,355.0,2266320.0,6384.0,355.0,1908060.0000000002,6490.0,294.0,1906002.0,6483.0,294.0,2163768.0,6078.0,356.0,2344892.0,6028.0,389.0,0.016406510930176754,0.016404250036387458
