,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_change,npsf_change
2019-12-15,9562456.833333334,25555.166666666668,6,57374741.0,153331.0,2238,"LASALLE RESIDENCE,LA SALLE RD|晟林,喇沙利道",11514958.000000002,27482.0,419.0,11043036.0,26674.0,414.0,9902868.0,24634.0,402.0,9912400.0,24781.0,400.0,7427673.0,25009.0,297.0,7573806.0,24751.0,306.0,-0.02354151204585897,-0.02354357184705902
2019-11-15,9792998.833333334,26171.333333333332,6,58757993.0,157028.0,2238,"LASALLE RESIDENCE,LA SALLE RD|晟林,喇沙利道",11792336.0,28144.0,419.0,11309651.999999998,27318.0,414.0,10141656.0,25228.0,402.0,10150800.0,25377.0,400.0,7607061.0,25613.0,297.0,7756488.0,25348.0,306.0,-0.04288159102620981,-0.042879869318493524
2019-10-15,10231752.666666666,27343.833333333332,6,61390516.0,164063.0,2238,"LASALLE RESIDENCE,LA SALLE RD|晟林,喇沙利道",12320276.0,29404.0,419.0,11816802.0,28543.0,414.0,10596720.0,26360.0,402.0,10605200.0,26513.0,400.0,7947720.0,26760.0,297.0,8103798.0,26483.0,306.0,0.014236295079979255,0.014237141444114698
2019-9-15,10088135.0,26960.0,6,60528810.0,161760.0,2238,"LASALLE RESIDENCE,LA SALLE RD|晟林,喇沙利道",12146810.000000002,28990.0,419.0,11651202.0,28143.0,414.0,10448784.0,25992.0,402.0,10456000.0,26140.0,400.0,7836048.0,26384.0,297.0,7989966.0,26111.0,306.0,-0.06299008513180315,-0.06298875076751964
2019-8-15,10766305.5,28772.333333333332,6,64597833.0,172634.0,2238,"LASALLE RESIDENCE,LA SALLE RD|晟林,喇沙利道",12963022.0,30938.0,419.0,12434904.0,30036.0,414.0,11151882.0,27741.0,402.0,11158400.0,27896.0,400.0,8362629.0,28157.0,297.0,8526996.0,27866.0,306.0,0.0014426994641574264,0.0014444412216840785
2019-7-15,10750795.333333334,28730.833333333332,6,64504772.0,172385.0,2238,"LASALLE RESIDENCE,LA SALLE RD|晟林,喇沙利道",12943748.0,30892.0,419.0,12417516.0,29994.0,414.0,11136606.0,27703.0,402.0,11142000.0,27855.0,400.0,8350452.0,28116.0,297.0,8514450.0,27825.0,306.0,0.00488989986662447,0.00489081645739331
2019-6-15,10698480.833333334,28591.0,6,64190885.0,171546.0,2238,"LASALLE RESIDENCE,LA SALLE RD|晟林,喇沙利道",12880060.0,30740.0,419.0,12357486.0,29849.0,414.0,11083542.0,27571.0,402.0,11087200.0,27718.0,400.0,8309763.0,27979.0,297.0,8472834.0,27689.0,306.0,-0.03301614571123479,-0.03301522522167044
2019-5-15,11063763.666666666,29567.166666666668,6,66382582.0,177403.0,2238,"LASALLE RESIDENCE,LA SALLE RD|晟林,喇沙利道",13319172.0,31788.0,419.0,12780180.0,30870.0,414.0,11462628.0,28514.0,402.0,11465200.0,28663.0,400.0,8593398.0,28934.0,297.0,8762004.0,28634.0,306.0,0.07837007145930075,0.07837213543249666
2019-4-15,10259709.5,27418.333333333332,6,61558257.0,164510.0,2238,"LASALLE RESIDENCE,LA SALLE RD|晟林,喇沙利道",12350863.0,29477.0,419.0,11851577.999999998,28627.0,414.0,10630488.0,26444.0,402.0,10631600.0,26579.0,400.0,7968510.0,26830.0,297.0,8125218.0,26553.0,306.0,0.09546878609456977,0.09546989139192807
2019-3-15,9365588.166666666,25028.833333333332,6,56193529.0,150173.0,2238,"LASALLE RESIDENCE,LA SALLE RD|晟林,喇沙利道",11274033.0,26907.0,419.0,10819062.000000002,26133.0,414.0,9704682.0,24141.0,402.0,9704800.0,24262.0,400.0,7274124.0,24492.0,297.0,7416828.0,24238.0,306.0,0.00017209568726683777,0.00017316363297292803
2019-2-15,9363976.666666666,25024.5,6,56183860.0,150147.0,2238,"LASALLE RESIDENCE,LA SALLE RD|晟林,喇沙利道",11271519.0,26901.0,419.0,10817820.0,26130.0,414.0,9703878.0,24139.0,402.0,9702400.0,24256.0,400.0,7272639.0,24487.0,297.0,7415603.999999999,24234.0,306.0,-0.0016318235589177776,-0.0016290760146815408
