,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A1,npsf_A1,nfa_A1,lumpSum_A2,npsf_A2,nfa_A2,lumpSum_A3,npsf_A3,nfa_A3,lumpSum_B1,npsf_B1,nfa_B1,lumpSum_B2,npsf_B2,nfa_B2,lumpSum_B3,npsf_B3,nfa_B3,lumpSum_B5,npsf_B5,nfa_B5,lumpSum_change,npsf_change
2019-12-15,6947978.142857143,13533.0,7,48635847.0,94731.0,3592,"WETLAND SEASONS PARK(Block 23),WETLAND PARK RD|WETLAND SEASONS PARK23座,濕地公園路",8907405.0,13435.0,663.0,7546526.0,14027.0,538.0,9464000.0,13520.0,700.0,5520682.0,13498.0,409.0,5786522.0,13333.0,434.0,5786522.0,13333.0,434.0,5624190.0,13585.0,414.0,-0.0003564206316757357,-0.0003482335063949016
2019-11-15,6950455.428571428,13537.714285714286,7,48653188.0,94764.0,3592,"WETLAND SEASONS PARK(Block 23),WETLAND PARK RD|WETLAND SEASONS PARK23座,濕地公園路",8911383.0,13441.0,663.0,7549216.0,14032.0,538.0,9467500.0,13525.0,700.0,5522727.0,13503.0,409.0,5788258.0,13337.0,434.0,5788258.0,13337.0,434.0,5625846.0,13589.0,414.0,0.020085969266834036,0.020086546534909377
2019-10-15,6813597.714285715,13271.142857142857,7,47695184.0,92898.0,3592,"WETLAND SEASONS PARK(Block 23),WETLAND PARK RD|WETLAND SEASONS PARK23座,濕地公園路",8735688.0,13176.0,663.0,7400727.999999999,13756.0,538.0,9281300.0,13259.0,700.0,5414342.0,13238.0,409.0,5674116.0,13074.0,434.0,5674116.0,13074.0,434.0,5514894.0,13321.0,414.0,0.010698529530962952,0.010705659638357456
2019-9-15,6741473.857142857,13130.57142857143,7,47190317.0,91914.0,3592,"WETLAND SEASONS PARK(Block 23),WETLAND PARK RD|WETLAND SEASONS PARK23座,濕地公園路",8643531.0,13037.0,663.0,7322718.0,13611.0,538.0,9183300.0,13119.0,700.0,5357082.0,13098.0,409.0,5613790.0,12935.0,434.0,5613790.0,12935.0,434.0,5456106.0,13179.0,414.0,-0.054027970555229676,-0.054022621779895585
2019-8-15,7126504.428571428,13880.42857142857,7,49885531.0,97163.0,3592,"WETLAND SEASONS PARK(Block 23),WETLAND PARK RD|WETLAND SEASONS PARK23座,濕地公園路",9137466.0,13782.0,663.0,7740744.0,14388.0,538.0,9708300.0,13869.0,700.0,5663423.0,13847.0,409.0,5934082.0,13673.0,434.0,5934082.0,13673.0,434.0,5767434.0,13931.0,414.0,0.04107821121940414,0.04108047873651266
2019-7-15,6845311.285714285,13332.714285714286,7,47917179.0,93329.0,3592,"WETLAND SEASONS PARK(Block 23),WETLAND PARK RD|WETLAND SEASONS PARK23座,濕地公園路",8776794.0,13238.0,663.0,7435698.0,13821.0,538.0,9325400.0,13322.0,700.0,5440109.0,13301.0,409.0,5699722.0,13133.0,434.0,5699722.0,13133.0,434.0,5539734.0,13381.0,414.0,-0.04421391241316486,-0.04421072035720863
2019-6-15,7161970.0,13949.42857142857,7,50133790.0,97646.0,3592,"WETLAND SEASONS PARK(Block 23),WETLAND PARK RD|WETLAND SEASONS PARK23座,濕地公園路",9183213.0,13851.0,663.0,7780018.0,14461.0,538.0,9756600.0,13938.0,700.0,5692053.0,13917.0,409.0,5963160.0,13740.0,434.0,5963160.0,13740.0,434.0,5795586.0,13999.0,414.0,0.0024039680919327733,0.002412458551908747
2019-5-15,7144794.142857143,13915.857142857143,7,50013559.0,97411.0,3592,"WETLAND SEASONS PARK(Block 23),WETLAND PARK RD|WETLAND SEASONS PARK23座,濕地公園路",9161997.0,13819.0,663.0,7761188.0,14426.0,538.0,9733500.0,13905.0,700.0,5678556.0,13884.0,409.0,5948404.0,13706.0,434.0,5948404.0,13706.0,434.0,5781510.0,13965.0,414.0,-0.003749467972147369,-0.0037432115937285904
2019-4-15,7171684.142857143,13968.142857142857,7,50201789.0,97777.0,3592,"WETLAND SEASONS PARK(Block 23),WETLAND PARK RD|WETLAND SEASONS PARK23座,濕地公園路",9196473.0,13871.0,663.0,7790778.0,14481.0,538.0,9770600.0,13958.0,700.0,5699824.0,13936.0,409.0,5970538.0,13757.0,434.0,5970538.0,13757.0,434.0,5803038.0,14017.0,414.0,0.06054597538518247,0.0605455827322523
2019-3-15,6762256.714285715,13170.714285714286,7,47335797.0,92195.0,3592,"WETLAND SEASONS PARK(Block 23),WETLAND PARK RD|WETLAND SEASONS PARK23座,濕地公園路",8671377.0,13079.0,663.0,7346390.0,13655.0,538.0,9212699.999999998,13161.0,700.0,5375078.0,13142.0,409.0,5629414.0,12971.0,434.0,5629414.0,12971.0,434.0,5471423.999999999,13216.0,414.0,0.038470499444235084,0.03847756789330803
2019-2-15,6511746.571428572,12682.714285714286,7,45582226.0,88779.0,3592,"WETLAND SEASONS PARK(Block 23),WETLAND PARK RD|WETLAND SEASONS PARK23座,濕地公園路",8350485.0,12595.0,663.0,7074162.0,13149.0,538.0,8871800.0,12674.0,700.0,5175894.999999999,12655.0,409.0,5420660.0,12490.0,434.0,5420660.0,12490.0,434.0,5268564.0,12726.0,414.0,0.009088168436794275,0.009093079030223272
