,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_H,npsf_H,nfa_H,lumpSum_J,npsf_J,nfa_J,lumpSum_change,npsf_change
2019-12-15,9873304.5,14931.125,8,78986436.0,119449.0,5253,"SEA TO SKY(Block 2,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,2座(SEA TO SKY),1 康城路",13254191.0,16223.0,817.0,11151861.0,14889.0,749.0,10370646.0,14586.0,711.0,6852130.000000001,14579.0,470.0,6736392.0,14394.0,468.0,6847350.0,14325.0,478.0,11188080.0,14760.0,758.0,12585786.0,15693.0,802.0,-0.049915681775256626,-0.04990335897170761
2019-11-15,10392029.75,15715.375,8,83136238.0,125723.0,5253,"SEA TO SKY(Block 2,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,2座(SEA TO SKY),1 康城路",13950275.000000002,17075.0,817.0,11739077.0,15673.0,749.0,10916694.0,15354.0,711.0,7211210.0,15343.0,470.0,7089732.0,15149.0,468.0,7206328.0,15076.0,478.0,11776288.000000002,15536.0,758.0,13246634.0,16517.0,802.0,0.047407791564833435,0.04742108288692082
2019-10-15,9921665.5,15003.875,8,79373324.0,120031.0,5253,"SEA TO SKY(Block 2,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,2座(SEA TO SKY),1 康城路",13318734.0,16302.0,817.0,11208785.0,14965.0,749.0,10423971.0,14661.0,711.0,6884090.0,14647.0,470.0,6768216.0,14462.0,468.0,6879375.999999999,14392.0,478.0,11243414.0,14833.0,758.0,12646738.0,15769.0,802.0,-0.017204174779469228,-0.01719465164454559
2019-9-15,10095347.625,15266.375,8,80762781.0,122131.0,5253,"SEA TO SKY(Block 2,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,2座(SEA TO SKY),1 康城路",13551579.0,16587.0,817.0,11406521.0,15229.0,749.0,10607409.0,14919.0,711.0,7003940.0,14902.0,470.0,6886152.0,14714.0,468.0,6999353.999999999,14643.0,478.0,11439736.0,15092.0,758.0,12868090.0,16045.0,802.0,-0.03774554977109412,-0.037732429877087914
2019-8-15,10491349.375,15865.0,8,83930795.0,126920.0,5253,"SEA TO SKY(Block 2,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,2座(SEA TO SKY),1 康城路",14082629.0,17237.0,817.0,11855172.0,15828.0,749.0,11024766.0,15506.0,711.0,7277950.000000001,15485.0,470.0,7155252.0,15289.0,468.0,7273248.0,15216.0,478.0,11889230.0,15685.0,758.0,13372548.0,16674.0,802.0,0.0039037647565607347,0.003915364840814783
2019-7-15,10450552.875,15803.125,8,83604423.0,126425.0,5253,"SEA TO SKY(Block 2,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,2座(SEA TO SKY),1 康城路",14027890.0,17170.0,817.0,11810232.0,15768.0,749.0,10982817.0,15447.0,711.0,7249280.0,15424.0,470.0,7126703.999999999,15228.0,468.0,7244090.0,15155.0,478.0,11842992.0,15624.0,758.0,13320418.0,16609.0,802.0,0.0046517722904182435,0.004664727665729007
2019-6-15,10402164.375,15729.75,8,83217315.0,125838.0,5253,"SEA TO SKY(Block 2,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,2座(SEA TO SKY),1 康城路",13962530.0,17090.0,817.0,11757053.0,15697.0,749.0,10933758.000000002,15378.0,711.0,7214970.0,15351.0,470.0,7093008.0,15156.0,468.0,7209674.0,15083.0,478.0,11787658.0,15551.0,758.0,13258664.0,16532.0,802.0,-0.011575182020882258,-0.011562328175320102
2019-5-15,10523981.375,15913.75,8,84191851.0,127310.0,5253,"SEA TO SKY(Block 2,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,2座(SEA TO SKY),1 康城路",14125930.0,17290.0,817.0,11896367.000000002,15883.0,749.0,11063160.0,15560.0,711.0,7298630.0,15529.0,470.0,7175376.0,15332.0,468.0,7293324.0,15258.0,478.0,11925614.0,15733.0,758.0,13413450.0,16725.0,802.0,0.02466871913152935,0.024685495359899612
2019-4-15,10270618.375,15530.375,8,82164947.0,124243.0,5253,"SEA TO SKY(Block 2,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,2座(SEA TO SKY),1 康城路",13786058.000000002,16874.0,817.0,11610998.0,15502.0,749.0,10797957.0,15187.0,711.0,7121910.0,15153.0,470.0,7001748.0,14961.0,468.0,7116942.0,14889.0,478.0,11639090.0,15355.0,758.0,13090244.0,16322.0,802.0,0.03513909253524572,0.035151303072718854
2019-3-15,9921969.375,15003.0,8,79375755.0,120024.0,5253,"SEA TO SKY(Block 2,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,2座(SEA TO SKY),1 康城路",13317100.0,16300.0,817.0,11218521.999999998,14978.0,749.0,10432503.0,14673.0,711.0,6879390.0,14637.0,470.0,6763536.0,14452.0,468.0,6874596.0,14382.0,478.0,11244172.000000002,14834.0,758.0,12645936.0,15768.0,802.0,-0.0034158749501022045,-0.0034043542521214887
2019-2-15,9955977.75,15054.25,8,79647822.0,120434.0,5253,"SEA TO SKY(Block 2,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,2座(SEA TO SKY),1 康城路",13362852.000000002,16356.0,817.0,11258219.0,15031.0,749.0,10469475.0,14725.0,711.0,6902420.0,14686.0,470.0,6786000.0,14500.0,468.0,6897540.0,14430.0,478.0,11282072.0,14884.0,758.0,12689244.0,15822.0,802.0,0.018903746257808995,0.018917409770046856
2019-1-15,9771264.25,14774.75,8,78170114.0,118198.0,5253,"SEA TO SKY(Block 2,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,2座(SEA TO SKY),1 康城路",13114484.0,16052.0,817.0,11050746.0,14754.0,749.0,10276794.000000002,14454.0,711.0,6773640.0,14412.0,470.0,6659172.0,14229.0,468.0,6768958.0,14161.0,478.0,11072864.0,14608.0,758.0,12453456.000000002,15528.0,802.0,,
2018-12-15,,,8,,,5253,"SEA TO SKY(Block 2,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,2座(SEA TO SKY),1 康城路",,,817.0,,,749.0,,,711.0,,,470.0,,,468.0,,,478.0,,,758.0,,,802.0,,
