,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_AB,npsf_AB,nfa_AB,lumpSum_B,npsf_B,nfa_B,lumpSum_BC,npsf_BC,nfa_BC,lumpSum_BE,npsf_BE,nfa_BE,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_H,npsf_H,nfa_H,lumpSum_J,npsf_J,nfa_J,lumpSum_change,npsf_change
2019-12-15,11086910.25,21538.166666666668,12,133042923.0,258458.0,5897,"LIME GALA(Block 1A),SHAU KEI WAN RD|形薈1A座,筲箕灣道",9431343.0,19287.0,489.0,23959752.0,25274.0,948.0,8858941.0,18889.0,469.0,23231488.0,25088.0,926.0,19781016.0,25491.0,776.0,11251008.0,24512.0,459.0,6318128.0,19088.0,331.0,5888260.0,19180.0,307.0,5984734.0,20083.0,298.0,5766120.0,20520.0,281.0,5813609.0,20689.0,281.0,6758524.0,20357.0,332.0,-0.1730831719583995,-0.17422129353615323
2019-11-15,13407527.666666666,26082.25,12,160890332.0,312987.0,5897,"LIME GALA(Block 1A),SHAU KEI WAN RD|形薈1A座,筲箕灣道",11440644.0,23396.0,489.0,28807824.0,30388.0,948.0,10742914.0,22906.0,469.0,27930012.0,30162.0,926.0,24011768.0,30943.0,776.0,13646070.0,29730.0,459.0,7665960.0,23160.0,331.0,7143276.0,23268.0,307.0,7259280.0,24360.0,298.0,6994090.0,24890.0,281.0,7051414.0,25094.0,281.0,8197079.999999999,24690.0,332.0,0.04367680123898432,0.041890393904188805
2019-10-15,12846436.416666666,25033.583333333332,12,154157237.0,300403.0,5897,"LIME GALA(Block 1A),SHAU KEI WAN RD|形薈1A座,筲箕灣道",11002500.0,22500.0,489.0,27405732.0,28909.0,948.0,10333477.0,22033.0,469.0,26570644.0,28694.0,926.0,23103848.0,29773.0,776.0,13122810.0,28590.0,459.0,7375011.0,22281.0,331.0,6871274.0,22382.0,307.0,6981544.0,23428.0,298.0,6726297.0,23937.0,281.0,6781092.0,24132.0,281.0,7883008.000000001,23744.0,332.0,-0.058191599910666025,-0.05694678583425161
2019-9-15,13640180.333333334,26545.25,12,163682164.0,318543.0,5897,"LIME GALA(Block 1A),SHAU KEI WAN RD|形薈1A座,筲箕灣道",11703726.0,23934.0,489.0,29415492.0,31029.0,948.0,10993829.0,23441.0,469.0,28518948.0,30798.0,926.0,24328376.0,31351.0,776.0,13383981.0,29159.0,459.0,7847678.999999999,23709.0,331.0,7310591.0,23813.0,307.0,7426458.0,24921.0,298.0,7155103.0,25463.0,281.0,7212989.0,25669.0,281.0,8384992.0,25256.0,332.0,0.10089581454939545,0.09959198044820017
2019-8-15,12390073.75,24141.0,12,148680885.0,289692.0,5897,"LIME GALA(Block 1A),SHAU KEI WAN RD|形薈1A座,筲箕灣道",10831839.0,22151.0,489.0,26936472.0,28414.0,948.0,10178238.0,21702.0,469.0,26115978.0,28203.0,926.0,21323704.0,27479.0,776.0,12006981.0,26159.0,459.0,6991382.0,21122.0,331.0,6694442.0,21806.0,307.0,6770560.0,22720.0,298.0,6550953.0,23313.0,281.0,6603500.0,23500.0,281.0,7676836.0,23123.0,332.0,-0.039232743900831424,-0.0378877449352375
2019-7-15,12896020.0,25091.666666666668,12,154752240.0,301100.0,5897,"LIME GALA(Block 1A),SHAU KEI WAN RD|形薈1A座,筲箕灣道",11249934.0,23006.0,489.0,27985908.0,29521.0,948.0,10576888.0,22552.0,469.0,27132726.0,29301.0,926.0,22561424.0,29074.0,776.0,12462768.0,27152.0,459.0,7263464.0,21944.0,331.0,6839039.0,22277.0,307.0,7033396.0,23602.0,298.0,6804977.0,24217.0,281.0,6859772.0,24412.0,281.0,7981944.0,24042.0,332.0,-0.001992085250762554,-0.0022566032984183693
2019-6-15,12921761.25,25148.416666666668,12,155061135.0,301781.0,5897,"LIME GALA(Block 1A),SHAU KEI WAN RD|形薈1A座,筲箕灣道",11269005.0,23045.0,489.0,28032360.0,29570.0,948.0,10599869.0,22601.0,469.0,27179026.0,29351.0,926.0,22599448.0,29123.0,776.0,12476538.0,27182.0,459.0,7275049.0,21979.0,331.0,6852547.0,22321.0,307.0,7046508.0,23646.0,298.0,6863144.0,24424.0,281.0,6872417.0,24457.0,281.0,7995224.0,24082.0,332.0,-0.03432496854339406,-0.03208621325592953
2019-5-15,13381065.916666666,25982.083333333332,12,160572791.0,311785.0,5897,"LIME GALA(Block 1A),SHAU KEI WAN RD|形薈1A座,筲箕灣道",11665584.0,23856.0,489.0,29161428.0,30761.0,948.0,10978352.0,23408.0,469.0,28274484.0,30534.0,926.0,23394848.0,30148.0,776.0,13207266.0,28774.0,459.0,7225399.0,21829.0,331.0,7095691.0,23113.0,307.0,7295636.0,24482.0,298.0,7106771.0,25291.0,281.0,7141896.0,25416.0,281.0,8025436.0,24173.0,332.0,0.024440347222141057,0.024843291358097597
2019-4-15,13061830.25,25352.25,12,156741963.0,304227.0,5897,"LIME GALA(Block 1A),SHAU KEI WAN RD|形薈1A座,筲箕灣道",11427441.0,23369.0,489.0,28564188.0,30131.0,948.0,10759329.0,22941.0,469.0,27695734.0,29909.0,926.0,22909848.0,29523.0,776.0,12391164.0,26996.0,459.0,7078435.0,21385.0,331.0,6950787.0,22641.0,307.0,7147232.0,23984.0,298.0,6963180.0,24780.0,281.0,6997181.0,24901.0,281.0,7857444.0,23667.0,332.0,0.011533545091879649,0.008131940233221613
2019-3-15,12912898.75,25147.75,12,154954785.0,301773.0,5897,"LIME GALA(Block 1A),SHAU KEI WAN RD|形薈1A座,筲箕灣道",11212770.0,22930.0,489.0,28030464.0,29568.0,948.0,10991015.0,23435.0,469.0,27178100.0,29350.0,926.0,22483048.0,28973.0,776.0,12146517.0,26463.0,459.0,7039708.0,21268.0,331.0,6820619.0,22217.0,307.0,7248254.0,24323.0,298.0,6980883.0,24843.0,281.0,6867359.0,24439.0,281.0,7956047.999999999,23964.0,332.0,0.03988970919340429,0.036180279910450475
2019-2-15,12417565.666666666,24269.666666666668,12,149010788.0,291236.0,5897,"LIME GALA(Block 1A),SHAU KEI WAN RD|形薈1A座,筲箕灣道",10721325.0,21925.0,489.0,26802804.0,28273.0,948.0,10511228.0,22412.0,469.0,25987264.0,28064.0,926.0,21499856.0,27706.0,776.0,11603979.0,25281.0,459.0,7311459.0,22089.0,331.0,6521294.0,21242.0,307.0,7017006.0,23547.0,298.0,6736694.0,23974.0,281.0,6689767.0,23807.0,281.0,7608112.0,22916.0,332.0,0.019021427566451088,0.022404459828543777
