,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_change,npsf_change
2019-12-15,10849211.75,14484.5,4,43396847.0,57938.0,2964,"OCEAN MARINI(Block 1A,Phase IXC,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXC期,1A座(OCEAN MARINI),1 康城路",16030649.000000002,15109.0,1061.0,12363550.0,15170.0,815.0,8331400.0,13525.0,616.0,6671248.0,14134.0,472.0,-0.04989216696744292,-0.049885208265004866
2019-11-15,11418926.75,15245.0,4,45675707.0,60980.0,2964,"OCEAN MARINI(Block 1A,Phase IXC,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXC期,1A座(OCEAN MARINI),1 康城路",16874144.0,15904.0,1061.0,13011475.0,15965.0,815.0,8768144.0,14234.0,616.0,7021944.0,14877.0,472.0,0.047474237577835865,0.04747835646557652
2019-10-15,10901391.5,14554.0,4,43605566.0,58216.0,2964,"OCEAN MARINI(Block 1A,Phase IXC,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXC期,1A座(OCEAN MARINI),1 康城路",16111285.000000002,15185.0,1061.0,12419785.0,15239.0,815.0,8370208.0,13588.0,616.0,6704288.0,14204.0,472.0,-0.01712637041527687,-0.01711970285328379
2019-9-15,11091346.0,14807.5,4,44365384.0,59230.0,2964,"OCEAN MARINI(Block 1A,Phase IXC,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXC期,1A座(OCEAN MARINI),1 康城路",16393511.0,15451.0,1061.0,12634945.0,15503.0,815.0,8515584.0,13824.0,616.0,6821344.0,14452.0,472.0,-0.037729504623792764,-0.03772420067585136
2019-8-15,11526224.75,15388.0,4,46104899.0,61552.0,2964,"OCEAN MARINI(Block 1A,Phase IXC,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXC期,1A座(OCEAN MARINI),1 康城路",17038599.0,16059.0,1061.0,13128020.0,16108.0,815.0,8848840.0,14365.0,616.0,7089440.0,15020.0,472.0,0.003988262555580713,0.00399628101195626
2019-7-15,11480437.75,15326.75,4,45921751.0,61307.0,2964,"OCEAN MARINI(Block 1A,Phase IXC,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXC期,1A座(OCEAN MARINI),1 康城路",16972817.0,15997.0,1061.0,13074230.0,16042.0,815.0,8813112.0,14307.0,616.0,7061592.0,14961.0,472.0,0.004696514568955035,0.00470337594231407
2019-6-15,11426771.75,15255.0,4,45707087.0,61020.0,2964,"OCEAN MARINI(Block 1A,Phase IXC,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXC期,1A座(OCEAN MARINI),1 康城路",16895364.0,15924.0,1061.0,13011475.0,15965.0,815.0,8771224.0,14239.0,616.0,7029024.0,14892.0,472.0,-0.011541074534790807,-0.011533726430376423
2019-5-15,11560188.75,15433.0,4,46240755.0,61732.0,2964,"OCEAN MARINI(Block 1A,Phase IXC,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXC期,1A座(OCEAN MARINI),1 康城路",17094832.0,16112.0,1061.0,13161435.0,16149.0,815.0,8872864.0,14404.0,616.0,7111624.0,15067.0,472.0,0.024740678801608462,0.024750585149649007
2019-4-15,11281087.0,15060.25,4,45124348.0,60241.0,2964,"OCEAN MARINI(Block 1A,Phase IXC,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXC期,1A座(OCEAN MARINI),1 康城路",16684225.0,15725.0,1061.0,12841955.000000002,15757.0,815.0,8657880.0,14055.0,616.0,6940288.0,14704.0,472.0,0.03520493212937814,0.035211025570525134
2019-3-15,10897443.25,14548.0,4,43589773.0,58192.0,2964,"OCEAN MARINI(Block 1A,Phase IXC,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXC期,1A座(OCEAN MARINI),1 康城路",16118712.0,15192.0,1061.0,12403485.0,15219.0,815.0,8362816.000000001,13576.0,616.0,6704760.0,14205.0,472.0,-0.0033613807360206582,-0.003356854148112598
2019-2-15,10934197.25,14597.0,4,43736789.0,58388.0,2964,"OCEAN MARINI(Block 1A,Phase IXC,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXC期,1A座(OCEAN MARINI),1 康城路",16174945.0,15245.0,1061.0,12443420.0,15268.0,815.0,8390536.0,13621.0,616.0,6727888.0,14254.0,472.0,0.018924000627520643,0.01893443624243063
