,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_change,npsf_change
2019-12-15,27736704.5,23416.5,2,55473409.0,46833.0,2369,"ALTO RESIDENCES(Block 1),TONG YIN ST|藍塘傲1座,唐賢街",27863445.000000004,23395.0,1191.0,27609964.0,23438.0,1178.0,-0.0499248618442375,-0.049924940154988384
2019-11-15,29194222.0,24647.0,2,58388444.0,49294.0,2369,"ALTO RESIDENCES(Block 1),TONG YIN ST|藍塘傲1座,唐賢街",29327184.0,24624.0,1191.0,29061260.0,24670.0,1178.0,0.04744894357590734,0.047449055481183944
2019-10-15,27871737.5,23530.5,2,55743475.0,47061.0,2369,"ALTO RESIDENCES(Block 1),TONG YIN ST|藍塘傲1座,唐賢街",27999219.0,23509.0,1191.0,27744256.0,23552.0,1178.0,-0.01716692878028714,-0.017166844182695318
2019-9-15,28358567.0,23941.5,2,56717134.0,47883.0,2369,"ALTO RESIDENCES(Block 1),TONG YIN ST|藍塘傲1座,唐賢街",28488720.0,23920.0,1191.0,28228414.000000004,23963.0,1178.0,-0.03774036583865403,-0.03774039910773497
2019-8-15,29470806.0,24880.5,2,58941612.0,49761.0,2369,"ALTO RESIDENCES(Block 1),TONG YIN ST|藍塘傲1座,唐賢街",29605878.0,24858.0,1191.0,29335734.0,24903.0,1178.0,0.003934056860322777,0.003934148408182958
2019-7-15,29355320.5,24783.0,2,58710641.0,49566.0,2369,"ALTO RESIDENCES(Block 1),TONG YIN ST|藍塘傲1座,唐賢街",29490351.0,24761.0,1191.0,29220290.0,24805.0,1178.0,0.00466193298267914,0.004661910167018002
2019-6-15,29219103.0,24668.0,2,58438206.0,49336.0,2369,"ALTO RESIDENCES(Block 1),TONG YIN ST|藍塘傲1座,唐賢街",29353386.0,24646.0,1191.0,29084820.000000004,24690.0,1178.0,-0.011540366774436484,-0.011540310947267152
2019-5-15,29560239.0,24956.0,2,59120478.0,49912.0,2369,"ALTO RESIDENCES(Block 1),TONG YIN ST|藍塘傲1座,唐賢街",29696394.0,24934.0,1191.0,29424084.0,24978.0,1178.0,0.024676549215395527,0.02467665777047845
2019-4-15,28848361.0,24355.0,2,57696722.0,48710.0,2369,"ALTO RESIDENCES(Block 1),TONG YIN ST|藍塘傲1座,唐賢街",28981794.000000004,24334.0,1191.0,28714928.0,24376.0,1178.0,0.03517165924353782,0.035171607693124995
2019-3-15,27868190.5,23527.5,2,55736381.0,47055.0,2369,"ALTO RESIDENCES(Block 1),TONG YIN ST|藍塘傲1座,唐賢街",27996837.0,23507.0,1191.0,27739544.0,23548.0,1178.0,-0.0034099931389245386,-0.0034098610640460603
2019-2-15,27963546.0,23608.0,2,55927092.0,47216.0,2369,"ALTO RESIDENCES(Block 1),TONG YIN ST|藍塘傲1座,唐賢街",28093308.0,23588.0,1191.0,27833784.0,23628.0,1178.0,0.018925711880413365,0.018925742894753794
2019-1-15,27444146.0,23169.5,2,54888292.0,46339.0,2369,"ALTO RESIDENCES(Block 1),TONG YIN ST|藍塘傲1座,唐賢街",27571650.0,23150.0,1191.0,27316642.0,23189.0,1178.0,0.03985362558076333,0.039853690281175025
2018-12-15,26392316.5,22281.5,2,52784633.0,44563.0,2369,"ALTO RESIDENCES(Block 1),TONG YIN ST|藍塘傲1座,唐賢街",26515233.0,22263.0,1191.0,26269400.0,22300.0,1178.0,-0.03530765629833432,-0.03530761570766772
2018-11-15,27358273.0,23097.0,2,54716546.0,46194.0,2369,"ALTO RESIDENCES(Block 1),TONG YIN ST|藍塘傲1座,唐賢街",27485898.0,23078.0,1191.0,27230648.000000004,23116.0,1178.0,,
2018-10-15,,,2,,,2369,"ALTO RESIDENCES(Block 1),TONG YIN ST|藍塘傲1座,唐賢街",,,1191.0,,,1178.0,,
2018-9-15,,,2,,,2369,"ALTO RESIDENCES(Block 1),TONG YIN ST|藍塘傲1座,唐賢街",,,1191.0,,,1178.0,,
2018-8-15,,,2,,,2369,"ALTO RESIDENCES(Block 1),TONG YIN ST|藍塘傲1座,唐賢街",,,1191.0,,,1178.0,,
2018-7-15,,,2,,,2369,"ALTO RESIDENCES(Block 1),TONG YIN ST|藍塘傲1座,唐賢街",,,1191.0,,,1178.0,,
2018-6-15,,,2,,,2369,"ALTO RESIDENCES(Block 1),TONG YIN ST|藍塘傲1座,唐賢街",,,1191.0,,,1178.0,,
2018-5-15,,,2,,,2369,"ALTO RESIDENCES(Block 1),TONG YIN ST|藍塘傲1座,唐賢街",,,1191.0,,,1178.0,,
2018-4-15,,,2,,,2369,"ALTO RESIDENCES(Block 1),TONG YIN ST|藍塘傲1座,唐賢街",,,1191.0,,,1178.0,,
2018-3-15,,,2,,,2369,"ALTO RESIDENCES(Block 1),TONG YIN ST|藍塘傲1座,唐賢街",,,1191.0,,,1178.0,,
2018-2-15,,,2,,,2369,"ALTO RESIDENCES(Block 1),TONG YIN ST|藍塘傲1座,唐賢街",,,1191.0,,,1178.0,,
2018-1-15,,,2,,,2369,"ALTO RESIDENCES(Block 1),TONG YIN ST|藍塘傲1座,唐賢街",,,1191.0,,,1178.0,,
2017-12-15,,,2,,,2369,"ALTO RESIDENCES(Block 1),TONG YIN ST|藍塘傲1座,唐賢街",,,1191.0,,,1178.0,,
2017-11-15,,,2,,,2369,"ALTO RESIDENCES(Block 1),TONG YIN ST|藍塘傲1座,唐賢街",,,1191.0,,,1178.0,,
2017-10-15,,,2,,,2369,"ALTO RESIDENCES(Block 1),TONG YIN ST|藍塘傲1座,唐賢街",,,1191.0,,,1178.0,,
2017-9-15,,,2,,,2369,"ALTO RESIDENCES(Block 1),TONG YIN ST|藍塘傲1座,唐賢街",,,1191.0,,,1178.0,,
2017-8-15,,,2,,,2369,"ALTO RESIDENCES(Block 1),TONG YIN ST|藍塘傲1座,唐賢街",,,1191.0,,,1178.0,,
2017-7-15,,,2,,,2369,"ALTO RESIDENCES(Block 1),TONG YIN ST|藍塘傲1座,唐賢街",,,1191.0,,,1178.0,,
2017-6-15,,,2,,,2369,"ALTO RESIDENCES(Block 1),TONG YIN ST|藍塘傲1座,唐賢街",,,1191.0,,,1178.0,,
2017-5-15,,,2,,,2369,"ALTO RESIDENCES(Block 1),TONG YIN ST|藍塘傲1座,唐賢街",,,1191.0,,,1178.0,,
2017-4-15,,,2,,,2369,"ALTO RESIDENCES(Block 1),TONG YIN ST|藍塘傲1座,唐賢街",,,1191.0,,,1178.0,,
2017-3-15,,,2,,,2369,"ALTO RESIDENCES(Block 1),TONG YIN ST|藍塘傲1座,唐賢街",,,1191.0,,,1178.0,,
2017-2-15,,,2,,,2369,"ALTO RESIDENCES(Block 1),TONG YIN ST|藍塘傲1座,唐賢街",,,1191.0,,,1178.0,,
2017-1-15,,,2,,,2369,"ALTO RESIDENCES(Block 1),TONG YIN ST|藍塘傲1座,唐賢街",,,1191.0,,,1178.0,,
2016-12-15,,,2,,,2369,"ALTO RESIDENCES(Block 1),TONG YIN ST|藍塘傲1座,唐賢街",,,1191.0,,,1178.0,,
2016-11-15,,,2,,,2369,"ALTO RESIDENCES(Block 1),TONG YIN ST|藍塘傲1座,唐賢街",,,1191.0,,,1178.0,,
2016-10-15,,,2,,,2369,"ALTO RESIDENCES(Block 1),TONG YIN ST|藍塘傲1座,唐賢街",,,1191.0,,,1178.0,,
2016-9-15,,,2,,,2369,"ALTO RESIDENCES(Block 1),TONG YIN ST|藍塘傲1座,唐賢街",,,1191.0,,,1178.0,,
2016-8-15,,,2,,,2369,"ALTO RESIDENCES(Block 1),TONG YIN ST|藍塘傲1座,唐賢街",,,1191.0,,,1178.0,,
2016-7-15,,,2,,,2369,"ALTO RESIDENCES(Block 1),TONG YIN ST|藍塘傲1座,唐賢街",,,1191.0,,,1178.0,,
2016-6-15,,,2,,,2369,"ALTO RESIDENCES(Block 1),TONG YIN ST|藍塘傲1座,唐賢街",,,1191.0,,,1178.0,,
2016-5-15,,,2,,,2369,"ALTO RESIDENCES(Block 1),TONG YIN ST|藍塘傲1座,唐賢街",,,1191.0,,,1178.0,,
2016-4-15,,,2,,,2369,"ALTO RESIDENCES(Block 1),TONG YIN ST|藍塘傲1座,唐賢街",,,1191.0,,,1178.0,,
2016-3-15,,,2,,,2369,"ALTO RESIDENCES(Block 1),TONG YIN ST|藍塘傲1座,唐賢街",,,1191.0,,,1178.0,,
2016-2-15,,,2,,,2369,"ALTO RESIDENCES(Block 1),TONG YIN ST|藍塘傲1座,唐賢街",,,1191.0,,,1178.0,,
2016-1-15,,,2,,,2369,"ALTO RESIDENCES(Block 1),TONG YIN ST|藍塘傲1座,唐賢街",,,1191.0,,,1178.0,,
