,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_change,npsf_change
2019-12-15,9492027.0,19327.166666666668,6,56952162.0,115963.0,3038,"THE PAVILIA FARM I(Block 3B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3B座(柏傲莊 I),車公廟路",9708600.0,17652.0,550.0,8482080.0,19680.0,431.0,12758058.0,17646.0,723.0,7044888.0,21544.0,327.0,12226842.0,17442.0,701.0,6731694.0,21999.0,306.0,-0.0009730451359030168,-0.0009735001206105931
2019-11-15,9501272.166666666,19346.0,6,57007633.0,116076.0,3038,"THE PAVILIA FARM I(Block 3B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3B座(柏傲莊 I),車公廟路",9717950.0,17669.0,550.0,8490700.0,19700.0,431.0,12770349.0,17663.0,723.0,7051755.0,21565.0,327.0,12238759.0,17459.0,701.0,6738120.0,22020.0,306.0,0.0346379441716238,0.03463766824137626
2019-10-15,9183185.5,18698.333333333332,6,55099113.0,112190.0,3038,"THE PAVILIA FARM I(Block 3B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3B座(柏傲莊 I),車公廟路",9392350.0,17077.0,550.0,8207102.0,19042.0,431.0,12342333.0,17071.0,723.0,6815661.0,20843.0,327.0,11829375.0,16875.0,701.0,6512292.0,21282.0,306.0,-0.03984623839680812,-0.03969938713322152
2019-9-15,9564286.333333334,19471.333333333332,6,57385718.0,116828.0,3038,"THE PAVILIA FARM I(Block 3B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3B座(柏傲莊 I),車公廟路",9777350.0,17777.0,550.0,8543713.0,19823.0,431.0,12847710.0,17770.0,723.0,7094919.0,21697.0,327.0,12343208.0,17608.0,701.0,6778818.0,22153.0,306.0,0.02771056995110399,0.02780930261201564
2019-8-15,9306400.666666666,18944.5,6,55838404.0,113667.0,3038,"THE PAVILIA FARM I(Block 3B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3B座(柏傲莊 I),車公廟路",9515000.0,17300.0,550.0,8315283.0,19293.0,431.0,12503562.0,17294.0,723.0,6894468.0,21084.0,327.0,12013037.0,17137.0,701.0,6597054.0,21559.0,306.0,-0.04892599742947201,-0.048779875477003465
2019-7-15,9785148.833333334,19916.0,6,58710893.0,119496.0,3038,"THE PAVILIA FARM I(Block 3B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3B座(柏傲莊 I),車公廟路",10006700.0,18194.0,550.0,8746283.0,20293.0,431.0,13149924.0,18188.0,723.0,7251225.0,22175.0,327.0,12634123.0,18023.0,701.0,6922638.0,22623.0,306.0,0.016907655623736195,0.016909343114144493
2019-6-15,9622455.666666666,19584.833333333332,6,57734734.0,117509.0,3038,"THE PAVILIA FARM I(Block 3B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3B座(柏傲莊 I),車公廟路",9840050.0,17891.0,550.0,8601467.0,19957.0,431.0,12930855.0,17885.0,723.0,7130562.0,21806.0,327.0,12424524.0,17724.0,701.0,6807276.0,22246.0,306.0,-0.0114987190087541,-0.011499377502607877
2019-5-15,9734388.666666666,19812.666666666668,6,58406332.0,118876.0,3038,"THE PAVILIA FARM I(Block 3B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3B座(柏傲莊 I),車公廟路",9954450.0,18099.0,550.0,8701890.0,20190.0,431.0,13081239.0,18093.0,723.0,7213293.0,22059.0,327.0,12568930.0,17930.0,701.0,6886530.0,22505.0,306.0,,
2019-4-15,,,6,,,3038,"THE PAVILIA FARM I(Block 3B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3B座(柏傲莊 I),車公廟路",,,550.0,,,431.0,,,723.0,,,327.0,,,701.0,,,306.0,,
2019-3-15,,,6,,,3038,"THE PAVILIA FARM I(Block 3B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3B座(柏傲莊 I),車公廟路",,,550.0,,,431.0,,,723.0,,,327.0,,,701.0,,,306.0,,
2019-2-15,,,6,,,3038,"THE PAVILIA FARM I(Block 3B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3B座(柏傲莊 I),車公廟路",,,550.0,,,431.0,,,723.0,,,327.0,,,701.0,,,306.0,,
2019-1-15,,,6,,,3038,"THE PAVILIA FARM I(Block 3B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3B座(柏傲莊 I),車公廟路",,,550.0,,,431.0,,,723.0,,,327.0,,,701.0,,,306.0,,
2018-12-15,,,6,,,3038,"THE PAVILIA FARM I(Block 3B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3B座(柏傲莊 I),車公廟路",,,550.0,,,431.0,,,723.0,,,327.0,,,701.0,,,306.0,,
2018-11-15,,,6,,,3038,"THE PAVILIA FARM I(Block 3B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3B座(柏傲莊 I),車公廟路",,,550.0,,,431.0,,,723.0,,,327.0,,,701.0,,,306.0,,
2018-10-15,,,6,,,3038,"THE PAVILIA FARM I(Block 3B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3B座(柏傲莊 I),車公廟路",,,550.0,,,431.0,,,723.0,,,327.0,,,701.0,,,306.0,,
