,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_1,npsf_1,nfa_1,lumpSum_10,npsf_10,nfa_10,lumpSum_11,npsf_11,nfa_11,lumpSum_12,npsf_12,nfa_12,lumpSum_15,npsf_15,nfa_15,lumpSum_16,npsf_16,nfa_16,lumpSum_17,npsf_17,nfa_17,lumpSum_18,npsf_18,nfa_18,lumpSum_19,npsf_19,nfa_19,lumpSum_2,npsf_2,nfa_2,lumpSum_20,npsf_20,nfa_20,lumpSum_21,npsf_21,nfa_21,lumpSum_22,npsf_22,nfa_22,lumpSum_23,npsf_23,nfa_23,lumpSum_25,npsf_25,nfa_25,lumpSum_26,npsf_26,nfa_26,lumpSum_27,npsf_27,nfa_27,lumpSum_3,npsf_3,nfa_3,lumpSum_5,npsf_5,nfa_5,lumpSum_6,npsf_6,nfa_6,lumpSum_7,npsf_7,nfa_7,lumpSum_8,npsf_8,nfa_8,lumpSum_9,npsf_9,nfa_9,lumpSum_change,npsf_change
2019-12-15,4899591.130434782,14224.434782608696,23,112690596.0,327162.0,7986,"SEACOAST ROYALE(Block 3,Phase 1,THE ROYALE),8 CASTLE PEAK RD CASTLE PEAK BAY|帝御,1期,3座(帝御•金灣),8 青山公路青山灣段",7175546.0,13118.0,547.0,6066938.0,13603.0,446.0,3214163.0,15233.0,211.0,4815462.0,13157.0,366.0,3017853.0,14579.0,207.0,6222308.0,13324.0,467.0,4668768.0,13416.0,348.0,4829724.0,14122.0,342.0,6576935.0,13505.0,487.0,6620832.0,13968.0,474.0,5122300.0,14150.0,362.0,4506840.0,14445.0,312.0,4762344.0,13764.0,346.0,5118372.0,14966.0,342.0,5235720.0,15176.0,345.0,4795419.0,14939.0,321.0,4322586.0,13466.0,321.0,4086099.9999999995,14090.0,290.0,4645510.0,16019.0,290.0,4205870.0,14503.0,290.0,4105820.0000000005,14158.0,290.0,3976770.0000000005,13713.0,290.0,4598416.0,15748.0,292.0,-0.030829395544933358,-0.03082925268611747
2019-11-15,5055447.521739131,14676.91304347826,23,116275293.0,337569.0,7986,"SEACOAST ROYALE(Block 3,Phase 1,THE ROYALE),8 CASTLE PEAK RD CASTLE PEAK BAY|帝御,1期,3座(帝御•金灣),8 青山公路青山灣段",7402551.000000001,13533.0,547.0,6260502.0,14037.0,446.0,3316498.0,15718.0,211.0,4968816.0,13576.0,366.0,3113694.0,15042.0,207.0,6419849.0,13747.0,467.0,4818060.0,13845.0,348.0,4983282.0,14571.0,342.0,6786832.0,13936.0,487.0,6831762.0,14413.0,474.0,5285562.0,14601.0,362.0,4650360.0,14905.0,312.0,4913546.0,14201.0,346.0,5281506.0,15443.0,342.0,5401665.0,15657.0,345.0,4947894.0,15414.0,321.0,4459974.0,13894.0,321.0,4216310.0,14539.0,290.0,4792250.0,16525.0,290.0,4339560.0,14964.0,290.0,4236900.0,14610.0,290.0,4102920.0,14148.0,290.0,4745000.0,16250.0,292.0,-0.011353308557440545,-0.0113546505157478
2019-10-15,5113502.695652174,14845.478260869566,23,117610562.0,341446.0,7986,"SEACOAST ROYALE(Block 3,Phase 1,THE ROYALE),8 CASTLE PEAK RD CASTLE PEAK BAY|帝御,1期,3座(帝御•金灣),8 青山公路青山灣段",7485695.0,13685.0,547.0,6332754.0,14199.0,446.0,3354900.0,15900.0,211.0,5025546.0,13731.0,366.0,3149091.0,15213.0,207.0,6493168.0,13904.0,467.0,4874436.0,14007.0,348.0,5040738.0,14739.0,342.0,6865726.0,14098.0,487.0,6910920.0,14580.0,474.0,5346740.0,14770.0,362.0,4704024.0,15077.0,312.0,4969598.0,14363.0,346.0,5342382.0,15621.0,342.0,5463075.0,15835.0,345.0,5004069.0,15589.0,321.0,4511334.0,14054.0,321.0,4265030.0,14707.0,290.0,4846480.0,16712.0,290.0,4389440.0,15136.0,290.0,4285910.0,14779.0,290.0,4149609.9999999995,14309.0,290.0,4799896.0,16438.0,292.0,-0.0018183183074226283,-0.0018154338185208951
2019-9-15,5122817.608695652,14872.478260869566,23,117824805.0,342067.0,7986,"SEACOAST ROYALE(Block 3,Phase 1,THE ROYALE),8 CASTLE PEAK RD CASTLE PEAK BAY|帝御,1期,3座(帝御•金灣),8 青山公路青山灣段",7497729.000000001,13707.0,547.0,6345242.0,14227.0,446.0,3361019.0,15929.0,211.0,5034696.0,13756.0,366.0,3154473.0,15239.0,207.0,6504376.0,13928.0,467.0,4884180.0,14035.0,348.0,5049972.0,14766.0,342.0,6879362.0,14126.0,487.0,6924192.0,14608.0,474.0,5356876.0,14798.0,362.0,4712448.0,15104.0,312.0,4978248.0,14388.0,346.0,5352642.0,15651.0,342.0,5472045.0,15861.0,345.0,5013057.0,15617.0,321.0,4519680.0,14080.0,321.0,4272860.0,14734.0,290.0,4854600.0,16740.0,290.0,4397270.0,15163.0,290.0,4294030.0,14807.0,290.0,4156859.9999999995,14334.0,290.0,4808948.0,16469.0,292.0,-0.04902001804673639,-0.04902140672782862
2019-8-15,5386882.695652174,15639.130434782608,23,123898302.0,359700.0,7986,"SEACOAST ROYALE(Block 3,Phase 1,THE ROYALE),8 CASTLE PEAK RD CASTLE PEAK BAY|帝御,1期,3座(帝御•金灣),8 青山公路青山灣段",7882817.0,14411.0,547.0,6672606.0,14961.0,446.0,3534672.0,16752.0,211.0,5293824.0,14464.0,366.0,3316761.0,16023.0,207.0,6839215.000000001,14645.0,467.0,5137176.0,14762.0,348.0,5310576.0,15528.0,342.0,7234871.999999999,14856.0,487.0,7281588.0,15362.0,474.0,5633444.0,15562.0,362.0,4955496.0,15883.0,312.0,5234288.0,15128.0,346.0,5628636.0,16458.0,342.0,5753565.0,16677.0,345.0,5270820.0,16420.0,321.0,4752726.0,14806.0,321.0,4493550.0,15495.0,290.0,5103710.0,17599.0,290.0,4624050.0,15945.0,290.0,4515880.0,15572.0,290.0,4370590.0,15071.0,290.0,5057440.0,17320.0,292.0,0.024870235711886846,0.024871000737952675
2019-7-15,5256160.739130435,15259.608695652174,23,120891697.0,350971.0,7986,"SEACOAST ROYALE(Block 3,Phase 1,THE ROYALE),8 CASTLE PEAK RD CASTLE PEAK BAY|帝御,1期,3座(帝御•金灣),8 青山公路青山灣段",7689726.0,14058.0,547.0,6511600.0,14600.0,446.0,3449006.0,16346.0,211.0,5165358.0,14113.0,366.0,3235824.0,15632.0,207.0,6672496.0,14288.0,467.0,5013636.0,14407.0,348.0,5181642.0,15151.0,342.0,7060038.999999999,14497.0,487.0,7105734.000000001,14991.0,474.0,5496970.0,15185.0,362.0,4835376.0,15498.0,312.0,5106960.0,14760.0,346.0,5492520.0,16060.0,342.0,5613150.0,16270.0,345.0,5142741.0,16021.0,321.0,4637487.0,14447.0,321.0,4384800.0,15120.0,290.0,4979010.0,17169.0,290.0,4511820.0,15558.0,290.0,4406550.0,15195.0,290.0,4264160.0,14704.0,290.0,4935092.0,16901.0,292.0,0.0022096634635646595,0.002210184553265826
2019-6-15,5244572.0,15225.95652173913,23,120625156.0,350197.0,7986,"SEACOAST ROYALE(Block 3,Phase 1,THE ROYALE),8 CASTLE PEAK RD CASTLE PEAK BAY|帝御,1期,3座(帝御•金灣),8 青山公路青山灣段",7671128.0,14024.0,547.0,6497774.0,14569.0,446.0,3441621.0,16311.0,211.0,5154012.0,14082.0,366.0,3228372.0,15596.0,207.0,6657552.0,14256.0,467.0,5003544.0,14378.0,348.0,5170356.0,15118.0,342.0,7045428.999999999,14467.0,487.0,7090565.999999999,14959.0,474.0,5485386.0,15153.0,362.0,4824768.0,15464.0,312.0,5095196.0,14726.0,346.0,5480550.0,16025.0,342.0,5600040.0,16232.0,345.0,5130864.0,15984.0,321.0,4627536.0,14416.0,321.0,4375230.0,15087.0,290.0,4967120.0,17128.0,290.0,4501670.0,15523.0,290.0,4397270.0,15163.0,290.0,4254300.0,14670.0,290.0,4924872.0,16866.0,292.0,-0.009096413336177278,-0.009097031227009778
2019-5-15,5292716.739130435,15365.739130434782,23,121732485.0,353412.0,7986,"SEACOAST ROYALE(Block 3,Phase 1,THE ROYALE),8 CASTLE PEAK RD CASTLE PEAK BAY|帝御,1期,3座(帝御•金灣),8 青山公路青山灣段",7740050.0,14150.0,547.0,6557984.0,14704.0,446.0,3473481.9999999995,16462.0,211.0,5201226.0,14211.0,366.0,3257766.0,15738.0,207.0,6717795.0,14385.0,467.0,5050524.0,14513.0,348.0,5217894.0,15257.0,342.0,7111174.0,14602.0,487.0,7156451.999999999,15098.0,474.0,5536066.0,15293.0,362.0,4869384.0,15607.0,312.0,5141560.0,14860.0,346.0,5531166.0,16173.0,342.0,5650410.0,16378.0,345.0,5177730.0,16130.0,321.0,4669908.0,14548.0,321.0,4415540.0,15226.0,290.0,5011780.0,17282.0,290.0,4543140.0,15666.0,290.0,4438160.0,15304.0,290.0,4292870.0,14803.0,290.0,4970424.0,17022.0,292.0,0.04162134854909727,0.041622211087859906
2019-4-15,5081229.130434782,14751.739130434782,23,116868270.0,339290.0,7986,"SEACOAST ROYALE(Block 3,Phase 1,THE ROYALE),8 CASTLE PEAK RD CASTLE PEAK BAY|帝御,1期,3座(帝御•金灣),8 青山公路青山灣段",7428807.0,13581.0,547.0,6296628.0,14118.0,446.0,3334855.0,15805.0,211.0,4993338.0,13643.0,366.0,3127149.0,15107.0,207.0,6448803.0,13809.0,467.0,4849728.0,13936.0,348.0,5009616.0,14648.0,342.0,6828227.0,14021.0,487.0,6871104.0,14496.0,474.0,5315246.0,14683.0,362.0,4674696.0,14983.0,312.0,4935690.0,14265.0,346.0,5310576.0,15528.0,342.0,5424090.0,15722.0,345.0,4970364.0,15484.0,321.0,4483407.0,13967.0,321.0,4239510.0,14619.0,290.0,4810810.0,16589.0,290.0,4361310.0,15039.0,290.0,4261260.0,14694.0,290.0,4120900.0,14210.0,290.0,4772156.0,16343.0,292.0,0.008680137390706832,0.008677918132062423
2019-3-15,5037502.9130434785,14624.826086956522,23,115862567.0,336371.0,7986,"SEACOAST ROYALE(Block 3,Phase 1,THE ROYALE),8 CASTLE PEAK RD CASTLE PEAK BAY|帝御,1期,3座(帝御•金灣),8 青山公路青山灣段",7363166.999999999,13461.0,547.0,6243108.0,13998.0,446.0,3306370.0,15670.0,211.0,4950150.0,13525.0,366.0,3100032.0,14976.0,207.0,6392763.0,13689.0,467.0,4809012.0,13819.0,348.0,4966866.0,14523.0,342.0,6770274.0,13902.0,487.0,6812328.0,14372.0,474.0,5269996.0,14558.0,362.0,4634760.0,14855.0,312.0,4892786.0,14141.0,346.0,5265090.0,15395.0,342.0,5376480.0,15584.0,345.0,4927350.0,15350.0,321.0,4444887.0,13847.0,321.0,4203260.0,14494.0,290.0,4768470.0,16443.0,290.0,4323900.0,14910.0,290.0,4225010.0,14569.0,290.0,4084940.0000000005,14086.0,290.0,4731568.0,16204.0,292.0,0.04443741136991952,0.04367751183701851
2019-2-15,4823173.565217392,14012.782608695652,23,110932992.0,322294.0,7986,"SEACOAST ROYALE(Block 3,Phase 1,THE ROYALE),8 CASTLE PEAK RD CASTLE PEAK BAY|帝御,1期,3座(帝御•金灣),8 青山公路青山灣段",6843517.0,12511.0,547.0,5989780.0,13430.0,446.0,3172174.0,15034.0,211.0,4748850.0,12975.0,366.0,2973555.0,14365.0,207.0,6132644.0,13132.0,467.0,4614480.0,13260.0,348.0,4764744.0,13932.0,342.0,6496093.0,13339.0,487.0,6535986.0,13789.0,474.0,5056054.0,13967.0,362.0,4446312.0,14251.0,312.0,4693490.0,13565.0,346.0,5051340.0,14770.0,342.0,5157060.0,14948.0,345.0,4726404.0,14724.0,321.0,4264485.0,13285.0,321.0,4032449.9999999995,13905.0,290.0,4573590.0,15771.0,290.0,4148160.0,14304.0,290.0,4053619.9999999995,13978.0,290.0,3918480.0,13512.0,290.0,4539724.0,15547.0,292.0,-0.002522687231211296,-0.0025192814786386686
