,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_H,npsf_H,nfa_H,lumpSum_J,npsf_J,nfa_J,lumpSum_change,npsf_change
2019-12-15,9701221.666666666,17486.666666666668,9,87310995.0,157380.0,5037,"SEASIDE SONATA(Block 5),HAI TAN ST|愛海頌5座,海壇街",12842547.0,16657.0,771.0,12030684.0,15604.0,771.0,8976264.0,18546.0,484.0,8983077.0,17859.0,503.0,8928270.0,17610.0,507.0,8679418.0,17153.0,506.0,8867295.0,17559.0,505.0,8921330.0,17666.0,505.0,9082110.0,18726.0,485.0,-0.03058654996413357,-0.03246629493240538
2019-11-15,10007310.777777778,18073.444444444445,9,90065797.0,162661.0,5037,"SEASIDE SONATA(Block 5),HAI TAN ST|愛海頌5座,海壇街",13036068.0,16908.0,771.0,12211098.0,15838.0,771.0,9363464.0,19346.0,484.0,9120899.0,18133.0,503.0,9062625.0,17875.0,507.0,8651588.0,17098.0,506.0,9615705.0,19041.0,505.0,9334420.0,18484.0,505.0,9669930.0,19938.0,485.0,0.08312187198939203,0.0831141504471331
2019-10-15,9239321.111111112,16686.555555555555,9,83153890.0,150179.0,5037,"SEASIDE SONATA(Block 5),HAI TAN ST|愛海頌5座,海壇街",12034539.0,15609.0,771.0,11273562.0,14622.0,771.0,8645208.0,17862.0,484.0,8421729.0,16743.0,503.0,8368542.0,16506.0,507.0,7987210.0,15785.0,506.0,8877900.0,17580.0,505.0,8617320.0,17064.0,505.0,8927880.0,18408.0,485.0,-0.08888571794314915,-0.08887999077832176
2019-9-15,10140683.0,18314.333333333332,9,91266147.0,164829.0,5037,"SEASIDE SONATA(Block 5),HAI TAN ST|愛海頌5座,海壇街",13208772.0,17132.0,771.0,12374550.0,16050.0,771.0,9487852.0,19603.0,484.0,9241116.0,18372.0,503.0,9184812.0,18116.0,507.0,8766450.0,17325.0,506.0,9743975.0,19295.0,505.0,9460165.0,18733.0,505.0,9798455.0,20203.0,485.0,-0.0035405773288759157,-0.0035365809423627548
2019-8-15,10176714.444444444,18379.333333333332,9,91590430.0,165414.0,5037,"SEASIDE SONATA(Block 5),HAI TAN ST|愛海頌5座,海壇街",13255803.0,17193.0,771.0,12419268.0,16108.0,771.0,9520764.0,19671.0,484.0,9271296.0,18432.0,503.0,9217767.0,18181.0,507.0,8797822.0,17387.0,506.0,9778315.0,19363.0,505.0,9496020.0,18804.0,505.0,9833375.0,20275.0,485.0,0.010010002349290392,0.010013799504194898
2019-7-15,10075855.111111112,18197.11111111111,9,90682696.0,163774.0,5037,"SEASIDE SONATA(Block 5),HAI TAN ST|愛海頌5座,海壇街",13124733.0,17023.0,771.0,12296679.0,15949.0,771.0,9425900.0,19475.0,484.0,9176732.0,18244.0,503.0,9126507.0,18001.0,507.0,8710790.0,17215.0,506.0,9681355.0,19171.0,505.0,9404110.0,18622.0,505.0,9735890.0,20074.0,485.0,-0.03640682153533137,-0.03640246880166631
2019-6-15,10456544.666666666,18884.555555555555,9,94108902.0,169961.0,5037,"SEASIDE SONATA(Block 5),HAI TAN ST|愛海頌5座,海壇街",13620486.0,17666.0,771.0,12762363.0,16553.0,771.0,9781156.0,20209.0,484.0,9520784.0,18928.0,503.0,9471267.0,18681.0,507.0,9040196.0,17866.0,506.0,10047480.0,19896.0,505.0,9761650.0,19330.0,505.0,10103520.0,20832.0,485.0,0.011292206991911469,0.011299401411383858
2019-5-15,10339785.666666666,18673.555555555555,9,93058071.0,168062.0,5037,"SEASIDE SONATA(Block 5),HAI TAN ST|愛海頌5座,海壇街",13468599.0,17469.0,771.0,12621270.0,16370.0,771.0,9671288.0,19982.0,484.0,9411633.0,18711.0,503.0,9365304.0,18472.0,507.0,8939502.0,17667.0,506.0,9935370.0,19674.0,505.0,9654590.0,19118.0,505.0,9990515.0,20599.0,485.0,0.0214236246922479,0.02142996061652158
2019-4-15,10122916.111111112,18281.777777777777,9,91106245.0,164536.0,5037,"SEASIDE SONATA(Block 5),HAI TAN ST|愛海頌5座,海壇街",13186413.0,17103.0,771.0,12357588.0,16028.0,771.0,9467524.0,19561.0,484.0,9211439.0,18313.0,503.0,9169095.0,18085.0,507.0,8751776.0,17296.0,506.0,9726805.0,19261.0,505.0,9454610.0,18722.0,505.0,9780995.0,20167.0,485.0,-0.012458119604607965,-0.012454159689336164
2019-3-15,10250619.555555556,18512.333333333332,9,92255576.0,166611.0,5037,"SEASIDE SONATA(Block 5),HAI TAN ST|愛海頌5座,海壇街",13352949.0,17319.0,771.0,12514101.0,16231.0,771.0,9586104.0,19806.0,484.0,9324614.0,18538.0,503.0,9285198.0,18314.0,507.0,8862590.0,17515.0,506.0,9849520.0,19504.0,505.0,9576315.0,18963.0,505.0,9904185.0,20421.0,485.0,0.0179297291155347,0.01758982721659308
2019-2-15,10070066.0,18192.333333333332,9,90630594.0,163731.0,5037,"SEASIDE SONATA(Block 5),HAI TAN ST|愛海頌5座,海壇街",13086954.0,16974.0,771.0,12265839.0,15909.0,771.0,9608852.0,19853.0,484.0,9136492.0,18164.0,503.0,9099636.0,17948.0,507.0,8685996.0,17166.0,506.0,9653075.0,19115.0,505.0,9387445.0,18589.0,505.0,9706305.0,20013.0,485.0,0.037401768694894866,0.03740804805261466
