,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_change,npsf_change
2019-12-15,46889712.0,26634.0,2,93779424.0,53268.0,3520,"SUN SKY MANS(CULLINAN WEST),SHAM MONG RD|日鑽匯(匯璽),深旺道",50691456.0,26736.0,1896.0,43087968.0,26532.0,1624.0,-0.016959059374360264,-0.01695978740288262
2019-11-15,47698636.0,27093.5,2,95397272.0,54187.0,3520,"SUN SKY MANS(CULLINAN WEST),SHAM MONG RD|日鑽匯(匯璽),深旺道",51565512.0,27197.0,1896.0,43831760.0,26990.0,1624.0,0.026773950176489647,0.026774548072914683
2019-10-15,46454856.0,26387.0,2,92909712.0,52774.0,3520,"SUN SKY MANS(CULLINAN WEST),SHAM MONG RD|日鑽匯(匯璽),深旺道",50221248.0,26488.0,1896.0,42688464.0,26286.0,1624.0,-0.02862059975581932,-0.028621914631228207
2019-9-15,47823596.0,27164.5,2,95647192.0,54329.0,3520,"SUN SKY MANS(CULLINAN WEST),SHAM MONG RD|日鑽匯(匯璽),深旺道",51700128.0,27268.0,1896.0,43947064.0,27061.0,1624.0,-0.030809038098216557,-0.030808477237048715
2019-8-15,49343832.0,28028.0,2,98687664.0,56056.0,3520,"SUN SKY MANS(CULLINAN WEST),SHAM MONG RD|日鑽匯(匯璽),深旺道",53343960.0,28135.0,1896.0,45343704.0,27921.0,1624.0,0.002254918751752877,0.002252816020025028
2019-7-15,49232816.0,27965.0,2,98465632.0,55930.0,3520,"SUN SKY MANS(CULLINAN WEST),SHAM MONG RD|日鑽匯(匯璽),深旺道",53222616.0,28071.0,1896.0,45243016.0,27859.0,1624.0,0.0028321308998517924,0.00283296277702072
2019-6-15,49093776.0,27886.0,2,98187552.0,55772.0,3520,"SUN SKY MANS(CULLINAN WEST),SHAM MONG RD|日鑽匯(匯璽),深旺道",53072832.00000001,27992.0,1896.0,45114720.0,27780.0,1624.0,-0.009167192890480846,-0.009167140420693554
2019-5-15,49547992.0,28144.0,2,99095984.0,56288.0,3520,"SUN SKY MANS(CULLINAN WEST),SHAM MONG RD|日鑽匯(匯璽),深旺道",53563896.0,28251.0,1896.0,45532088.0,28037.0,1624.0,0.018418856578615195,0.018418671973946088
2019-4-15,48651880.0,27635.0,2,97303760.0,55270.0,3520,"SUN SKY MANS(CULLINAN WEST),SHAM MONG RD|日鑽匯(匯璽),深旺道",52595040.0,27740.0,1896.0,44708720.0,27530.0,1624.0,0.024941887092635673,0.02494204914232734
2019-3-15,47467940.0,26962.5,2,94935880.0,53925.0,3520,"SUN SKY MANS(CULLINAN WEST),SHAM MONG RD|日鑽匯(匯璽),深旺道",51315240.0,27065.0,1896.0,43620640.0,26860.0,1624.0,0.023555962283549503,0.023555538683471156
2019-2-15,46375520.0,26342.0,2,92751040.0,52684.0,3520,"SUN SKY MANS(CULLINAN WEST),SHAM MONG RD|日鑽匯(匯璽),深旺道",50134032.0,26442.0,1896.0,42617008.0,26242.0,1624.0,0.016556522495469572,0.016555396905028275
