,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_B,npsf_B,nfa_B,lumpSum_E,npsf_E,nfa_E,lumpSum_H,npsf_H,nfa_H,lumpSum_change,npsf_change
2019-12-15,6841033.0,16700.666666666668,3,20523099.0,50102.0,1230,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",6897555.0,17031.0,405.0,7081148.0,16204.0,437.0,6544396.0,16867.0,388.0,-0.049963934632945683,-0.04996492026470967
2019-11-15,7200814.0,17579.0,3,21602442.0,52737.0,1230,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",7260030.0,17926.0,405.0,7453472.0,17056.0,437.0,6888940.000000001,17755.0,388.0,0.04743089155821045,0.04742894595721858
2019-10-15,6874739.0,16783.0,3,20624217.0,50349.0,1230,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",6931170.0,17114.0,405.0,7115671.0,16283.0,437.0,6577376.0,16952.0,388.0,-0.017214949707371474,-0.01721613866604199
2019-9-15,6995160.333333333,17077.0,3,20985481.0,51231.0,1230,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",7052265.0,17413.0,405.0,7240216.0,16568.0,437.0,6693000.000000001,17250.0,388.0,-0.03778689547601932,-0.03778900512743466
2019-8-15,7269866.0,17747.666666666668,3,21809598.0,53243.0,1230,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",7328880.0,18096.0,405.0,7524266.0,17218.0,437.0,6956452.0,17929.0,388.0,0.003923844919676567,0.0039219383426041254
2019-7-15,7241451.666666667,17678.333333333332,3,21724355.0,53035.0,1230,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",7300125.0,18025.0,405.0,7494550.0,17150.0,437.0,6929680.0,17860.0,388.0,0.004623068106818673,0.0046219999621146535
2019-6-15,7208128.0,17597.0,3,21624384.0,52791.0,1230,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",7266105.0,17941.0,405.0,7460026.999999999,17071.0,437.0,6898252.0,17779.0,388.0,-0.011586727542165165,-0.01158958996442605
2019-5-15,7292625.666666667,17803.333333333332,3,21877877.0,53410.0,1230,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",7351155.0,18151.0,405.0,7546990.0,17270.0,437.0,6979732.0,17989.0,388.0,0.024673132444500867,0.024671936152252272
2019-4-15,7117026.333333333,17374.666666666668,3,21351079.0,52124.0,1230,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",7173765.0,17713.0,405.0,7365198.0,16854.0,437.0,6812116.0,17557.0,388.0,0.03515323954106875,0.03515112999960279
2019-3-15,6875336.0,16784.666666666668,3,20626008.0,50354.0,1230,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",6929955.0,17111.0,405.0,7114797.0,16281.0,437.0,6581256.0,16962.0,388.0,-0.003461599876894206,-0.003463357675790091
2019-2-15,6899218.333333333,16843.0,3,20697655.0,50529.0,1230,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",6953849.999999999,17170.0,405.0,7139269.0,16337.0,437.0,6604536.000000001,17022.0,388.0,0.018875352173307824,0.018873631359264342
2019-1-15,6771405.666666667,16531.0,3,20314217.0,49593.0,1230,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",6824655.0,16851.0,405.0,7006858.0,16034.0,437.0,6482704.0,16708.0,388.0,0.039840345210612194,0.03983813138196379
2018-12-15,6511966.666666667,15897.666666666666,3,19535900.0,47693.0,1230,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",6563025.0,16205.0,405.0,6738103.0,15419.0,437.0,6234772.0,16069.0,388.0,-0.032825915843443076,-0.032988645579886455
2018-11-15,6732983.0,16440.0,3,20198949.0,49320.0,1230,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",6804000.0,16800.0,405.0,6931257.0,15861.0,437.0,6463692.0,16659.0,388.0,,
2018-10-15,,,3,,,1230,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",,,405.0,,,437.0,,,388.0,,
2018-9-15,,,3,,,1230,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",,,405.0,,,437.0,,,388.0,,
2018-8-15,,,3,,,1230,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",,,405.0,,,437.0,,,388.0,,
2018-7-15,,,3,,,1230,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",,,405.0,,,437.0,,,388.0,,
2018-6-15,,,3,,,1230,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",,,405.0,,,437.0,,,388.0,,
2018-5-15,,,3,,,1230,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",,,405.0,,,437.0,,,388.0,,
