,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A1,npsf_A1,nfa_A1,lumpSum_A2,npsf_A2,nfa_A2,lumpSum_A3,npsf_A3,nfa_A3,lumpSum_A5,npsf_A5,nfa_A5,lumpSum_A6,npsf_A6,nfa_A6,lumpSum_B1,npsf_B1,nfa_B1,lumpSum_B2,npsf_B2,nfa_B2,lumpSum_B3,npsf_B3,nfa_B3,lumpSum_B5,npsf_B5,nfa_B5,lumpSum_B6,npsf_B6,nfa_B6,lumpSum_B8,npsf_B8,nfa_B8,lumpSum_B9,npsf_B9,nfa_B9,lumpSum_change,npsf_change
2019-12-15,5838364.75,13370.25,12,70060377.0,160443.0,5267,"WETLAND SEASONS PARK(Phase 2),Block 3,WETLAND PARK RD|WETLAND SEASONS PARK2期,3座,濕地公園路",8923096.0,12376.0,721.0,5565782.0,12854.0,433.0,5660858.0,13943.0,406.0,5535406.0,13534.0,409.0,5554629.0,13581.0,409.0,5695398.0,13757.0,414.0,5637737.0,12901.0,437.0,4769899.0,12997.0,367.0,5527906.0,14321.0,386.0,5904440.0,12920.0,457.0,5480532.0,13238.0,414.0,5804694.0,14021.0,414.0,-0.0003219471100955884,-0.0003053111681579068
2019-11-15,5840245.0,13374.333333333334,12,70082940.0,160492.0,5267,"WETLAND SEASONS PARK(Phase 2),Block 3,WETLAND PARK RD|WETLAND SEASONS PARK2期,3座,濕地公園路",8928143.0,12383.0,721.0,5566215.0,12855.0,433.0,5662482.0,13947.0,406.0,5536224.0,13536.0,409.0,5556674.0,13586.0,409.0,5697468.0,13762.0,414.0,5639922.0,12906.0,437.0,4771000.0,13000.0,367.0,5528678.0,14323.0,386.0,5907182.000000001,12926.0,457.0,5482602.0,13243.0,414.0,5806350.0,14025.0,414.0,0.020120642545988554,0.020143272121686095
2019-10-15,5725053.25,13110.25,12,68700639.0,157323.0,5267,"WETLAND SEASONS PARK(Phase 2),Block 3,WETLAND PARK RD|WETLAND SEASONS PARK2期,3座,濕地公園路",8755103.0,12143.0,721.0,5454501.0,12597.0,433.0,5551238.0,13673.0,406.0,5425794.0,13266.0,409.0,5447062.0,13318.0,409.0,5584860.0,13490.0,414.0,5529361.0,12653.0,437.0,4676314.0,12742.0,367.0,5418668.0,14038.0,386.0,5791104.0,12672.0,457.0,5374962.0,12983.0,414.0,5691672.0,13748.0,414.0,0.010739812436977525,0.010761461759868363
2019-9-15,5664220.583333333,12970.666666666666,12,67970647.0,155648.0,5267,"WETLAND SEASONS PARK(Phase 2),Block 3,WETLAND PARK RD|WETLAND SEASONS PARK2期,3座,濕地公園路",8664978.0,12018.0,721.0,5395180.0,12460.0,433.0,5492368.0,13528.0,406.0,5367307.0,13123.0,409.0,5388984.0,13176.0,409.0,5525658.0,13347.0,414.0,5470803.0,12519.0,437.0,4626035.0,12605.0,367.0,5359996.0,13886.0,386.0,5729866.0,12538.0,457.0,5318244.0,12846.0,414.0,5631228.0,13602.0,414.0,-0.05394499858107016,-0.05392657427668368
2019-8-15,5987200.083333333,13710.0,12,71846401.0,164520.0,5267,"WETLAND SEASONS PARK(Phase 2),Block 3,WETLAND PARK RD|WETLAND SEASONS PARK2期,3座,濕地公園路",9161747.0,12707.0,721.0,5701311.0,13167.0,433.0,5805394.0,14299.0,406.0,5672012.0,13868.0,409.0,5696143.0,13927.0,409.0,5840712.0,14108.0,414.0,5783258.0,13234.0,437.0,4889541.0,13323.0,367.0,5664550.0,14675.0,386.0,6057535.0,13255.0,457.0,5622120.0,13580.0,414.0,5952078.0,14377.0,414.0,0.04111937778603947,0.041140622330226195
2019-7-15,5750733.5,13168.25,12,69008802.0,158019.0,5267,"WETLAND SEASONS PARK(Phase 2),Block 3,WETLAND PARK RD|WETLAND SEASONS PARK2期,3座,濕地公園路",8802689.0,12209.0,721.0,5474419.0,12643.0,433.0,5576410.000000001,13735.0,406.0,5446652.999999999,13317.0,409.0,5471193.0,13377.0,409.0,5610114.0,13551.0,414.0,5555581.0,12713.0,437.0,4695765.0,12795.0,367.0,5439898.0,14093.0,386.0,5818524.0,12732.0,457.0,5400630.0,13045.0,414.0,5716926.0,13809.0,414.0,-0.04417973262136299,-0.04415705393814384
2019-6-15,6016542.75,13776.583333333334,12,72198513.0,165319.0,5267,"WETLAND SEASONS PARK(Phase 2),Block 3,WETLAND PARK RD|WETLAND SEASONS PARK2期,3座,濕地公園路",9212938.0,12778.0,721.0,5725559.0,13223.0,433.0,5834220.0,14370.0,406.0,5697370.0,13930.0,409.0,5723955.0,13995.0,409.0,5869278.0,14177.0,414.0,5812974.0,13302.0,437.0,4912295.0,13385.0,367.0,5690026.0,14741.0,386.0,6088154.0,13322.0,457.0,5650686.0,13649.0,414.0,5981058.0,14447.0,414.0,0.0024409105838725242,0.002461904155524497
2019-5-15,6001892.666666667,13742.75,12,72022712.0,164913.0,5267,"WETLAND SEASONS PARK(Phase 2),Block 3,WETLAND PARK RD|WETLAND SEASONS PARK2期,3座,濕地公園路",9193471.0,12751.0,721.0,5709971.0,13187.0,433.0,5820010.0,14335.0,406.0,5682237.0,13893.0,409.0,5710049.0,13961.0,409.0,5855202.0,14143.0,414.0,5798990.0,13270.0,437.0,4899817.0,13351.0,367.0,5674972.0,14702.0,386.0,6073987.0,13291.0,457.0,5637438.0,13617.0,414.0,5966568.0,14412.0,414.0,-0.003052976464838597,-0.0029986276442032223
2019-4-15,6020272.416666667,13784.083333333334,12,72243269.0,165409.0,5267,"WETLAND SEASONS PARK(Phase 2),Block 3,WETLAND PARK RD|WETLAND SEASONS PARK2期,3座,濕地公園路",9230242.0,12802.0,721.0,5729023.0,13231.0,433.0,5841528.0,14388.0,406.0,5701869.0,13941.0,409.0,5730908.0,14012.0,409.0,5876730.0,14195.0,414.0,5821277.0,13321.0,437.0,4917433.0,13399.0,367.0,5694658.0,14753.0,386.0,6096837.0,13341.0,457.0,5658966.0,13669.0,414.0,5943798.0,14357.0,414.0,0.060576277623521246,0.060599648623347324
2019-3-15,5676416.25,12996.5,12,68116995.0,155958.0,5267,"WETLAND SEASONS PARK(Phase 2),Block 3,WETLAND PARK RD|WETLAND SEASONS PARK2期,3座,濕地公園路",8706075.0,12075.0,721.0,5399943.0,12471.0,433.0,5508202.0,13567.0,406.0,5375078.0,13142.0,409.0,5403708.0,13212.0,409.0,5540976.0,13384.0,414.0,5489157.0,12561.0,437.0,4635944.0,12632.0,367.0,5368488.0,13908.0,386.0,5749060.0,12580.0,457.0,5336046.0,12889.0,414.0,5604318.0,13537.0,414.0,0.03852772412754679,0.03854990044549811
2019-2-15,5465830.25,12514.083333333334,12,65589963.0,150169.0,5267,"WETLAND SEASONS PARK(Phase 2),Block 3,WETLAND PARK RD|WETLAND SEASONS PARK2期,3座,濕地公園路",8385951.0,11631.0,721.0,5198164.999999999,12005.0,433.0,5303984.0,13064.0,406.0,5174259.0,12651.0,409.0,5202889.0,12721.0,409.0,5335632.0,12888.0,414.0,5285952.0,12096.0,437.0,4463821.0,12163.0,367.0,5168153.999999999,13389.0,386.0,5536098.0,12114.0,457.0,5138568.0,12412.0,414.0,5396490.0,13035.0,414.0,0.009128316191912234,0.009152795231407218
