,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_change,npsf_change
2019-12-15,14590106.0,12598.0,3,43770318.0,37794.0,3496,"WETLAND SEASONS PARK(Phase 2),Block V1,WETLAND PARK RD|WETLAND SEASONS PARK2期,V1座,濕地公園路",14655984.0,11522.0,1272.0,16234071.0,12813.0,1267.0,12880263.0,13459.0,957.0,-0.0003701595326379703,-0.0003702920016926958
2019-11-15,14595508.666666666,12602.666666666666,3,43786526.0,37808.0,3496,"WETLAND SEASONS PARK(Phase 2),Block V1,WETLAND PARK RD|WETLAND SEASONS PARK2期,V1座,濕地公園路",14661072.0,11526.0,1272.0,16240406.000000002,12818.0,1267.0,12885048.0,13464.0,957.0,0.020073037805825145,0.020073386574573693
2019-10-15,14308297.666666666,12354.666666666666,3,42924893.0,37064.0,3496,"WETLAND SEASONS PARK(Phase 2),Block V1,WETLAND PARK RD|WETLAND SEASONS PARK2期,V1座,濕地公園路",14372328.0,11299.0,1272.0,15921122.0,12566.0,1267.0,12631443.0,13199.0,957.0,0.010633396665732597,0.010634236789005769
2019-9-15,14157752.666666666,12224.666666666666,3,42473258.0,36674.0,3496,"WETLAND SEASONS PARK(Phase 2),Block V1,WETLAND PARK RD|WETLAND SEASONS PARK2期,V1座,濕地公園路",14220960.0,11180.0,1272.0,15753878.0,12434.0,1267.0,12498420.0,13060.0,957.0,-0.05401159411742362,-0.05401361947998351
2019-8-15,14966095.333333334,12922.666666666666,3,44898286.0,38768.0,3496,"WETLAND SEASONS PARK(Phase 2),Block V1,WETLAND PARK RD|WETLAND SEASONS PARK2期,V1座,濕地公園路",15032496.0,11818.0,1272.0,16653448.0,13144.0,1267.0,13212342.0,13806.0,957.0,0.04103228899974076,0.04103114930182583
2019-7-15,14376206.666666666,12413.333333333334,3,43128620.0,37240.0,3496,"WETLAND SEASONS PARK(Phase 2),Block V1,WETLAND PARK RD|WETLAND SEASONS PARK2期,V1座,濕地公園路",14439744.0,11352.0,1272.0,15997142.0,12626.0,1267.0,12691734.0,13262.0,957.0,-0.04422534966559888,-0.04422144085414359
2019-6-15,15041418.666666666,12987.666666666666,3,45124256.0,38963.0,3496,"WETLAND SEASONS PARK(Phase 2),Block V1,WETLAND PARK RD|WETLAND SEASONS PARK2期,V1座,濕地公園路",15107544.0,11877.0,1272.0,16738337.0,13211.0,1267.0,13278375.0,13875.0,957.0,0.0023438461925819887,0.002341016670096563
2019-5-15,15006246.333333334,12957.333333333334,3,45018739.0,38872.0,3496,"WETLAND SEASONS PARK(Phase 2),Block V1,WETLAND PARK RD|WETLAND SEASONS PARK2期,V1座,濕地公園路",15071928.0,11849.0,1272.0,16699060.0,13180.0,1267.0,13247751.0,13843.0,957.0,-0.0037417604181444464,-0.003741862730021972
2019-4-15,15062607.0,13006.0,3,45187821.0,39018.0,3496,"WETLAND SEASONS PARK(Phase 2),Block V1,WETLAND PARK RD|WETLAND SEASONS PARK2期,V1座,濕地公園路",15127896.0,11893.0,1272.0,16762410.0,13230.0,1267.0,13297515.0,13895.0,957.0,0.060444695306687724,0.06044463771267061
2019-3-15,14204047.666666666,12264.666666666666,3,42612143.0,36794.0,3496,"WETLAND SEASONS PARK(Phase 2),Block V1,WETLAND PARK RD|WETLAND SEASONS PARK2期,V1座,濕地公園路",14265480.0,11215.0,1272.0,15807092.0,12476.0,1267.0,12539571.0,13103.0,957.0,0.03849647602810791,0.038498447643240175
2019-2-15,13677511.666666666,11810.0,3,41032535.0,35430.0,3496,"WETLAND SEASONS PARK(Phase 2),Block V1,WETLAND PARK RD|WETLAND SEASONS PARK2期,V1座,濕地公園路",13736328.0,10799.0,1272.0,15221738.0,12014.0,1267.0,12074469.0,12617.0,957.0,0.00900342833412493,0.008999259554593575
2019-1-15,13555466.0,11704.666666666666,3,40666398.0,35114.0,3496,"WETLAND SEASONS PARK(Phase 2),Block V1,WETLAND PARK RD|WETLAND SEASONS PARK2期,V1座,濕地公園路",13612944.0,10702.0,1272.0,15086169.0,11907.0,1267.0,11967285.0,12505.0,957.0,0.07781686892254691,0.07586249157423852
2018-12-15,12576780.333333334,10879.333333333334,3,37730341.0,32638.0,3496,"WETLAND SEASONS PARK(Phase 2),Block V1,WETLAND PARK RD|WETLAND SEASONS PARK2期,V1座,濕地公園路",12153960.0,9555.0,1272.0,14247415.0,11245.0,1267.0,11328966.0,11838.0,957.0,,
2018-11-15,,,3,,,3496,"WETLAND SEASONS PARK(Phase 2),Block V1,WETLAND PARK RD|WETLAND SEASONS PARK2期,V1座,濕地公園路",,,1272.0,,,1267.0,,,957.0,,
2018-10-15,,,3,,,3496,"WETLAND SEASONS PARK(Phase 2),Block V1,WETLAND PARK RD|WETLAND SEASONS PARK2期,V1座,濕地公園路",,,1272.0,,,1267.0,,,957.0,,
2018-9-15,,,3,,,3496,"WETLAND SEASONS PARK(Phase 2),Block V1,WETLAND PARK RD|WETLAND SEASONS PARK2期,V1座,濕地公園路",,,1272.0,,,1267.0,,,957.0,,
2018-8-15,,,3,,,3496,"WETLAND SEASONS PARK(Phase 2),Block V1,WETLAND PARK RD|WETLAND SEASONS PARK2期,V1座,濕地公園路",,,1272.0,,,1267.0,,,957.0,,
2018-7-15,,,3,,,3496,"WETLAND SEASONS PARK(Phase 2),Block V1,WETLAND PARK RD|WETLAND SEASONS PARK2期,V1座,濕地公園路",,,1272.0,,,1267.0,,,957.0,,
2018-6-15,,,3,,,3496,"WETLAND SEASONS PARK(Phase 2),Block V1,WETLAND PARK RD|WETLAND SEASONS PARK2期,V1座,濕地公園路",,,1272.0,,,1267.0,,,957.0,,
2018-5-15,,,3,,,3496,"WETLAND SEASONS PARK(Phase 2),Block V1,WETLAND PARK RD|WETLAND SEASONS PARK2期,V1座,濕地公園路",,,1272.0,,,1267.0,,,957.0,,
2018-4-15,,,3,,,3496,"WETLAND SEASONS PARK(Phase 2),Block V1,WETLAND PARK RD|WETLAND SEASONS PARK2期,V1座,濕地公園路",,,1272.0,,,1267.0,,,957.0,,
2018-3-15,,,3,,,3496,"WETLAND SEASONS PARK(Phase 2),Block V1,WETLAND PARK RD|WETLAND SEASONS PARK2期,V1座,濕地公園路",,,1272.0,,,1267.0,,,957.0,,
