,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_H,npsf_H,nfa_H,lumpSum_J,npsf_J,nfa_J,lumpSum_K,npsf_K,nfa_K,lumpSum_change,npsf_change
2019-12-15,7549237.3,22569.3,10,75492373,225693,3353,"WEST WING,THE VERTEX,TONKIN ST|西翼(恆大•睿峰),東京街",9958288.0,22328.0,446.0,7014268.0,21716.0,323.0,6958666.0,21814.0,319.0,5914804.0,24241.0,244.0,9354176.0,22486.0,416.0,7431648.0,22118.0,336.0,7389850.0,22738.0,325.0,7013625.0,22125.0,317.0,6960900.0,23203.0,300.0,7496148.0,22924.0,327.0,-0.014542449955041614,-0.014527115535761137
2019-11-15,7660641.8,22902.0,10,76606418,229020,3353,"WEST WING,THE VERTEX,TONKIN ST|西翼(恆大•睿峰),東京街",10107252.0,22662.0,446.0,7119889.0,22043.0,323.0,7062660.0,22140.0,319.0,6001424.0,24596.0,244.0,9493120.0,22820.0,416.0,7543536.0,22451.0,336.0,7500675.0,23079.0,325.0,7103653.0,22409.0,317.0,7065900.0,23553.0,300.0,7608309.0,23267.0,327.0,0.08302456406364378,0.08301610195540632
2019-10-15,7073377.7,21146.5,10,70733777,211465,3353,"WEST WING,THE VERTEX,TONKIN ST|西翼(恆大•睿峰),東京街",9330320.0,20920.0,446.0,6573050.0,20350.0,323.0,6519722.0,20438.0,319.0,5538556.0,22699.0,244.0,8762624.0,21064.0,416.0,6964944.0,20729.0,336.0,6924450.0,21306.0,325.0,6572678.0,20734.0,317.0,6523800.0,21746.0,300.0,7023633.0,21479.0,327.0,-0.08891594760066468,-0.08891349492895373
2019-9-15,7763693.9,23210.2,10,77636939,232102,3353,"WEST WING,THE VERTEX,TONKIN ST|西翼(恆大•睿峰),東京街",10240606.0,22961.0,446.0,7214851.0,22337.0,323.0,7156127.0,22433.0,319.0,6077308.0,24907.0,244.0,9616672.0,23117.0,416.0,7645680.0,22755.0,336.0,7600450.0,23386.0,325.0,7214920.0,22760.0,317.0,7161300.0,23871.0,300.0,7709025.0,23575.0,327.0,-0.003576894419200949,-0.003571827212858647
2019-8-15,7791563.5,23293.4,10,77915635,232934,3353,"WEST WING,THE VERTEX,TONKIN ST|西翼(恆大•睿峰),東京街",10277178.0,23043.0,446.0,7241014.0,22418.0,323.0,7181647.0,22513.0,319.0,6097072.0,24988.0,244.0,9650368.0,23198.0,416.0,7674240.0,22840.0,336.0,7628075.0,23471.0,325.0,7241548.0,22844.0,317.0,7188000.0,23960.0,300.0,7736493.0,23659.0,327.0,0.010172168677346383,0.010187132727627723
2019-7-15,7713104.5,23058.5,10,77131045,230585,3353,"WEST WING,THE VERTEX,TONKIN ST|西翼(恆大•睿峰),東京街",10175490.0,22815.0,446.0,7169954.0,22198.0,323.0,7110829.0,22291.0,319.0,6034852.0,24733.0,244.0,9553856.0,22966.0,416.0,7599648.0,22618.0,336.0,7553000.0,23240.0,325.0,7155641.0,22573.0,317.0,7117800.0,23726.0,300.0,7659975.0,23425.0,327.0,-0.036418791080634505,-0.036414694587106555
2019-6-15,8004623.2,23929.9,10,80046232,239299,3353,"WEST WING,THE VERTEX,TONKIN ST|西翼(恆大•睿峰),東京街",10559942.0,23677.0,446.0,7441597.0,23039.0,323.0,7379427.0,23133.0,319.0,6260796.0,25659.0,244.0,9913696.0,23831.0,416.0,7887936.0,23476.0,336.0,7838675.0,24119.0,325.0,7426993.0,23429.0,317.0,7387800.0,24626.0,300.0,7949370.0,24310.0,327.0,0.011249744964832109,0.011253570885241482
2019-5-15,7915575.0,23663.6,10,79155750,236636,3353,"WEST WING,THE VERTEX,TONKIN ST|西翼(恆大•睿峰),東京街",10442198.0,23413.0,446.0,7359232.0,22784.0,323.0,7297444.0,22876.0,319.0,6189060.0,25365.0,244.0,9802208.0,23563.0,416.0,7801248.0,23218.0,336.0,7751900.0,23852.0,325.0,7345207.0,23171.0,317.0,7306500.0,24355.0,300.0,7860753.0,24039.0,327.0,0.02139568517155399,0.02140039192327281
2019-4-15,7749763.5,23167.8,10,77497635,231678,3353,"WEST WING,THE VERTEX,TONKIN ST|西翼(恆大•睿峰),東京街",10223212.0,22922.0,446.0,7205484.0,22308.0,323.0,7144324.0,22396.0,319.0,6057300.0,24825.0,244.0,9595872.0,23067.0,416.0,7638960.0,22735.0,336.0,7589725.0,23353.0,325.0,7192413.0,22689.0,317.0,7154400.0,23848.0,300.0,7695945.0,23535.0,327.0,-0.012704775259588574,-0.012711954692087746
2019-3-15,7849489.5,23466.1,10,78494895,234661,3353,"WEST WING,THE VERTEX,TONKIN ST|西翼(恆大•睿峰),東京街",10352552.0,23212.0,446.0,7297216.0,22592.0,323.0,7234920.0,22680.0,319.0,6131964.0,25131.0,244.0,9716096.0,23356.0,416.0,7737072.0,23027.0,336.0,7685925.0,23649.0,325.0,7299559.0,23027.0,317.0,7246200.0,24154.0,300.0,7793391.0,23833.0,327.0,0.020529434139041625,0.020544757911949763
2019-2-15,7691585.6,22993.7,10,76915856,229937,3353,"WEST WING,THE VERTEX,TONKIN ST|西翼(恆大•睿峰),東京街",10146054.0,22749.0,446.0,7152189.0,22143.0,323.0,7090732.0,22228.0,319.0,6007768.0,24622.0,244.0,9521408.0,22888.0,416.0,7583856.0,22571.0,336.0,7533175.0,23179.0,325.0,7140108.0,22524.0,317.0,7102500.0,23675.0,300.0,7638066.0,23358.0,327.0,0.037154697840480866,0.03714913329213676
