,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_change,npsf_change
2019-12-15,9463134.666666666,23521.0,6,56778808.0,141126.0,2434,"K.SUMMIT(Block 1A),MUK TAI ST|嘉峯匯1A座,沐泰街",7384479.0,25203.0,293.0,9925858.000000002,22406.0,443.0,12006966.0,23966.0,501.0,10367588.0,22988.0,451.0,7139125.0,24875.0,287.0,9954792.0,21688.0,459.0,-0.01700078982649611,-0.01700251450542245
2019-11-15,9626797.833333334,23927.833333333332,6,57760787.0,143567.0,2434,"K.SUMMIT(Block 1A),MUK TAI ST|嘉峯匯1A座,沐泰街",7512520.0,25640.0,293.0,10097299.0,22793.0,443.0,12214881.0,24381.0,501.0,10546635.0,23385.0,451.0,7262535.0,25305.0,287.0,10126917.0,22063.0,459.0,0.02675043053693371,0.026747337781687364
2019-10-15,9375986.166666666,23304.5,6,56255917.0,139827.0,2434,"K.SUMMIT(Block 1A),MUK TAI ST|嘉峯匯1A座,沐泰街",7317382.0,24974.0,293.0,9834157.0,22199.0,443.0,11896746.0,23746.0,501.0,10271525.0,22775.0,451.0,7073115.0,24645.0,287.0,9862991.999999998,21488.0,459.0,-0.028657377740208267,-0.028662132779448846
2019-9-15,9652604.5,23992.166666666668,6,57915627.0,143953.0,2434,"K.SUMMIT(Block 1A),MUK TAI ST|嘉峯匯1A座,沐泰街",7533909.0,25713.0,293.0,10124322.0,22854.0,443.0,12247947.0,24447.0,501.0,10574146.0,23446.0,451.0,7281764.0,25372.0,287.0,10153538.999999998,22121.0,459.0,-0.030826284985093766,-0.030828373683785215
2019-8-15,9959622.666666666,24755.333333333332,6,59757736.0,148532.0,2434,"K.SUMMIT(Block 1A),MUK TAI ST|嘉峯匯1A座,沐泰街",7774169.0,26533.0,293.0,10445940.0,23580.0,443.0,12637725.0,25225.0,501.0,10910141.0,24191.0,451.0,7513086.0,26178.0,287.0,10476675.0,22825.0,459.0,0.0022163640359478265,0.002213165636554937
2019-7-15,9937597.333333334,24700.666666666668,6,59625584.0,148204.0,2434,"K.SUMMIT(Block 1A),MUK TAI ST|嘉峯匯1A座,沐泰街",7757468.0,26476.0,293.0,10422904.0,23528.0,443.0,12610170.0,25170.0,501.0,10885336.0,24136.0,451.0,7496440.0,26120.0,287.0,10453266.0,22774.0,459.0,0.0028108533933484114,0.002808057433232536
2019-6-15,9909742.5,24631.5,6,59458455.0,147789.0,2434,"K.SUMMIT(Block 1A),MUK TAI ST|嘉峯匯1A座,沐泰街",7736372.0,26404.0,293.0,10393223.000000002,23461.0,443.0,12575100.0,25100.0,501.0,10854668.0,24068.0,451.0,7475202.0,26046.0,287.0,10423890.0,22710.0,459.0,-0.009203498892298767,-0.009204757243801986
2019-5-15,10001794.0,24860.333333333332,6,60010764.0,149162.0,2434,"K.SUMMIT(Block 1A),MUK TAI ST|嘉峯匯1A座,沐泰街",7808743.0,26651.0,293.0,10489797.0,23679.0,443.0,12692334.0,25334.0,501.0,10955241.0,24291.0,451.0,7544369.0,26287.0,287.0,10520280.0,22920.0,459.0,0.018390513764769967,0.018386143142917533
2019-4-15,9821177.5,24411.5,6,58927065.0,146469.0,2434,"K.SUMMIT(Block 1A),MUK TAI ST|嘉峯匯1A座,沐泰街",7668396.0,26172.0,293.0,10300193.0,23251.0,443.0,12463377.0,24877.0,501.0,10756801.0,23851.0,451.0,7408044.0,25812.0,287.0,10330254.0,22506.0,459.0,0.02572053145518316,0.025643000693243323
2019-3-15,9574905.833333334,23801.166666666668,6,57449435.0,142807.0,2434,"K.SUMMIT(Block 1A),MUK TAI ST|嘉峯匯1A座,沐泰街",7482634.0,25538.0,293.0,10004269.0,22583.0,443.0,12160773.0,24273.0,501.0,10494770.0,23270.0,451.0,7227808.0,25184.0,287.0,10079181.0,21959.0,459.0,0.023510362222365355,0.023507994868376736
2019-2-15,9354967.166666666,23254.5,6,56129803.0,139527.0,2434,"K.SUMMIT(Block 1A),MUK TAI ST|嘉峯匯1A座,沐泰街",7311229.0,24953.0,293.0,9774352.0,22064.0,443.0,11881716.0,23716.0,501.0,10253485.0,22735.0,451.0,7061635.0,24605.0,287.0,9847386.0,21454.0,459.0,0.015720561173374392,0.015790853099200586
2019-1-15,9210178.0,22893.0,6,55261068.0,137358.0,2434,"K.SUMMIT(Block 1A),MUK TAI ST|嘉峯匯1A座,沐泰街",7193150.0,24550.0,293.0,9658729.0,21803.0,443.0,11688831.0,23331.0,501.0,10086615.0,22365.0,451.0,6946548.0,24204.0,287.0,9687195.0,21105.0,459.0,0.042465106531894836,0.042462603310489344
2018-12-15,8834998.833333334,21960.5,6,53009993.0,131763.0,2434,"K.SUMMIT(Block 1A),MUK TAI ST|嘉峯匯1A座,沐泰街",6900443.0,23551.0,293.0,9265345.0,20915.0,443.0,11212881.0,22381.0,501.0,9675303.000000002,21453.0,451.0,6663566.0,23218.0,287.0,9292455.0,20245.0,459.0,-0.07097462153295686,-0.0710448392554992
2018-11-15,9509965.0,23640.0,6,57059790.0,141840.0,2434,"K.SUMMIT(Block 1A),MUK TAI ST|嘉峯匯1A座,沐泰街",7434289.0,25373.0,293.0,9936490.0,22430.0,443.0,12079110.0,24110.0,501.0,10422159.0,23109.0,451.0,7177870.0,25010.0,287.0,10009872.0,21808.0,459.0,0.02703311952810572,0.02710413694721825
2018-10-15,9259647.833333334,23016.166666666668,6,55557887.0,138097.0,2434,"K.SUMMIT(Block 1A),MUK TAI ST|嘉峯匯1A座,沐泰街",7233584.0,24688.0,293.0,9710117.0,21919.0,443.0,11752458.0,23458.0,501.0,10139382.0,22482.0,451.0,6983284.0,24332.0,287.0,9739062.0,21218.0,459.0,-0.042844073386743675,-0.04284753844980904
2018-9-15,9674126.833333334,24046.5,6,58044761.0,144279.0,2434,"K.SUMMIT(Block 1A),MUK TAI ST|嘉峯匯1A座,沐泰街",7557935.0,25795.0,293.0,10144700.0,22900.0,443.0,12279009.0,24509.0,501.0,10592637.0,23487.0,451.0,7295827.0,25421.0,287.0,10174653.0,22167.0,459.0,-0.048490949938779004,-0.04856142387053797
2018-8-15,10167141.166666666,25273.833333333332,6,61002847.0,151643.0,2434,"K.SUMMIT(Block 1A),MUK TAI ST|嘉峯匯1A座,沐泰街",7949969.0,27133.0,293.0,10623140.0,23980.0,443.0,12914778.0,25778.0,501.0,11140602.0,24702.0,451.0,7673232.0,26736.0,287.0,10701126.0,23314.0,459.0,-0.0006927497057260812,-0.0006260791627674678
2018-7-15,10174189.333333334,25289.666666666668,6,61045136.0,151738.0,2434,"K.SUMMIT(Block 1A),MUK TAI ST|嘉峯匯1A座,沐泰街",7950262.0,27134.0,293.0,10668769.0,24083.0,443.0,12914277.0,25777.0,501.0,11139249.0,24699.0,451.0,7672371.0,26733.0,287.0,10700208.0,23312.0,459.0,0.03916938947619353,0.03909497428592945
2018-6-15,9790693.833333334,24338.166666666668,6,58744163.0,146029.0,2434,"K.SUMMIT(Block 1A),MUK TAI ST|嘉峯匯1A座,沐泰街",7656969.0,26133.0,293.0,10229756.0,23092.0,443.0,12437325.0,24825.0,501.0,10727035.0,23785.0,451.0,7388528.0,25744.0,287.0,10304550.0,22450.0,459.0,,
2018-5-15,,,6,,,2434,"K.SUMMIT(Block 1A),MUK TAI ST|嘉峯匯1A座,沐泰街",,,293.0,,,443.0,,,501.0,,,451.0,,,287.0,,,459.0,,
2018-4-15,,,6,,,2434,"K.SUMMIT(Block 1A),MUK TAI ST|嘉峯匯1A座,沐泰街",,,293.0,,,443.0,,,501.0,,,451.0,,,287.0,,,459.0,,
2018-3-15,,,6,,,2434,"K.SUMMIT(Block 1A),MUK TAI ST|嘉峯匯1A座,沐泰街",,,293.0,,,443.0,,,501.0,,,451.0,,,287.0,,,459.0,,
2018-2-15,,,6,,,2434,"K.SUMMIT(Block 1A),MUK TAI ST|嘉峯匯1A座,沐泰街",,,293.0,,,443.0,,,501.0,,,451.0,,,287.0,,,459.0,,
2018-1-15,,,6,,,2434,"K.SUMMIT(Block 1A),MUK TAI ST|嘉峯匯1A座,沐泰街",,,293.0,,,443.0,,,501.0,,,451.0,,,287.0,,,459.0,,
2017-12-15,,,6,,,2434,"K.SUMMIT(Block 1A),MUK TAI ST|嘉峯匯1A座,沐泰街",,,293.0,,,443.0,,,501.0,,,451.0,,,287.0,,,459.0,,
2017-11-15,,,6,,,2434,"K.SUMMIT(Block 1A),MUK TAI ST|嘉峯匯1A座,沐泰街",,,293.0,,,443.0,,,501.0,,,451.0,,,287.0,,,459.0,,
2017-10-15,,,6,,,2434,"K.SUMMIT(Block 1A),MUK TAI ST|嘉峯匯1A座,沐泰街",,,293.0,,,443.0,,,501.0,,,451.0,,,287.0,,,459.0,,
2017-9-15,,,6,,,2434,"K.SUMMIT(Block 1A),MUK TAI ST|嘉峯匯1A座,沐泰街",,,293.0,,,443.0,,,501.0,,,451.0,,,287.0,,,459.0,,
2017-8-15,,,6,,,2434,"K.SUMMIT(Block 1A),MUK TAI ST|嘉峯匯1A座,沐泰街",,,293.0,,,443.0,,,501.0,,,451.0,,,287.0,,,459.0,,
2017-7-15,,,6,,,2434,"K.SUMMIT(Block 1A),MUK TAI ST|嘉峯匯1A座,沐泰街",,,293.0,,,443.0,,,501.0,,,451.0,,,287.0,,,459.0,,
2017-6-15,,,6,,,2434,"K.SUMMIT(Block 1A),MUK TAI ST|嘉峯匯1A座,沐泰街",,,293.0,,,443.0,,,501.0,,,451.0,,,287.0,,,459.0,,
2017-5-15,,,6,,,2434,"K.SUMMIT(Block 1A),MUK TAI ST|嘉峯匯1A座,沐泰街",,,293.0,,,443.0,,,501.0,,,451.0,,,287.0,,,459.0,,
