,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A1,npsf_A1,nfa_A1,lumpSum_A2,npsf_A2,nfa_A2,lumpSum_A3,npsf_A3,nfa_A3,lumpSum_B1,npsf_B1,nfa_B1,lumpSum_B2,npsf_B2,nfa_B2,lumpSum_B3,npsf_B3,nfa_B3,lumpSum_B5,npsf_B5,nfa_B5,lumpSum_change,npsf_change
2019-12-15,6978886.428571428,13550.142857142857,7,48852205.0,94851.0,3592,"WETLAND SEASONS PARK(Block 22),WETLAND PARK RD|WETLAND SEASONS PARK22座,濕地公園路",9726500.0,13895.0,700.0,7735364.0,14378.0,538.0,8994258.0,13566.0,663.0,5655240.0,13660.0,414.0,5545652.0,12778.0,434.0,5666738.0,13057.0,434.0,5528452.999999999,13517.0,409.0,-0.00035803369539688656,-0.0003583285029246097
2019-11-15,6981386.0,13555.0,7,48869702.0,94885.0,3592,"WETLAND SEASONS PARK(Block 22),WETLAND PARK RD|WETLAND SEASONS PARK22座,濕地公園路",9730000.0,13900.0,700.0,7737516.0,14382.0,538.0,8997573.0,13571.0,663.0,5657310.0,13665.0,414.0,5548690.0,12785.0,434.0,5669342.0,13063.0,434.0,5529271.0,13519.0,409.0,0.020120054688954836,0.02011525146752091
2019-10-15,6843690.571428572,13287.714285714286,7,47905834.0,93014.0,3592,"WETLAND SEASONS PARK(Block 22),WETLAND PARK RD|WETLAND SEASONS PARK22座,濕地公園路",9537500.0,13625.0,700.0,7585262.0,14099.0,538.0,8819889.0,13303.0,663.0,5545530.0,13395.0,414.0,5440190.0,12535.0,434.0,5557804.0,12806.0,434.0,5419659.0,13251.0,409.0,0.010758477426941804,0.010758063113970318
2019-9-15,6770846.571428572,13146.285714285714,7,47395926.0,92024.0,3592,"WETLAND SEASONS PARK(Block 22),WETLAND PARK RD|WETLAND SEASONS PARK22座,濕地公園路",9436000.0,13480.0,700.0,7504562.0,13949.0,538.0,8725743.0,13161.0,663.0,5486742.0,13253.0,414.0,5382902.0,12403.0,434.0,5499214.0,12671.0,434.0,5360763.0,13107.0,409.0,-0.05397925437696449,-0.05398098175276278
2019-8-15,7157186.142857143,13896.42857142857,7,50100303.0,97275.0,3592,"WETLAND SEASONS PARK(Block 22),WETLAND PARK RD|WETLAND SEASONS PARK22座,濕地公園路",9974299.999999998,14249.0,700.0,7932272.0,14744.0,538.0,9223656.0,13912.0,663.0,5799726.0,14009.0,414.0,5691042.0,13113.0,434.0,5813430.0,13395.0,434.0,5665877.0,13853.0,409.0,0.04110730172969057,0.04110923218528573
2019-7-15,6874590.285714285,13347.714285714286,7,48122132.0,93434.0,3592,"WETLAND SEASONS PARK(Block 22),WETLAND PARK RD|WETLAND SEASONS PARK22座,濕地公園路",9580200.0,13686.0,700.0,7619155.999999999,14162.0,538.0,8859669.0,13363.0,663.0,5570370.0,13455.0,414.0,5467531.999999999,12598.0,434.0,5584278.0,12867.0,434.0,5440927.0,13303.0,409.0,-0.044173419541151726,-0.04417300924789269
2019-6-15,7192298.714285715,13964.57142857143,7,50346091.0,97752.0,3592,"WETLAND SEASONS PARK(Block 22),WETLAND PARK RD|WETLAND SEASONS PARK22座,濕地公園路",10023300.0,14319.0,700.0,7971008.0,14816.0,538.0,9268740.0,13980.0,663.0,5827878.0,14077.0,414.0,5720988.0,13182.0,434.0,5842942.0,13463.0,434.0,5691235.0,13915.0,409.0,0.002431468334852749,0.002430395323796297
2019-5-15,7174853.285714285,13930.714285714286,7,50223973.0,97515.0,3592,"WETLAND SEASONS PARK(Block 22),WETLAND PARK RD|WETLAND SEASONS PARK22座,濕地公園路",9998800.0,14284.0,700.0,7951640.0,14780.0,538.0,9246198.0,13946.0,663.0,5813802.0,14043.0,414.0,5707968.0,13152.0,434.0,5829054.0,13431.0,434.0,5676511.0,13879.0,409.0,-0.0036719975520280723,-0.0036781609195402076
2019-4-15,7201296.428571428,13982.142857142857,7,50409075.0,97875.0,3592,"WETLAND SEASONS PARK(Block 22),WETLAND PARK RD|WETLAND SEASONS PARK22座,濕地公園路",10035200.0,14336.0,700.0,7980692.0,14834.0,538.0,9280011.0,13997.0,663.0,5835330.0,14095.0,414.0,5730102.0,13203.0,434.0,5851188.0,13482.0,434.0,5696552.0,13928.0,409.0,0.06055108853123703,0.06055024001213605
2019-3-15,6790145.714285715,13183.857142857143,7,47531020.0,92287.0,3592,"WETLAND SEASONS PARK(Block 22),WETLAND PARK RD|WETLAND SEASONS PARK22座,濕地公園路",9461900.0,13517.0,700.0,7525006.0,13987.0,538.0,8750274.0,13198.0,663.0,5502060.0,13290.0,414.0,5404168.0,12452.0,434.0,5517442.0,12713.0,434.0,5370170.0,13130.0,409.0,0.03853786445713325,0.038542909230042
2019-2-15,6538178.285714285,12694.57142857143,7,45767248.0,88862.0,3592,"WETLAND SEASONS PARK(Block 22),WETLAND PARK RD|WETLAND SEASONS PARK22座,濕地公園路",9111200.0,13016.0,700.0,7245784.0,13468.0,538.0,8425404.0,12708.0,663.0,5297543.999999999,12796.0,414.0,5204528.0,11992.0,434.0,5313028.0,12242.0,434.0,5169760.0,12640.0,409.0,0.009111744381321785,0.009107426754485726
2019-1-15,6479142.0,12580.0,7,45353994.0,88060.0,3592,"WETLAND SEASONS PARK(Block 22),WETLAND PARK RD|WETLAND SEASONS PARK22座,濕地公園路",9028600.0,12898.0,700.0,7180147.999999999,13346.0,538.0,8349159.0,12593.0,663.0,5249934.0,12681.0,414.0,5158524.0,11886.0,434.0,5265722.0,12133.0,434.0,5121907.0,12523.0,409.0,0.056355406134865005,0.05635661332501618
2018-12-15,6133486.857142857,11908.857142857143,7,42934408.0,83362.0,3592,"WETLAND SEASONS PARK(Block 22),WETLAND PARK RD|WETLAND SEASONS PARK22座,濕地公園路",8547000.0,12210.0,700.0,6797092.0,12634.0,538.0,7903623.0,11921.0,663.0,4969656.0,12004.0,414.0,4884236.0,11254.0,434.0,4984924.0,11486.0,434.0,4847877.0,11853.0,409.0,-0.02764526316073168,-0.027644286847384736
2018-11-15,6307869.571428572,12247.42857142857,7,44155087.0,85732.0,3592,"WETLAND SEASONS PARK(Block 22),WETLAND PARK RD|WETLAND SEASONS PARK22座,濕地公園路",8789900.0,12557.0,700.0,6990234.0,12993.0,538.0,8128380.0,12260.0,663.0,5110830.0,12345.0,414.0,5023984.000000001,11576.0,434.0,5127276.0,11814.0,434.0,4984483.0,12187.0,409.0,-0.05118102749145714,-0.05118585167723588
2018-10-15,6648127.571428572,12908.142857142857,7,46536893.0,90357.0,3592,"WETLAND SEASONS PARK(Block 22),WETLAND PARK RD|WETLAND SEASONS PARK22座,濕地公園路",9263800.0,13234.0,700.0,7366834.0,13693.0,538.0,8566623.0,12921.0,663.0,5386554.0,13011.0,414.0,5296102.0,12203.0,434.0,5404602.0,12453.0,434.0,5252378.0,12842.0,409.0,-0.02182419350861975,-0.021824559124419496
