,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_change,npsf_change
2016-1-15,16422450.0,14929.5,2,32844900.0,29859,2200.0,"HOC TAM GARDEN,YUK SAU ST|學談花園,毓秀街",17304100.0,15731.0,1100.0,15540800.0,14128.0,1100.0,-0.0340956878982952,-0.0340956878982952
2016-2-15,17002150.0,15456.5,2,34004300.0,30913,2200.0,"HOC TAM GARDEN,YUK SAU ST|學談花園,毓秀街",17917900.0,16289.0,1100.0,16086400.0,14624.0,1100.0,-0.005437230551444516,-0.005437230551444516
2016-3-15,17095100.0,15541.0,2,34190200.0,31082,2200.0,"HOC TAM GARDEN,YUK SAU ST|學談花園,毓秀街",18018000.0,16380.0,1100.0,16172200.0,14702.0,1100.0,-0.03543942403177758,-0.03543942403177758
2016-4-15,17723200.0,16112.0,2,35446400.0,32224,2200.0,"HOC TAM GARDEN,YUK SAU ST|學談花園,毓秀街",18878200.0,17162.0,1100.0,16568200.0,15062.0,1100.0,0.09159891598915992,0.09159891598915992
2016-5-15,16236000.0,14760.0,2,32472000.0,29520,2200.0,"HOC TAM GARDEN,YUK SAU ST|學談花園,毓秀街",17294200.0,15722.0,1100.0,15177800.0,13798.0,1100.0,-0.06360031720856463,-0.06360031720856463
2016-6-15,17338750.0,15762.5,2,34677500.0,31525,2200.0,"HOC TAM GARDEN,YUK SAU ST|學談花園,毓秀街",18469000.0,16790.0,1100.0,16208500.0,14735.0,1100.0,-0.00727421589620858,-0.00727421589620858
2016-7-15,17465800.0,15878.0,2,34931600.0,31756,2200.0,"HOC TAM GARDEN,YUK SAU ST|學談花園,毓秀街",18604300.0,16913.0,1100.0,16327300.0,14843.0,1100.0,-0.00771802643502173,-0.00771802643502173
2016-8-15,17601650.0,16001.5,2,35203300.0,32003,2200.0,"HOC TAM GARDEN,YUK SAU ST|學談花園,毓秀街",18749500.0,17045.0,1100.0,16453800.0,14958.0,1100.0,-0.07647245548725945,-0.07647245548725945
2016-9-15,19059150.0,17326.5,2,38118300.0,34653,2200.0,"HOC TAM GARDEN,YUK SAU ST|學談花園,毓秀街",20301600.0,18456.0,1100.0,17816700.0,16197.0,1100.0,-0.01768857896079601,-0.01768857896079601
2016-10-15,19402350.0,17638.5,2,38804700.0,35277,2200.0,"HOC TAM GARDEN,YUK SAU ST|學談花園,毓秀街",20667900.0,18789.0,1100.0,18136800.0,16488.0,1100.0,0.03004555010511556,0.03004555010511556
2016-11-15,18836400.0,17124.0,2,37672800.0,34248,2200.0,"HOC TAM GARDEN,YUK SAU ST|學談花園,毓秀街",20065100.0,18241.0,1100.0,17607700.0,16007.0,1100.0,-0.0339886610441994,-0.0339886610441994
2016-12-15,19499150.0,17726.5,2,38998300.0,35453,2200.0,"HOC TAM GARDEN,YUK SAU ST|學談花園,毓秀街",19889100.0,18081.0,1100.0,19109200.0,17372.0,1100.0,0.03736540262172294,0.03736540262172294
2017-1-15,18796800.0,17088.0,2,37593600.0,34176,2200.0,"HOC TAM GARDEN,YUK SAU ST|學談花園,毓秀街",19176300.0,17433.0,1100.0,18417300.0,16743.0,1100.0,0.009421980683462783,0.009421980683462783
2017-2-15,18621350.0,16928.5,2,37242700.0,33857,2200.0,"HOC TAM GARDEN,YUK SAU ST|學談花園,毓秀街",19256600.0,17506.0,1100.0,17986100.0,16351.0,1100.0,-0.0023573091316262396,-0.0023573091316262396
2017-3-15,18665350.0,16968.5,2,37330700.0,33937,2200.0,"HOC TAM GARDEN,YUK SAU ST|學談花園,毓秀街",19305000.0,17550.0,1100.0,18025700.0,16387.0,1100.0,-0.01686027984588201,-0.01686027984588201
2017-4-15,18985450.0,17259.5,2,37970900.0,34519,2200.0,"HOC TAM GARDEN,YUK SAU ST|學談花園,毓秀街",19639400.0,17854.0,1100.0,18331500.0,16665.0,1100.0,0.00847234800899832,0.00847234800899832
2017-5-15,18825950.0,17114.5,2,37651900.0,34229,2200.0,"HOC TAM GARDEN,YUK SAU ST|學談花園,毓秀街",19477700.0,17707.0,1100.0,18174200.0,16522.0,1100.0,-0.008889274959462568,-0.008889274959462568
2017-6-15,18994800.0,17268.0,2,37989600.0,34536,2200.0,"HOC TAM GARDEN,YUK SAU ST|學談花園,毓秀街",19655900.0,17869.0,1100.0,18333700.0,16667.0,1100.0,0.06072053810006439,0.06072053810006439
2017-7-15,17907450.0,16279.5,2,35814900.0,32559,2200.0,"HOC TAM GARDEN,YUK SAU ST|學談花園,毓秀街",18533900.0,16849.0,1100.0,17281000.0,15710.0,1100.0,-0.09042909822326517,-0.09042909822326517
2017-8-15,19687800.0,17898.0,2,39375600.0,35796,2200.0,"HOC TAM GARDEN,YUK SAU ST|學談花園,毓秀街",20433600.0,18576.0,1100.0,18942000.0,17220.0,1100.0,0.04593267882187946,0.04593267882187946
2017-9-15,18823200.0,17112.0,2,37646400.0,34224,2200.0,"HOC TAM GARDEN,YUK SAU ST|學談花園,毓秀街",19539300.0,17763.0,1100.0,18107100.0,16461.0,1100.0,-0.003552087579339669,-0.003552087579339669
2017-10-15,18890300.0,17173.0,2,37780600.0,34346,2200.0,"HOC TAM GARDEN,YUK SAU ST|學談花園,毓秀街",19611900.0,17829.0,1100.0,18168700.0,16517.0,1100.0,-0.037549739393599735,-0.037549739393599735
2017-11-15,19627300.0,17843.0,2,39254600.0,35686,2200.0,"HOC TAM GARDEN,YUK SAU ST|學談花園,毓秀街",20380800.0,18528.0,1100.0,18873800.0,17158.0,1100.0,-0.25261791069783024,-0.25261791069783024
2017-12-15,26261400.0,23874.0,2,52522800.0,47748,2200.0,"HOC TAM GARDEN,YUK SAU ST|學談花園,毓秀街",27104000.0,24640.0,1100.0,25418800.0,23108.0,1100.0,0.43495116453794136,0.43495116453794136
2018-1-15,18301250.0,16637.5,2,36602500.0,33275,2200.0,"HOC TAM GARDEN,YUK SAU ST|學談花園,毓秀街",18889200.0,17172.0,1100.0,17713300.0,16103.0,1100.0,-0.13495034575989184,-0.13495034575989184
2018-2-15,21156300.0,19233.0,2,42312600.0,38466,2200.0,"HOC TAM GARDEN,YUK SAU ST|學談花園,毓秀街",21836100.0,19851.0,1100.0,20476500.0,18615.0,1100.0,0.04043709934813777,0.04043709934813777
2018-3-15,20334050.0,18485.5,2,40668100.0,36971,2200.0,"HOC TAM GARDEN,YUK SAU ST|學談花園,毓秀街",20988000.0,19080.0,1100.0,19680100.0,17891.0,1100.0,0.00964006772625492,0.00964006772625492
2018-4-15,20139900.0,18309.0,2,40279800.0,36618,2200.0,"HOC TAM GARDEN,YUK SAU ST|學談花園,毓秀街",20787800.0,18898.0,1100.0,19492000.0,17720.0,1100.0,0.01668656467779095,0.01668656467779095
2018-5-15,19809350.0,18008.5,2,39618700.0,36017,2200.0,"HOC TAM GARDEN,YUK SAU ST|學談花園,毓秀街",20446800.0,18588.0,1100.0,19171900.0,17429.0,1100.0,,
2018-6-15,,,2,,,,"HOC TAM GARDEN,YUK SAU ST|學談花園,毓秀街",,,,,,,,
2018-7-15,,,2,,,,"HOC TAM GARDEN,YUK SAU ST|學談花園,毓秀街",,,,,,,,
2018-8-15,,,2,,,,"HOC TAM GARDEN,YUK SAU ST|學談花園,毓秀街",,,,,,,,
2018-9-15,,,2,,,,"HOC TAM GARDEN,YUK SAU ST|學談花園,毓秀街",,,,,,,,
2018-10-15,,,2,,,,"HOC TAM GARDEN,YUK SAU ST|學談花園,毓秀街",,,,,,,,
2018-11-15,,,2,,,,"HOC TAM GARDEN,YUK SAU ST|學談花園,毓秀街",,,,,,,,
2018-12-15,,,2,,,,"HOC TAM GARDEN,YUK SAU ST|學談花園,毓秀街",,,,,,,,
2019-1-15,,,2,,,,"HOC TAM GARDEN,YUK SAU ST|學談花園,毓秀街",,,,,,,,
2019-2-15,,,2,,,,"HOC TAM GARDEN,YUK SAU ST|學談花園,毓秀街",,,,,,,,
2019-3-15,,,2,,,,"HOC TAM GARDEN,YUK SAU ST|學談花園,毓秀街",,,,,,,,
2019-4-15,,,2,,,,"HOC TAM GARDEN,YUK SAU ST|學談花園,毓秀街",,,,,,,,
2019-5-15,,,2,,,,"HOC TAM GARDEN,YUK SAU ST|學談花園,毓秀街",,,,,,,,
2019-6-15,,,2,,,,"HOC TAM GARDEN,YUK SAU ST|學談花園,毓秀街",,,,,,,,
2019-7-15,,,2,,,,"HOC TAM GARDEN,YUK SAU ST|學談花園,毓秀街",,,,,,,,
2019-8-15,,,2,,,,"HOC TAM GARDEN,YUK SAU ST|學談花園,毓秀街",,,,,,,,
2019-9-15,,,2,,,,"HOC TAM GARDEN,YUK SAU ST|學談花園,毓秀街",,,,,,,,
2019-10-15,,,2,,,,"HOC TAM GARDEN,YUK SAU ST|學談花園,毓秀街",,,,,,,,
2019-11-15,,,2,,,,"HOC TAM GARDEN,YUK SAU ST|學談花園,毓秀街",,,,,,,,
2019-12-15,,,2,,,,"HOC TAM GARDEN,YUK SAU ST|學談花園,毓秀街",,,,,,,,
