,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_H,npsf_H,nfa_H,lumpSum_J,npsf_J,nfa_J,lumpSum_K,npsf_K,nfa_K,lumpSum_L,npsf_L,nfa_L,lumpSum_M,npsf_M,nfa_M,lumpSum_N,npsf_N,nfa_N,lumpSum_P,npsf_P,nfa_P,lumpSum_change,npsf_change
2019-12-15,9053136.785714285,19131.928571428572,14,126743915.0,267847.0,6653,"PARK MEDITERRANEAN(Block 3),HONG TSUEN RD|逸瓏海匯3座,康村路",10323420.0,17799.0,580.0,7984475.0,18787.0,425.0,10484789.0,17801.0,589.0,10260460.0,17660.0,581.0,8003000.0,18875.0,424.0,10059117.0,20487.0,491.0,10575670.0,21583.0,490.0,10245426.0,18903.0,542.0,7584420.0,19959.0,380.0,7813673.0,18299.0,427.0,7216396.0,17644.0,409.0,8047953.0,20583.0,391.0,8080380.0,20405.0,396.0,10064736.0,19062.0,528.0,0.16910646995119283,0.1690861951568694
2019-11-15,7743637.571428572,16364.857142857143,14,108410926.0,229108.0,6653,"PARK MEDITERRANEAN(Block 3),HONG TSUEN RD|逸瓏海匯3座,康村路",8830500.0,15225.0,580.0,6828475.0,16067.0,425.0,8968703.0,15227.0,589.0,8774262.0,15102.0,581.0,6843784.0,16141.0,424.0,8601338.0,17518.0,491.0,9044910.0,18459.0,490.0,8759804.0,16162.0,542.0,6488120.0,17074.0,380.0,6684258.0,15654.0,427.0,6177945.0,15105.0,409.0,6886683.0,17613.0,391.0,6910992.0,17452.0,396.0,8611152.0,16309.0,528.0,0.02634547928973041,0.026331586256327588
2019-10-15,7544864.5,15945.0,14,105628103.0,223230.0,6653,"PARK MEDITERRANEAN(Block 3),HONG TSUEN RD|逸瓏海匯3座,康村路",8603140.0,14833.0,580.0,6652100.0,15652.0,425.0,8737815.0,14835.0,589.0,8547091.0,14711.0,581.0,6666976.0,15724.0,424.0,8380388.0,17068.0,491.0,8812160.0,17984.0,490.0,8534332.0,15746.0,542.0,6321680.0,16636.0,380.0,6512604.0,15252.0,427.0,6023752.0,14728.0,409.0,6712297.0,17167.0,391.0,6732792.0,17002.0,396.0,8390976.0,15892.0,528.0,0.041932093433246775,0.04172888822519227
2019-9-15,7241224.785714285,15306.285714285714,14,101377147.0,214288.0,6653,"PARK MEDITERRANEAN(Block 3),HONG TSUEN RD|逸瓏海匯3座,康村路",8241220.0,14209.0,580.0,6372875.000000001,14995.0,425.0,8371457.0,14213.0,589.0,8187452.0,14092.0,581.0,6386712.0,15063.0,424.0,8031287.0,16357.0,491.0,8443680.0,17232.0,490.0,8179321.999999999,15091.0,542.0,6055300.000000001,15935.0,380.0,6413540.0,15020.0,427.0,5771808.0,14112.0,409.0,6433514.0,16454.0,391.0,6452820.0,16295.0,396.0,8036160.0,15220.0,528.0,1.0958113108111966,1.0956236858833308
2019-8-15,3455093.8571428573,7303.928571428572,14,48371314.0,102255.0,6653,"PARK MEDITERRANEAN(Block 3),HONG TSUEN RD|逸瓏海匯3座,康村路",3901080.0,6726.0,580.0,3139475.0,7387.0,425.0,3962792.0,6728.0,589.0,3875270.0,6670.0,581.0,3023544.0,7131.0,424.0,3803286.0,7746.0,491.0,3997910.0,8159.0,490.0,4075298.0,7519.0,542.0,2951460.0,7767.0,380.0,3037251.0,7113.0,427.0,2697764.0,6596.0,409.0,3046672.0,7792.0,391.0,3056328.0,7718.0,396.0,3803184.0,7203.0,528.0,-0.5219809275867718,-0.5216520791328877
2019-7-15,7227941.428571428,15269.07142857143,14,101191180.0,213767.0,6653,"PARK MEDITERRANEAN(Block 3),HONG TSUEN RD|逸瓏海匯3座,康村路",8195980.0,14131.0,580.0,6142949.999999999,14454.0,425.0,8326693.0,14137.0,589.0,8142134.000000001,14014.0,581.0,6262904.0,14771.0,424.0,7993971.0,16281.0,491.0,8401050.0,17145.0,490.0,8567394.0,15807.0,542.0,6203500.0,16325.0,380.0,6384931.0,14953.0,427.0,5667513.0,13857.0,409.0,6403015.999999999,16376.0,391.0,6423912.0,16222.0,396.0,8075232.0,15294.0,528.0,-0.2376842505248158,-0.23683261634030095
2019-6-15,9481558.57142857,20007.5,14,132741820.0,280105.0,6653,"PARK MEDITERRANEAN(Block 3),HONG TSUEN RD|逸瓏海匯3座,康村路",10799600.0,18620.0,580.0,8092000.0,19040.0,425.0,10972481.0,18629.0,589.0,10728165.0,18465.0,581.0,8250616.0,19459.0,424.0,10537842.0,21462.0,491.0,11072040.0,22596.0,490.0,11291486.0,20833.0,542.0,7574920.0,19934.0,380.0,8417878.0,19714.0,427.0,7466704.0,18256.0,409.0,8434652.0,21572.0,391.0,8465292.0,21377.0,396.0,10638144.0,20148.0,528.0,1.7758279681096578,1.7709574026076806
2019-5-15,3415758.714285714,7220.428571428572,14,47820622.0,101086.0,6653,"PARK MEDITERRANEAN(Block 3),HONG TSUEN RD|逸瓏海匯3座,康村路",3899920.0,6724.0,580.0,2885750.0,6790.0,425.0,3905659.0,6631.0,589.0,3874108.0,6668.0,581.0,2978600.0,7025.0,424.0,3806723.0,7753.0,491.0,3998890.0,8161.0,490.0,4078550.0,7525.0,542.0,2950700.0,7765.0,380.0,3041094.0,7122.0,427.0,2695719.0,6591.0,409.0,3044717.0,7787.0,391.0,3057120.0,7720.0,396.0,3603072.0,6824.0,528.0,-0.6265426508673095,-0.6264720554272517
2019-4-15,9146315.42857143,19330.35714285714,14,128048416.0,270625.0,6653,"PARK MEDITERRANEAN(Block 3),HONG TSUEN RD|逸瓏海匯3座,康村路",10315880.0,17786.0,580.0,7736700.0,18204.0,425.0,10470653.0,17777.0,589.0,10252907.0,17647.0,581.0,7780400.0,18350.0,424.0,10722949.0,21839.0,491.0,10725610.0,21889.0,490.0,10939186.0,20183.0,542.0,7911220.0,20819.0,380.0,8159970.0,19110.0,427.0,7015577.0,17153.0,409.0,8162516.0,20876.0,391.0,8198784.0,20704.0,396.0,9656064.0,18288.0,528.0,-0.10712080558795734,-0.10613427225705019
2019-3-15,10243620.285714285,21625.571428571428,14,143410684.0,302758.0,6653,"PARK MEDITERRANEAN(Block 3),HONG TSUEN RD|逸瓏海匯3座,康村路",11605800.0,20010.0,580.0,8702725.0,20477.0,425.0,11777055.0,19995.0,589.0,11532850.0,19850.0,581.0,8748392.0,20633.0,424.0,12067798.0,24578.0,491.0,12069680.0,24632.0,490.0,12310988.0,22714.0,542.0,8253220.000000001,21719.0,380.0,9185624.0,21512.0,427.0,7892473.0,19297.0,409.0,9181071.0,23481.0,391.0,9225216.0,23296.0,396.0,10857792.0,20564.0,528.0,0.3229880179794884,0.3214295067084507
2019-2-15,7742791.428571428,16365.285714285714,14,108399080.0,229114.0,6653,"PARK MEDITERRANEAN(Block 3),HONG TSUEN RD|逸瓏海匯3座,康村路",8572980.0,14781.0,580.0,6617675.0,15571.0,425.0,8540500.0,14500.0,589.0,8769614.0,15094.0,581.0,6650016.0,15684.0,424.0,9180718.0,18698.0,491.0,9181620.0,18738.0,490.0,9365760.0,17280.0,542.0,6277220.0,16519.0,380.0,6989563.0,16369.0,427.0,6002075.0,14675.0,409.0,6980523.0,17853.0,391.0,7017120.0,17720.0,396.0,8253696.000000001,15632.0,528.0,-0.14246070047568837,-0.14365912913474121
