,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_change,npsf_change
2019-12-15,10399935.666666666,11171.666666666666,3,31199807.0,33515.0,2793,"CRESCENT GREEN(Block 5),KO PO PATH|山水盈5座,高埔徑",10913239.0,11647.0,937.0,10280268.0,11223.0,916.0,10006300.0,10645.0,940.0,0.011479225547062821,0.011529291039145129
2019-11-15,10281907.333333334,11044.333333333334,3,30845722.0,33133.0,2793,"CRESCENT GREEN(Block 5),KO PO PATH|山水盈5座,高埔徑",10822350.0,11550.0,937.0,10100732.0,11027.0,916.0,9922640.0,10556.0,940.0,0.011385153075765153,0.011385836385836345
2019-10-15,10166164.0,10920.0,3,30498492.0,32760.0,2793,"CRESCENT GREEN(Block 5),KO PO PATH|山水盈5座,高埔徑",10700540.0,11420.0,937.0,9986232.0,10902.0,916.0,9811720.0,10438.0,940.0,-0.02757661257769728,-0.02757576657069072
2019-9-15,10454462.666666666,11229.666666666666,3,31363388.0,33689.0,2793,"CRESCENT GREEN(Block 5),KO PO PATH|山水盈5座,高埔徑",11004128.0,11744.0,937.0,10268360.0,11210.0,916.0,10090900.0,10735.0,940.0,-0.02486451247186694,-0.024863957392613267
2019-8-15,10721036.0,11516.0,3,32163108.0,34548.0,2793,"CRESCENT GREEN(Block 5),KO PO PATH|山水盈5座,高埔徑",11285228.0,12044.0,937.0,10529420.0,11495.0,916.0,10348460.0,11009.0,940.0,-0.01048343181394451,-0.010482900842069043
2019-7-15,10834620.0,11638.0,3,32503860.0,34914.0,2793,"CRESCENT GREEN(Block 5),KO PO PATH|山水盈5座,高埔徑",11405164.0,12172.0,937.0,10640256.0,11616.0,916.0,10458440.0,11126.0,940.0,0.015029648461716283,0.015030380556444012
2019-6-15,10674190.666666666,11465.666666666666,3,32022572.0,34397.0,2793,"CRESCENT GREEN(Block 5),KO PO PATH|山水盈5座,高埔徑",11236504.0,11992.0,937.0,10481788.0,11443.0,916.0,10304280.0,10962.0,940.0,-0.026738944390165997,-0.02673872446381076
2019-5-15,10967448.666666666,11780.666666666666,3,32902346.0,35342.0,2793,"CRESCENT GREEN(Block 5),KO PO PATH|山水盈5座,高埔徑",11545714.0,12322.0,937.0,10769412.0,11757.0,916.0,10587220.0,11263.0,940.0,0.010232557682545496,0.01023324948547888
2019-4-15,10856360.333333334,11661.333333333334,3,32569081.0,34984.0,2793,"CRESCENT GREEN(Block 5),KO PO PATH|山水盈5座,高埔徑",11428589.0,12197.0,937.0,10659492.0,11637.0,916.0,10481000.0,11150.0,940.0,0.012385236973837088,0.01238569278851731
2019-3-15,10723546.666666666,11518.666666666666,3,32170640.0,34556.0,2793,"CRESCENT GREEN(Block 5),KO PO PATH|山水盈5座,高埔徑",11288976.0,12048.0,937.0,10528504.0,11494.0,916.0,10353160.0,11014.0,940.0,0.03940228804821633,0.03940323647957644
2019-2-15,10317032.0,11082.0,3,30951096.0,33246.0,2793,"CRESCENT GREEN(Block 5),KO PO PATH|山水盈5座,高埔徑",10861704.0,11592.0,937.0,10128212.0,11057.0,916.0,9961180.0,10597.0,940.0,0.0066915131234586145,0.006691900075700197
2019-1-15,10248454.333333334,11008.333333333334,3,30745363.0,33025.0,2793,"CRESCENT GREEN(Block 5),KO PO PATH|山水盈5座,高埔徑",10789555.0,11515.0,937.0,10060428.0,10983.0,916.0,9895380.0,10527.0,940.0,0.011112869086781885,0.011113832588328876
