,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_change,npsf_change
2019-12-15,11513330.6,20566.2,5,57566653.0,102831.0,2794,"THE PAVILIA FARM I(Block 2A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2A座(柏傲莊 I),車公廟路",18408410.0,22046.0,835.0,15241356.0,20214.0,754.0,9604127.0,18019.0,533.0,7637700.0,21822.0,350.0,6675060.0,20730.0,322.0,-0.0009280437719272339,-0.0009326998746684856
2019-11-15,11524025.4,20585.4,5,57620127.0,102927.0,2794,"THE PAVILIA FARM I(Block 2A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2A座(柏傲莊 I),車公廟路",18424275.0,22065.0,835.0,15256436.0,20234.0,754.0,9613188.0,18036.0,533.0,7645050.0,21843.0,350.0,6681178.0,20749.0,322.0,0.034706292657859183,0.0346917849531545
2019-10-15,11137484.6,19895.2,5,55687423.0,99476.0,2794,"THE PAVILIA FARM I(Block 2A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2A座(柏傲莊 I),車公廟路",17804705.0,21323.0,835.0,14745224.0,19556.0,754.0,9291256.0,17432.0,533.0,7388850.0,21111.0,350.0,6457388.0,20054.0,322.0,-0.03931975861019965,-0.03933403509449629
2019-9-15,11593331.6,20709.8,5,57966658.0,103549.0,2794,"THE PAVILIA FARM I(Block 2A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2A座(柏傲莊 I),車公廟路",18531990.0,22194.0,835.0,15349178.0,20357.0,754.0,9671818.0,18146.0,533.0,7691600.0,21976.0,350.0,6722072.0,20876.0,322.0,0.027577738380004213,0.027567454922547086
2019-8-15,11282194.2,20154.2,5,56410971.0,100771.0,2794,"THE PAVILIA FARM I(Block 2A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2A座(柏傲莊 I),車公廟路",18033495.0,21597.0,835.0,14937494.0,19811.0,754.0,9412780.0,17660.0,533.0,7485450.0,21387.0,350.0,6541752.0,20316.0,322.0,-0.049121125589265846,-0.04913283889109055
2019-7-15,11865017.2,21195.6,5,59325086.0,105978.0,2794,"THE PAVILIA FARM I(Block 2A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2A座(柏傲莊 I),車公廟路",18963685.0,22711.0,835.0,15709590.0,20835.0,754.0,9899409.0,18573.0,533.0,7872550.0,22493.0,350.0,6879852.0,21366.0,322.0,0.016950783647510015,0.01693646665962989
2019-6-15,11667248.2,20842.6,5,58336241.0,104213.0,2794,"THE PAVILIA FARM I(Block 2A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2A座(柏傲莊 I),車公廟路",18646385.0,22331.0,835.0,15447952.0,20488.0,754.0,9734712.0,18264.0,533.0,7741650.0,22119.0,350.0,6765542.0,21011.0,322.0,-0.011433908547880733,-0.011449440333902605
2019-5-15,11802193.4,21084.0,5,59010967.0,105420.0,2794,"THE PAVILIA FARM I(Block 2A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2A座(柏傲莊 I),車公廟路",18860145.0,22587.0,835.0,15627404.0,20726.0,754.0,9847708.0,18476.0,533.0,7831600.0,22376.0,350.0,6844110.0,21255.0,322.0,,
2019-4-15,,,5,,,2794,"THE PAVILIA FARM I(Block 2A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2A座(柏傲莊 I),車公廟路",,,835.0,,,754.0,,,533.0,,,350.0,,,322.0,,
2019-3-15,,,5,,,2794,"THE PAVILIA FARM I(Block 2A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2A座(柏傲莊 I),車公廟路",,,835.0,,,754.0,,,533.0,,,350.0,,,322.0,,
2019-2-15,,,5,,,2794,"THE PAVILIA FARM I(Block 2A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2A座(柏傲莊 I),車公廟路",,,835.0,,,754.0,,,533.0,,,350.0,,,322.0,,
2019-1-15,,,5,,,2794,"THE PAVILIA FARM I(Block 2A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2A座(柏傲莊 I),車公廟路",,,835.0,,,754.0,,,533.0,,,350.0,,,322.0,,
2018-12-15,,,5,,,2794,"THE PAVILIA FARM I(Block 2A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2A座(柏傲莊 I),車公廟路",,,835.0,,,754.0,,,533.0,,,350.0,,,322.0,,
2018-11-15,,,5,,,2794,"THE PAVILIA FARM I(Block 2A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2A座(柏傲莊 I),車公廟路",,,835.0,,,754.0,,,533.0,,,350.0,,,322.0,,
2018-10-15,,,5,,,2794,"THE PAVILIA FARM I(Block 2A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2A座(柏傲莊 I),車公廟路",,,835.0,,,754.0,,,533.0,,,350.0,,,322.0,,
2018-9-15,,,5,,,2794,"THE PAVILIA FARM I(Block 2A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2A座(柏傲莊 I),車公廟路",,,835.0,,,754.0,,,533.0,,,350.0,,,322.0,,
2018-8-15,,,5,,,2794,"THE PAVILIA FARM I(Block 2A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2A座(柏傲莊 I),車公廟路",,,835.0,,,754.0,,,533.0,,,350.0,,,322.0,,
2018-7-15,,,5,,,2794,"THE PAVILIA FARM I(Block 2A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2A座(柏傲莊 I),車公廟路",,,835.0,,,754.0,,,533.0,,,350.0,,,322.0,,
2018-6-15,,,5,,,2794,"THE PAVILIA FARM I(Block 2A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2A座(柏傲莊 I),車公廟路",,,835.0,,,754.0,,,533.0,,,350.0,,,322.0,,
2018-5-15,,,5,,,2794,"THE PAVILIA FARM I(Block 2A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2A座(柏傲莊 I),車公廟路",,,835.0,,,754.0,,,533.0,,,350.0,,,322.0,,
2018-4-15,,,5,,,2794,"THE PAVILIA FARM I(Block 2A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2A座(柏傲莊 I),車公廟路",,,835.0,,,754.0,,,533.0,,,350.0,,,322.0,,
2018-3-15,,,5,,,2794,"THE PAVILIA FARM I(Block 2A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2A座(柏傲莊 I),車公廟路",,,835.0,,,754.0,,,533.0,,,350.0,,,322.0,,
2018-2-15,,,5,,,2794,"THE PAVILIA FARM I(Block 2A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2A座(柏傲莊 I),車公廟路",,,835.0,,,754.0,,,533.0,,,350.0,,,322.0,,
2018-1-15,,,5,,,2794,"THE PAVILIA FARM I(Block 2A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2A座(柏傲莊 I),車公廟路",,,835.0,,,754.0,,,533.0,,,350.0,,,322.0,,
2017-12-15,,,5,,,2794,"THE PAVILIA FARM I(Block 2A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2A座(柏傲莊 I),車公廟路",,,835.0,,,754.0,,,533.0,,,350.0,,,322.0,,
2017-11-15,,,5,,,2794,"THE PAVILIA FARM I(Block 2A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2A座(柏傲莊 I),車公廟路",,,835.0,,,754.0,,,533.0,,,350.0,,,322.0,,
2017-10-15,,,5,,,2794,"THE PAVILIA FARM I(Block 2A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2A座(柏傲莊 I),車公廟路",,,835.0,,,754.0,,,533.0,,,350.0,,,322.0,,
2017-9-15,,,5,,,2794,"THE PAVILIA FARM I(Block 2A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2A座(柏傲莊 I),車公廟路",,,835.0,,,754.0,,,533.0,,,350.0,,,322.0,,
2017-8-15,,,5,,,2794,"THE PAVILIA FARM I(Block 2A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2A座(柏傲莊 I),車公廟路",,,835.0,,,754.0,,,533.0,,,350.0,,,322.0,,
2017-7-15,,,5,,,2794,"THE PAVILIA FARM I(Block 2A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2A座(柏傲莊 I),車公廟路",,,835.0,,,754.0,,,533.0,,,350.0,,,322.0,,
2017-6-15,,,5,,,2794,"THE PAVILIA FARM I(Block 2A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2A座(柏傲莊 I),車公廟路",,,835.0,,,754.0,,,533.0,,,350.0,,,322.0,,
2017-5-15,,,5,,,2794,"THE PAVILIA FARM I(Block 2A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2A座(柏傲莊 I),車公廟路",,,835.0,,,754.0,,,533.0,,,350.0,,,322.0,,
2017-4-15,,,5,,,2794,"THE PAVILIA FARM I(Block 2A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2A座(柏傲莊 I),車公廟路",,,835.0,,,754.0,,,533.0,,,350.0,,,322.0,,
2017-3-15,,,5,,,2794,"THE PAVILIA FARM I(Block 2A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2A座(柏傲莊 I),車公廟路",,,835.0,,,754.0,,,533.0,,,350.0,,,322.0,,
2017-2-15,,,5,,,2794,"THE PAVILIA FARM I(Block 2A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2A座(柏傲莊 I),車公廟路",,,835.0,,,754.0,,,533.0,,,350.0,,,322.0,,
2017-1-15,,,5,,,2794,"THE PAVILIA FARM I(Block 2A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2A座(柏傲莊 I),車公廟路",,,835.0,,,754.0,,,533.0,,,350.0,,,322.0,,
2016-12-15,,,5,,,2794,"THE PAVILIA FARM I(Block 2A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2A座(柏傲莊 I),車公廟路",,,835.0,,,754.0,,,533.0,,,350.0,,,322.0,,
2016-11-15,,,5,,,2794,"THE PAVILIA FARM I(Block 2A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2A座(柏傲莊 I),車公廟路",,,835.0,,,754.0,,,533.0,,,350.0,,,322.0,,
2016-10-15,,,5,,,2794,"THE PAVILIA FARM I(Block 2A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2A座(柏傲莊 I),車公廟路",,,835.0,,,754.0,,,533.0,,,350.0,,,322.0,,
2016-9-15,,,5,,,2794,"THE PAVILIA FARM I(Block 2A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2A座(柏傲莊 I),車公廟路",,,835.0,,,754.0,,,533.0,,,350.0,,,322.0,,
2016-8-15,,,5,,,2794,"THE PAVILIA FARM I(Block 2A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2A座(柏傲莊 I),車公廟路",,,835.0,,,754.0,,,533.0,,,350.0,,,322.0,,
2016-7-15,,,5,,,2794,"THE PAVILIA FARM I(Block 2A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2A座(柏傲莊 I),車公廟路",,,835.0,,,754.0,,,533.0,,,350.0,,,322.0,,
2016-6-15,,,5,,,2794,"THE PAVILIA FARM I(Block 2A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2A座(柏傲莊 I),車公廟路",,,835.0,,,754.0,,,533.0,,,350.0,,,322.0,,
2016-5-15,,,5,,,2794,"THE PAVILIA FARM I(Block 2A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2A座(柏傲莊 I),車公廟路",,,835.0,,,754.0,,,533.0,,,350.0,,,322.0,,
2016-4-15,,,5,,,2794,"THE PAVILIA FARM I(Block 2A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2A座(柏傲莊 I),車公廟路",,,835.0,,,754.0,,,533.0,,,350.0,,,322.0,,
2016-3-15,,,5,,,2794,"THE PAVILIA FARM I(Block 2A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2A座(柏傲莊 I),車公廟路",,,835.0,,,754.0,,,533.0,,,350.0,,,322.0,,
2016-2-15,,,5,,,2794,"THE PAVILIA FARM I(Block 2A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2A座(柏傲莊 I),車公廟路",,,835.0,,,754.0,,,533.0,,,350.0,,,322.0,,
2016-1-15,,,5,,,2794,"THE PAVILIA FARM I(Block 2A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2A座(柏傲莊 I),車公廟路",,,835.0,,,754.0,,,533.0,,,350.0,,,322.0,,
