,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_C,npsf_C,nfa_C,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_change,npsf_change
2019-12-15,9477278.0,23507.25,4,37909112.0,94029.0,1634,"K.SUMMIT(Block 2A),MUK TAI ST|嘉峯匯2A座,沐泰街",9855500.0,21425.0,460.0,11500608.0,22288.0,516.0,8215350.0,25278.0,325.0,8337654.0,25038.0,333.0,-0.01697101474642848,-0.016978035189696095
2019-11-15,9640893.75,23913.25,4,38563575.0,95653.0,1634,"K.SUMMIT(Block 2A),MUK TAI ST|嘉峯匯2A座,沐泰街",10024780.0,21793.0,460.0,11699268.0,22673.0,516.0,8358350.0,25718.0,325.0,8481177.0,25469.0,333.0,0.026782808041232675,0.026771433785248933
2019-10-15,9389418.75,23289.75,4,37557675.0,93159.0,1634,"K.SUMMIT(Block 2A),MUK TAI ST|嘉峯匯2A座,沐泰街",9762580.0,21223.0,460.0,11393796.0,22081.0,516.0,8141900.0,25052.0,325.0,8259399.0,24803.0,333.0,-0.028615786467221627,-0.028622372372372418
2019-9-15,9666019.5,23976.0,4,38664078.0,95904.0,1634,"K.SUMMIT(Block 2A),MUK TAI ST|嘉峯匯2A座,沐泰街",10049160.0,21846.0,460.0,11729712.0,22732.0,516.0,8383050.0,25794.0,325.0,8502156.0,25532.0,333.0,-0.03080071707166243,-0.030812608005820974
2019-8-15,9973201.25,24738.25,4,39892805.0,98953.0,1634,"K.SUMMIT(Block 2A),MUK TAI ST|嘉峯匯2A座,沐泰街",10367480.0,22538.0,460.0,12102264.0,23454.0,516.0,8651175.0,26619.0,325.0,8771886.0,26342.0,333.0,0.0022658056178210817,0.0022586853033526033
2019-7-15,9950655.0,24682.5,4,39802620.0,98730.0,1634,"K.SUMMIT(Block 2A),MUK TAI ST|嘉峯匯2A座,沐泰街",10342640.0,22484.0,460.0,12075432.0,23402.0,516.0,8632975.0,26563.0,325.0,8751573.0,26281.0,333.0,0.0028552533948889014,0.0028440832910106018
2019-6-15,9922324.25,24612.5,4,39689297.0,98450.0,1634,"K.SUMMIT(Block 2A),MUK TAI ST|嘉峯匯2A座,沐泰街",10312280.0,22418.0,460.0,12040860.0,23335.0,516.0,8610225.0,26493.0,325.0,8725932.0,26204.0,333.0,-0.009168511641390209,-0.009178559207745463
2019-5-15,10014139.0,24840.5,4,40056556.0,99362.0,1634,"K.SUMMIT(Block 2A),MUK TAI ST|嘉峯匯2A座,沐泰街",10406580.0,22623.0,460.0,12152316.0,23551.0,516.0,8691475.0,26743.0,325.0,8806185.0,26445.0,333.0,0.018417267394255976,0.018408051985322693
2019-4-15,9833041.25,24391.5,4,39332165.0,97566.0,1634,"K.SUMMIT(Block 2A),MUK TAI ST|嘉峯匯2A座,沐泰街",10217520.0,22212.0,460.0,11932500.0,23125.0,516.0,8535800.0,26264.0,325.0,8646345.0,25965.0,333.0,0.024971256520053275,0.024960605105578404
2019-3-15,9593480.0,23797.5,4,38373920.0,95190.0,1634,"K.SUMMIT(Block 2A),MUK TAI ST|嘉峯匯2A座,沐泰街",9967280.0,21668.0,460.0,11641992.0,22562.0,516.0,8329425.0,25629.0,325.0,8435223.0,25331.0,333.0,0.02354857460814852,0.023537381318480488
2019-2-15,9372764.75,23250.25,4,37491059.0,93001.0,1634,"K.SUMMIT(Block 2A),MUK TAI ST|嘉峯匯2A座,沐泰街",9736820.0,21167.0,460.0,11374188.0,22043.0,516.0,8139300.0,25044.0,325.0,8240751.0,24747.0,333.0,0.01655905969451754,0.01654879928295827
2019-1-15,9220088.75,22871.75,4,36880355.0,91487.0,1634,"K.SUMMIT(Block 2A),MUK TAI ST|嘉峯匯2A座,沐泰街",9577200.0,20820.0,460.0,11188944.0,21684.0,516.0,8008325.0,24641.0,325.0,8105886.0,24342.0,333.0,0.04251247497767996,0.04250373189603107
2018-12-15,8844104.0,21939.25,4,35376416.0,87757.0,1634,"K.SUMMIT(Block 2A),MUK TAI ST|嘉峯匯2A座,沐泰街",9185740.0,19969.0,460.0,10732799.999999998,20800.0,516.0,7683325.0,23641.0,325.0,7774551.0,23347.0,333.0,-0.07165616916925466,-0.07166885287521685
2018-11-15,9526754.75,23633.0,4,38107019.0,94532.0,1634,"K.SUMMIT(Block 2A),MUK TAI ST|嘉峯匯2A座,沐泰街",9893680.0,21508.0,460.0,11560980.0,22405.0,516.0,8278075.0,25471.0,325.0,8374284.0,25148.0,333.0,0.027876874400262652,0.027868085985495172
2018-10-15,9268381.25,22992.25,4,37073525.0,91969.0,1634,"K.SUMMIT(Block 2A),MUK TAI ST|嘉峯匯2A座,沐泰街",9624120.0,20922.0,460.0,11247768.0,21798.0,516.0,8055125.0,24785.0,325.0,8146512.0,24464.0,333.0,,
2018-9-15,,,4,,,1634,"K.SUMMIT(Block 2A),MUK TAI ST|嘉峯匯2A座,沐泰街",,,460.0,,,516.0,,,325.0,,,333.0,,
2018-8-15,,,4,,,1634,"K.SUMMIT(Block 2A),MUK TAI ST|嘉峯匯2A座,沐泰街",,,460.0,,,516.0,,,325.0,,,333.0,,
2018-7-15,,,4,,,1634,"K.SUMMIT(Block 2A),MUK TAI ST|嘉峯匯2A座,沐泰街",,,460.0,,,516.0,,,325.0,,,333.0,,
2018-6-15,,,4,,,1634,"K.SUMMIT(Block 2A),MUK TAI ST|嘉峯匯2A座,沐泰街",,,460.0,,,516.0,,,325.0,,,333.0,,
2018-5-15,,,4,,,1634,"K.SUMMIT(Block 2A),MUK TAI ST|嘉峯匯2A座,沐泰街",,,460.0,,,516.0,,,325.0,,,333.0,,
2018-4-15,,,4,,,1634,"K.SUMMIT(Block 2A),MUK TAI ST|嘉峯匯2A座,沐泰街",,,460.0,,,516.0,,,325.0,,,333.0,,
2018-3-15,,,4,,,1634,"K.SUMMIT(Block 2A),MUK TAI ST|嘉峯匯2A座,沐泰街",,,460.0,,,516.0,,,325.0,,,333.0,,
2018-2-15,,,4,,,1634,"K.SUMMIT(Block 2A),MUK TAI ST|嘉峯匯2A座,沐泰街",,,460.0,,,516.0,,,325.0,,,333.0,,
2018-1-15,,,4,,,1634,"K.SUMMIT(Block 2A),MUK TAI ST|嘉峯匯2A座,沐泰街",,,460.0,,,516.0,,,325.0,,,333.0,,
