,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_change,npsf_change
2019-12-15,29646685.0,28744.0,3,88940055.0,86232.0,3101,"GRAND HOMM(Block 3),SHEUNG SHING ST|傲玟3座,常盛街",34492064.0,28088.0,1228.0,27875229.999999996,29845.0,934.0,26572761.0,28299.0,939.0,-0.02335791719509972,-0.02335379527487702
2016-12-15,,,3,,,3101,"GRAND HOMM(Block 3),SHEUNG SHING ST|傲玟3座,常盛街",,,1228.0,,,934.0,,,939.0,,
2016-11-15,,,3,,,3101,"GRAND HOMM(Block 3),SHEUNG SHING ST|傲玟3座,常盛街",,,1228.0,,,934.0,,,939.0,,
2016-10-15,,,3,,,3101,"GRAND HOMM(Block 3),SHEUNG SHING ST|傲玟3座,常盛街",,,1228.0,,,934.0,,,939.0,,
2016-9-15,,,3,,,3101,"GRAND HOMM(Block 3),SHEUNG SHING ST|傲玟3座,常盛街",,,1228.0,,,934.0,,,939.0,,
2016-8-15,,,3,,,3101,"GRAND HOMM(Block 3),SHEUNG SHING ST|傲玟3座,常盛街",,,1228.0,,,934.0,,,939.0,,
2016-7-15,,,3,,,3101,"GRAND HOMM(Block 3),SHEUNG SHING ST|傲玟3座,常盛街",,,1228.0,,,934.0,,,939.0,,
2016-6-15,,,3,,,3101,"GRAND HOMM(Block 3),SHEUNG SHING ST|傲玟3座,常盛街",,,1228.0,,,934.0,,,939.0,,
2016-5-15,,,3,,,3101,"GRAND HOMM(Block 3),SHEUNG SHING ST|傲玟3座,常盛街",,,1228.0,,,934.0,,,939.0,,
2016-4-15,,,3,,,3101,"GRAND HOMM(Block 3),SHEUNG SHING ST|傲玟3座,常盛街",,,1228.0,,,934.0,,,939.0,,
2016-3-15,,,3,,,3101,"GRAND HOMM(Block 3),SHEUNG SHING ST|傲玟3座,常盛街",,,1228.0,,,934.0,,,939.0,,
2016-2-15,,,3,,,3101,"GRAND HOMM(Block 3),SHEUNG SHING ST|傲玟3座,常盛街",,,1228.0,,,934.0,,,939.0,,
2016-1-15,,,3,,,3101,"GRAND HOMM(Block 3),SHEUNG SHING ST|傲玟3座,常盛街",,,1228.0,,,934.0,,,939.0,,
