,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_change,npsf_change
2019-12-15,9481690.42857143,22358.14285714286,7,66371833,156507,3023,"EAST WING,THE VERTEX,TONKIN ST|東翼(恆大•睿峰),東京街",13034961.0,20399.0,639.0,10153192.0,23128.0,439.0,6503490.0,23310.0,279.0,5469184.0,24416.0,224.0,10863721.0,21013.0,517.0,10894741.0,21073.0,517.0,9452544.0,23168.0,408.0,-0.014773681862745636,-0.014774572878240355
2019-11-15,9623870.42857143,22693.428571428572,7,67367093,158854,3023,"EAST WING,THE VERTEX,TONKIN ST|東翼(恆大•睿峰),東京街",13230495.0,20705.0,639.0,10305964.0,23476.0,439.0,6601140.0,23660.0,279.0,5551392.0,24783.0,224.0,11027093.0,21329.0,517.0,11058113.0,21389.0,517.0,9592896.0,23512.0,408.0,0.08321097977292369,0.08321116119221816
2019-10-15,8884576.142857144,20950.14285714286,7,62192033,146651,3023,"EAST WING,THE VERTEX,TONKIN ST|東翼(恆大•睿峰),東京街",12214485.0,19115.0,639.0,9514886.0,21674.0,439.0,6094197.0,21843.0,279.0,5125120.0,22880.0,224.0,10180247.0,19691.0,517.0,10208682.0,19746.0,517.0,8854416.0,21702.0,408.0,-0.08893191445551007,-0.08893182411192424
2019-9-15,9751824.57142857,22995.14285714286,7,68262772,160966,3023,"EAST WING,THE VERTEX,TONKIN ST|東翼(恆大•睿峰),東京街",13406859.0,20981.0,639.0,10444249.0,23791.0,439.0,6689304.0,23976.0,279.0,5625536.0,25114.0,224.0,11173921.0,21613.0,517.0,11205975.0,21675.0,517.0,9716928.0,23816.0,408.0,-0.0036382366981216885,-0.003627315044072321
2019-8-15,9787433.57142857,23078.85714285714,7,68512035,161552,3023,"EAST WING,THE VERTEX,TONKIN ST|東翼(恆大•睿峰),東京街",13456062.0,21058.0,639.0,10482442.0,23878.0,439.0,6713577.0,24063.0,279.0,5645920.0,25205.0,224.0,11214764.0,21692.0,517.0,11248886.0,21758.0,517.0,9750384.0,23898.0,408.0,0.00996326959225935,0.0099651158429086
2019-7-15,9690880.714285715,22851.14285714286,7,67836165,159958,3023,"EAST WING,THE VERTEX,TONKIN ST|東翼(恆大•睿峰),東京街",13323789.0,20851.0,639.0,10379716.0,23644.0,439.0,6647454.0,23826.0,279.0,5590368.0,24957.0,224.0,11104126.0,21478.0,517.0,11138248.0,21544.0,517.0,9652464.0,23658.0,408.0,-0.03645490069924595,-0.036455635202698566
2019-6-15,10057526.857142856,23715.714285714286,7,70402688,166010,3023,"EAST WING,THE VERTEX,TONKIN ST|東翼(恆大•睿峰),東京街",13827960.0,21640.0,639.0,10772621.0,24539.0,439.0,6899391.0,24729.0,279.0,5802048.0,25902.0,224.0,11524964.0,22292.0,517.0,11560120.0,22360.0,517.0,10015584.0,24548.0,408.0,0.011236258789896647,0.011238692778606785
2019-5-15,9945773.57142857,23452.14285714286,7,69620415,164165,3023,"EAST WING,THE VERTEX,TONKIN ST|東翼(恆大•睿峰),東京街",13674600.0,21400.0,639.0,10653652.0,24268.0,439.0,6822666.0,24454.0,279.0,5737760.0,25615.0,224.0,11397265.0,22045.0,517.0,11431904.0,22112.0,517.0,9902568.0,24271.0,408.0,0.021367415915350296,0.02137124370061594
2019-4-15,9737704.0,22961.428571428572,7,68163928,160730,3023,"EAST WING,THE VERTEX,TONKIN ST|東翼(恆大•睿峰),東京街",13388967.0,20953.0,639.0,10431518.0,23762.0,439.0,6680097.0,23943.0,279.0,5617696.0,25079.0,224.0,11158928.0,21584.0,517.0,11193050.0,21650.0,517.0,9693672.0,23759.0,408.0,-0.012527859784718487,-0.012526955378481142
2019-3-15,9861244.285714285,23252.714285714286,7,69028710,162769,3023,"EAST WING,THE VERTEX,TONKIN ST|東翼(恆大•睿峰),東京街",13559580.0,21220.0,639.0,10564535.0,24065.0,439.0,6765192.0,24248.0,279.0,5689152.0,25398.0,224.0,11300586.0,21858.0,517.0,11335225.0,21925.0,517.0,9814440.0,24055.0,408.0,0.02118228756622309,0.02102661573107012
2019-2-15,9656693.42857143,22773.85714285714,7,67596854,159417,3023,"EAST WING,THE VERTEX,TONKIN ST|東翼(恆大•睿峰),東京街",13289922.0,20798.0,639.0,10354693.0,23587.0,439.0,6630714.0,23766.0,279.0,5576032.0,24893.0,224.0,11018304.0,21312.0,517.0,11109813.0,21489.0,517.0,9617376.0,23572.0,408.0,0.025026830871071937,0.027972839649468728
2019-1-15,9420917.714285715,22154.14285714286,7,65946424,155079,3023,"EAST WING,THE VERTEX,TONKIN ST|東翼(恆大•睿峰),東京街",13119948.0,20532.0,639.0,9982860.0,22740.0,439.0,6392169.0,22911.0,279.0,5375552.0,23998.0,224.0,10621765.0,20545.0,517.0,11184778.0,21634.0,517.0,9269352.0,22719.0,408.0,-0.03443669503507363,-0.018363083934675117
2018-12-15,9756913.57142857,22568.571428571428,7,68298395,157980,3023,"EAST WING,THE VERTEX,TONKIN ST|東翼(恆大•睿峰),東京街",16266384.0,25456.0,639.0,9833161.0,22399.0,439.0,6296472.0,22568.0,279.0,5294912.0,23638.0,224.0,10462529.0,20237.0,517.0,11016753.0,21309.0,517.0,9128184.0,22373.0,408.0,-0.008802850244949756,-0.008802695394113602
2018-11-15,9843565.0,22769.0,7,68904955,159383,3023,"EAST WING,THE VERTEX,TONKIN ST|東翼(恆大•睿峰),東京街",16411437.0,25683.0,639.0,9921400.0,22600.0,439.0,6352551.0,22769.0,279.0,5342176.0,23849.0,224.0,10555589.0,20417.0,517.0,11114466.0,21498.0,517.0,9207336.0,22567.0,408.0,-0.01659973032508133,-0.0165974591696334
2018-10-15,10009723.714285715,23153.285714285714,7,70068066,162073,3023,"EAST WING,THE VERTEX,TONKIN ST|東翼(恆大•睿峰),東京街",16688763.0,26117.0,639.0,10089537.0,22983.0,439.0,6459966.0,23154.0,279.0,5432448.0,24252.0,224.0,10734471.0,20763.0,517.0,11302137.0,21861.0,517.0,9360744.0,22943.0,408.0,0.02717057710563142,0.008763576385647065
