,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A1,npsf_A1,nfa_A1,lumpSum_A2,npsf_A2,nfa_A2,lumpSum_A3,npsf_A3,nfa_A3,lumpSum_A5,npsf_A5,nfa_A5,lumpSum_B1,npsf_B1,nfa_B1,lumpSum_B2,npsf_B2,nfa_B2,lumpSum_B3,npsf_B3,nfa_B3,lumpSum_change,npsf_change
2019-12-15,6404701.142857143,13604.42857142857,7,44832908.0,95231.0,3322,"WETLAND SEASONS PARK(Phase 2),Block 19,WETLAND PARK RD|WETLAND SEASONS PARK2期,19座,濕地公園路",6110045.000000001,14723.0,415.0,6350124.0,14498.0,438.0,6201260.0,14030.0,442.0,5940310.0,14110.0,421.0,6787980.0,13155.0,516.0,6929472.0,11968.0,579.0,6513717.0,12747.0,511.0,-0.00036495572414585453,-0.00037788531180793505
2019-11-15,6407039.428571428,13609.57142857143,7,44849276.0,95267.0,3322,"WETLAND SEASONS PARK(Phase 2),Block 19,WETLAND PARK RD|WETLAND SEASONS PARK2期,19座,濕地公園路",6113780.0,14732.0,415.0,6354066.0,14507.0,438.0,6204354.0,14037.0,442.0,5941152.0,14112.0,421.0,6790044.0,13159.0,516.0,6930630.0,11970.0,579.0,6515250.0,12750.0,511.0,0.02010113880379749,0.02008758873981442
2019-10-15,6280788.428571428,13341.57142857143,7,43965519.0,93391.0,3322,"WETLAND SEASONS PARK(Phase 2),Block 19,WETLAND PARK RD|WETLAND SEASONS PARK2期,19座,濕地公園路",5994260.0,14444.0,415.0,6230988.0,14226.0,438.0,6082804.0,13762.0,442.0,5822851.0,13831.0,421.0,6656400.0,12900.0,516.0,6792249.0,11731.0,579.0,6385967.0,12497.0,511.0,0.010712669194096636,0.010703231531785207
2019-9-15,6214217.571428572,13200.285714285714,7,43499523.0,92402.0,3322,"WETLAND SEASONS PARK(Phase 2),Block 19,WETLAND PARK RD|WETLAND SEASONS PARK2期,19座,濕地公園路",5932010.0,14294.0,415.0,6166602.000000001,14079.0,438.0,6018714.0,13617.0,442.0,5759701.000000001,13681.0,421.0,6585708.0,12763.0,516.0,6719295.0,11605.0,579.0,6317493.0,12363.0,511.0,-0.05399994954611065,-0.05401420995515882
2019-8-15,6568940.0,13954.0,7,45982580.0,97678.0,3322,"WETLAND SEASONS PARK(Phase 2),Block 19,WETLAND PARK RD|WETLAND SEASONS PARK2期,19座,濕地公園路",6271895.0,15113.0,415.0,6520944.0,14888.0,438.0,6363474.0,14397.0,442.0,6086818.0,14458.0,421.0,6961356.0,13491.0,516.0,7100856.0,12264.0,579.0,6677237.0,13067.0,511.0,0.041101574907210114,0.04108800613921959
2019-7-15,6309605.285714285,13403.285714285714,7,44167237.0,93823.0,3322,"WETLAND SEASONS PARK(Phase 2),Block 19,WETLAND PARK RD|WETLAND SEASONS PARK2期,19座,濕地公園路",6025800.0,14520.0,415.0,6265152.0,14304.0,438.0,6112860.0,13830.0,442.0,5845164.0,13884.0,421.0,6686328.0,12958.0,516.0,6818883.0,11777.0,579.0,6413050.0,12550.0,511.0,-0.044197662593565834,-0.04421217770443042
2019-6-15,6601370.428571428,14023.285714285714,7,46209593.0,98163.0,3322,"WETLAND SEASONS PARK(Phase 2),Block 19,WETLAND PARK RD|WETLAND SEASONS PARK2期,19座,濕地公園路",6305925.0,15195.0,415.0,6557298.0,14971.0,438.0,6396182.0,14471.0,442.0,6114183.0,14523.0,421.0,6994896.0,13556.0,516.0,7132701.0,12319.0,579.0,6708408.0,13128.0,511.0,0.0024103180319541284,0.0023997222449145816
2019-5-15,6585497.285714285,13989.714285714286,7,46098481.0,97928.0,3322,"WETLAND SEASONS PARK(Phase 2),Block 19,WETLAND PARK RD|WETLAND SEASONS PARK2期,19座,濕地公園路",6291815.0,15161.0,415.0,6543720.0,14940.0,438.0,6381596.0,14438.0,442.0,6097764.0,14484.0,421.0,6977868.0,13523.0,516.0,7114172.999999999,12287.0,579.0,6691545.0,13095.0,511.0,-0.003710727106144396,-0.0037235233076281515
2019-4-15,6610025.285714285,14042.0,7,46270177.0,98294.0,3322,"WETLAND SEASONS PARK(Phase 2),Block 19,WETLAND PARK RD|WETLAND SEASONS PARK2期,19座,濕地公園路",6316715.0,15221.0,415.0,6570000.0,15000.0,438.0,6406348.0,14494.0,442.0,6118814.0,14534.0,421.0,7003668.0,13573.0,516.0,7139070.0,12330.0,579.0,6715562.0,13142.0,511.0,0.06053344513625003,0.060516804229379106
2019-3-15,6232736.285714285,13240.714285714286,7,43629154.0,92685.0,3322,"WETLAND SEASONS PARK(Phase 2),Block 19,WETLAND PARK RD|WETLAND SEASONS PARK2期,19座,濕地公園路",5957740.0,14356.0,415.0,6197262.0,14149.0,438.0,6041256.0,13668.0,442.0,5768121.0,13701.0,421.0,6603768.0,12798.0,516.0,6729717.0,11623.0,579.0,6331290.0,12390.0,511.0,0.03851029367417391,0.03849903080146566
2019-2-15,6001612.428571428,12749.857142857143,7,42011287.0,89249.0,3322,"WETLAND SEASONS PARK(Phase 2),Block 19,WETLAND PARK RD|WETLAND SEASONS PARK2期,19座,濕地公園路",5737790.0,13826.0,415.0,5969064.0,13628.0,438.0,5818046.0,13163.0,442.0,5552990.0,13190.0,421.0,6358668.0,12323.0,516.0,6479010.0,11190.0,579.0,6095719.0,11929.0,511.0,0.00907258405916389,0.009056168596237368
2019-1-15,5947651.857142857,12635.42857142857,7,41633563.0,88448.0,3322,"WETLAND SEASONS PARK(Phase 2),Block 19,WETLAND PARK RD|WETLAND SEASONS PARK2期,19座,濕地公園路",5687575.0,13705.0,415.0,5917380.0,13510.0,438.0,5766774.0,13047.0,442.0,5501628.0,13068.0,421.0,6301392.0,12212.0,516.0,6418794.0,11086.0,579.0,6040020.0,11820.0,511.0,0.05635009728854623,0.056335168575557315
2018-12-15,5630379.428571428,11961.57142857143,7,39412656.0,83731.0,3322,"WETLAND SEASONS PARK(Phase 2),Block 19,WETLAND PARK RD|WETLAND SEASONS PARK2期,19座,濕地公園路",5385455.0,12977.0,415.0,5603772.0,12794.0,438.0,5460026.000000001,12353.0,442.0,5206507.0,12367.0,421.0,5964959.999999999,11560.0,516.0,6074868.0,10492.0,579.0,5717068.000000001,11188.0,511.0,,
2018-11-15,,,7,,,3322,"WETLAND SEASONS PARK(Phase 2),Block 19,WETLAND PARK RD|WETLAND SEASONS PARK2期,19座,濕地公園路",,,415.0,,,438.0,,,442.0,,,421.0,,,516.0,,,579.0,,,511.0,,
2018-10-15,,,7,,,3322,"WETLAND SEASONS PARK(Phase 2),Block 19,WETLAND PARK RD|WETLAND SEASONS PARK2期,19座,濕地公園路",,,415.0,,,438.0,,,442.0,,,421.0,,,516.0,,,579.0,,,511.0,,
2018-9-15,,,7,,,3322,"WETLAND SEASONS PARK(Phase 2),Block 19,WETLAND PARK RD|WETLAND SEASONS PARK2期,19座,濕地公園路",,,415.0,,,438.0,,,442.0,,,421.0,,,516.0,,,579.0,,,511.0,,
2018-8-15,,,7,,,3322,"WETLAND SEASONS PARK(Phase 2),Block 19,WETLAND PARK RD|WETLAND SEASONS PARK2期,19座,濕地公園路",,,415.0,,,438.0,,,442.0,,,421.0,,,516.0,,,579.0,,,511.0,,
2018-7-15,,,7,,,3322,"WETLAND SEASONS PARK(Phase 2),Block 19,WETLAND PARK RD|WETLAND SEASONS PARK2期,19座,濕地公園路",,,415.0,,,438.0,,,442.0,,,421.0,,,516.0,,,579.0,,,511.0,,
