,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_change,npsf_change
2019-12-15,8437305.6,16197.6,5,42186528.0,80988.0,2683,"PARK YOHO NAPOLI(PARK VISTA),Block 26,Phase 2B,18 CASTLE PEAK RD TAM MI|PARK YOHO NAPOLI(峻巒),第2B期,第26座,18 青山公路潭尾段",11276472.0,15384.0,733.0,8826840.0,14860.0,594.0,8659596.0,15436.0,561.0,8398484.0,15524.0,541.0,5025136.0,19784.0,254.0,0.00839175766105571,0.008392061159947284
2019-11-15,8367091.0,16062.8,5,41835455.0,80314.0,2683,"PARK YOHO NAPOLI(PARK VISTA),Block 26,Phase 2B,18 CASTLE PEAK RD TAM MI|PARK YOHO NAPOLI(峻巒),第2B期,第26座,18 青山公路潭尾段",11181915.0,15255.0,733.0,8754372.0,14738.0,594.0,8587788.0,15308.0,561.0,8328154.0,15394.0,541.0,4983226.0,19619.0,254.0,0.01130109124087153,0.011307545079077164
2019-10-15,8273590.4,15883.2,5,41367952.0,79416.0,2683,"PARK YOHO NAPOLI(PARK VISTA),Block 26,Phase 2B,18 CASTLE PEAK RD TAM MI|PARK YOHO NAPOLI(峻巒),第2B期,第26座,18 青山公路潭尾段",11057305.0,15085.0,733.0,8656362.0,14573.0,594.0,8491296.0,15136.0,561.0,8235643.000000001,15223.0,541.0,4927346.0,19399.0,254.0,-0.027555440840438594,-0.02756315280345789
2019-9-15,8508033.0,16333.4,5,42540165.0,81667.0,2683,"PARK YOHO NAPOLI(PARK VISTA),Block 26,Phase 2B,18 CASTLE PEAK RD TAM MI|PARK YOHO NAPOLI(峻巒),第2B期,第26座,18 青山公路潭尾段",11371029.0,15513.0,733.0,8900496.0,14984.0,594.0,8732526.0,15566.0,561.0,8468814.0,15654.0,541.0,5067300.0,19950.0,254.0,-0.024918060427890243,-0.02491821286147522
2019-8-15,8725454.4,16750.8,5,43627272.0,83754.0,2683,"PARK YOHO NAPOLI(PARK VISTA),Block 26,Phase 2B,18 CASTLE PEAK RD TAM MI|PARK YOHO NAPOLI(峻巒),第2B期,第26座,18 青山公路潭尾段",11662030.0,15910.0,733.0,9127404.0,15366.0,594.0,8955243.0,15963.0,561.0,8685755.0,16055.0,541.0,5196840.0,20460.0,254.0,-0.0064181701974770355,-0.006571143900934606
2019-7-15,8781817.6,16861.6,5,43909088.0,84308.0,2683,"PARK YOHO NAPOLI(PARK VISTA),Block 26,Phase 2B,18 CASTLE PEAK RD TAM MI|PARK YOHO NAPOLI(峻巒),第2B期,第26座,18 青山公路潭尾段",11785907.0,16079.0,733.0,9223038.0,15527.0,594.0,9050613.0,16133.0,561.0,8597572.0,15892.0,541.0,5251958.0,20677.0,254.0,0.01499141793177805,0.014988623093314724
2019-6-15,8652110.2,16612.6,5,43260551.0,83063.0,2683,"PARK YOHO NAPOLI(PARK VISTA),Block 26,Phase 2B,18 CASTLE PEAK RD TAM MI|PARK YOHO NAPOLI(峻巒),第2B期,第26座,18 青山公路潭尾段",11612186.0,15842.0,733.0,9085824.0,15296.0,594.0,8916534.0,15894.0,561.0,8471519.0,15659.0,541.0,5174488.0,20372.0,254.0,-0.026804885008316126,-0.026806950123607343
2019-5-15,8890416.8,17070.2,5,44452084.0,85351.0,2683,"PARK YOHO NAPOLI(PARK VISTA),Block 26,Phase 2B,18 CASTLE PEAK RD TAM MI|PARK YOHO NAPOLI(峻巒),第2B期,第26座,18 青山公路潭尾段",11931774.0,16278.0,733.0,9335304.0,15716.0,594.0,9162252.0,16332.0,561.0,8705772.0,16092.0,541.0,5316982.0,20933.0,254.0,0.010228923504847831,0.010226425367216185
2019-4-15,8800398.2,16897.4,5,44001991.0,84487.0,2683,"PARK YOHO NAPOLI(PARK VISTA),Block 26,Phase 2B,18 CASTLE PEAK RD TAM MI|PARK YOHO NAPOLI(峻巒),第2B期,第26座,18 青山公路潭尾段",11810829.0,16113.0,733.0,9239670.0,15555.0,594.0,9069687.0,16167.0,561.0,8618671.0,15931.0,541.0,5263134.0,20721.0,254.0,0.012303206520870136,0.012305295950155948
2019-3-15,8693441.0,16692.0,5,43467205.0,83460.0,2683,"PARK YOHO NAPOLI(PARK VISTA),Block 26,Phase 2B,18 CASTLE PEAK RD TAM MI|PARK YOHO NAPOLI(峻巒),第2B期,第26座,18 青山公路潭尾段",11667894.0,15918.0,733.0,9126216.0,15364.0,594.0,8959170.0,15970.0,561.0,8514799.0,15739.0,541.0,5199126.0,20469.0,254.0,0.0393692327976678,0.03936537192243983
2019-2-15,8364150.8,16059.8,5,41820754.0,80299.0,2683,"PARK YOHO NAPOLI(PARK VISTA),Block 26,Phase 2B,18 CASTLE PEAK RD TAM MI|PARK YOHO NAPOLI(峻巒),第2B期,第26座,18 青山公路潭尾段",11225895.0,15315.0,733.0,8779914.0,14781.0,594.0,8619765.0,15365.0,561.0,8192904.0,15144.0,541.0,5002276.0,19694.0,254.0,0.006645836871193245,0.006644185084431209
2019-1-15,8308931.0,15953.8,5,41544655.0,79769.0,2683,"PARK YOHO NAPOLI(PARK VISTA),Block 26,Phase 2B,18 CASTLE PEAK RD TAM MI|PARK YOHO NAPOLI(峻巒),第2B期,第26座,18 青山公路潭尾段",11151862.0,15214.0,733.0,8721108.0,14682.0,594.0,8562543.0,15263.0,561.0,8139886.000000001,15046.0,541.0,4969256.0,19564.0,254.0,0.011066604666072788,0.011065199756641553
2018-12-15,8217985.8,15779.2,5,41089929.0,78896.0,2683,"PARK YOHO NAPOLI(PARK VISTA),Block 26,Phase 2B,18 CASTLE PEAK RD TAM MI|PARK YOHO NAPOLI(峻巒),第2B期,第26座,18 青山公路潭尾段",11030184.0,15048.0,733.0,8624286.0,14519.0,594.0,8468856.0,15096.0,561.0,8051703.000000001,14883.0,541.0,4914900.0,19350.0,254.0,-0.0009222702080780021,-0.0009244133774011232
2018-11-15,8225572.0,15793.8,5,41127860.0,78969.0,2683,"PARK YOHO NAPOLI(PARK VISTA),Block 26,Phase 2B,18 CASTLE PEAK RD TAM MI|PARK YOHO NAPOLI(峻巒),第2B期,第26座,18 青山公路潭尾段",11040446.0,15062.0,733.0,8631414.0,14531.0,594.0,8476710.0,15110.0,561.0,8059817.999999999,14898.0,541.0,4919472.0,19368.0,254.0,-0.07186495074535171,-0.0718701518499365
2018-10-15,8862473.2,17016.8,5,44312366.0,85084.0,2683,"PARK YOHO NAPOLI(PARK VISTA),Block 26,Phase 2B,18 CASTLE PEAK RD TAM MI|PARK YOHO NAPOLI(峻巒),第2B期,第26座,18 青山公路潭尾段",11895124.0,16228.0,733.0,9298476.0,15654.0,594.0,9133080.0,16280.0,561.0,8685214.0,16054.0,541.0,5300472.0,20868.0,254.0,0.013670368474324901,0.013665010662758936
2018-9-15,8742953.8,16787.4,5,43714769.0,83937.0,2683,"PARK YOHO NAPOLI(PARK VISTA),Block 26,Phase 2B,18 CASTLE PEAK RD TAM MI|PARK YOHO NAPOLI(峻巒),第2B期,第26座,18 青山公路潭尾段",11734597.0,16009.0,733.0,9171954.0,15441.0,594.0,9010221.0,16061.0,561.0,8568899.0,15839.0,541.0,5229098.0,20587.0,254.0,-0.059741115237890385,-0.05974011426010972
2018-8-15,9298453.8,17854.0,5,46492269.0,89270.0,2683,"PARK YOHO NAPOLI(PARK VISTA),Block 26,Phase 2B,18 CASTLE PEAK RD TAM MI|PARK YOHO NAPOLI(峻巒),第2B期,第26座,18 青山公路潭尾段",12480791.0,17027.0,733.0,9753480.0,16420.0,594.0,9582441.0,17081.0,561.0,9114227.0,16847.0,541.0,5561330.0,21895.0,254.0,0.02017285128433599,0.02017027598422949
2018-7-15,9114586.6,17501.0,5,45572933.0,87505.0,2683,"PARK YOHO NAPOLI(PARK VISTA),Block 26,Phase 2B,18 CASTLE PEAK RD TAM MI|PARK YOHO NAPOLI(峻巒),第2B期,第26座,18 青山公路潭尾段",12233770.0,16690.0,733.0,9559836.0,16094.0,594.0,9392823.0,16743.0,561.0,8935156.0,16516.0,541.0,5451348.0,21462.0,254.0,0.012077120509885297,0.012074808295069461
2018-6-15,9005822.2,17292.2,5,45029111.0,86461.0,2683,"PARK YOHO NAPOLI(PARK VISTA),Block 26,Phase 2B,18 CASTLE PEAK RD TAM MI|PARK YOHO NAPOLI(峻巒),第2B期,第26座,18 青山公路潭尾段",12087903.0,16491.0,733.0,9444600.0,15900.0,594.0,9280623.0,16543.0,561.0,8829661.0,16321.0,541.0,5386324.0,21206.0,254.0,0.029113635014706762,0.029113848717490898
2018-5-15,8751047.4,16803.0,5,43755237.0,84015.0,2683,"PARK YOHO NAPOLI(PARK VISTA),Block 26,Phase 2B,18 CASTLE PEAK RD TAM MI|PARK YOHO NAPOLI(峻巒),第2B期,第26座,18 青山公路潭尾段",11746325.0,16025.0,733.0,9176112.0,15448.0,594.0,9018075.0,16075.0,561.0,8580801.0,15861.0,541.0,5233924.0,20606.0,254.0,0.02986818088205001,0.029860625896370507
