,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_H,npsf_H,nfa_H,lumpSum_change,npsf_change
2019-12-15,10008971.57142857,14847.714285714286,7,70062801.0,103934.0,4676,"SEA TO SKY(Block 1,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,1座(SEA TO SKY),1 康城路",17012292.0,15796.0,1077.0,11209641.0,15087.0,743.0,10491880.0,14840.0,707.0,6869103.0,14709.0,467.0,6724846.0,14431.0,466.0,6708924.0,14244.0,471.0,11046115.0,14827.0,745.0,-0.049991178261065805,-0.04998080473848743
2019-11-15,10535661.714285715,15628.857142857143,7,73749632.0,109402.0,4676,"SEA TO SKY(Block 1,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,1座(SEA TO SKY),1 康城路",17909433.0,16629.0,1077.0,11798840.0,15880.0,743.0,11043340.0,15620.0,707.0,7230561.0,15483.0,467.0,7078540.000000001,15190.0,466.0,7061702.999999999,14993.0,471.0,11627215.0,15607.0,745.0,0.04738681366796205,0.04740021636939806
2019-10-15,10058997.857142856,14921.57142857143,7,70412985.0,104451.0,4676,"SEA TO SKY(Block 1,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,1座(SEA TO SKY),1 康城路",17100606.0,15878.0,1077.0,11264623.0,15161.0,743.0,10543491.0,14913.0,707.0,6903194.0,14782.0,467.0,6757932.0,14502.0,466.0,6741894.0,14314.0,471.0,11101245.000000002,14901.0,745.0,-0.017235803190530752,-0.017227752582751443
2019-9-15,10235413.42857143,15183.142857142857,7,71647894.0,106282.0,4676,"SEA TO SKY(Block 1,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,1座(SEA TO SKY),1 康城路",17401089.0,16157.0,1077.0,11462261.0,15427.0,743.0,10728018.0,15174.0,707.0,7023680.0,15040.0,467.0,6876296.0,14756.0,466.0,6860115.0,14565.0,471.0,11296435.0,15163.0,745.0,-0.03780358575282705,-0.037788802781197894
2019-8-15,10637551.0,15779.42857142857,7,74462857.0,110456.0,4676,"SEA TO SKY(Block 1,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,1座(SEA TO SKY),1 康城路",18087138.0,16794.0,1077.0,11911776.0,16032.0,743.0,11149390.0,15770.0,707.0,7299677.0,15631.0,467.0,7146110.0,15335.0,466.0,7129056.0,15136.0,471.0,11739710.0,15758.0,745.0,0.0038522667108060737,0.0038625478274303404
2019-7-15,10596729.57142857,15718.714285714286,7,74177107.0,110031.0,4676,"SEA TO SKY(Block 1,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,1座(SEA TO SKY),1 康城路",18019287.0,16731.0,1077.0,11865710.0,15970.0,743.0,11105556.0,15708.0,707.0,7271190.0,15570.0,467.0,7118616.0,15276.0,466.0,7101738.0,15078.0,471.0,11695010.0,15698.0,745.0,0.004619125814816938,0.004629122384135043
2019-6-15,10548007.0,15646.285714285714,7,73836049.0,109524.0,4676,"SEA TO SKY(Block 1,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,1座(SEA TO SKY),1 康城路",17937435.0,16655.0,1077.0,11810728.0,15896.0,743.0,11054652.0,15636.0,707.0,7237566.0,15498.0,467.0,7085530.0,15205.0,466.0,7068768.0,15008.0,471.0,11641370.0,15626.0,745.0,-0.011629013035736824,-0.011614370414489539
2019-5-15,10672113.142857144,15830.142857142857,7,74704792.0,110811.0,4676,"SEA TO SKY(Block 1,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,1座(SEA TO SKY),1 康城路",18150681.0,16853.0,1077.0,11948926.0,16082.0,743.0,11184033.0,15819.0,707.0,7322560.000000001,15680.0,467.0,7168478.0,15383.0,466.0,7151664.0,15184.0,471.0,11778450.0,15810.0,745.0,0.024629343537676096,0.02464261276422608
2019-4-15,10415584.142857144,15449.42857142857,7,72909089.0,108146.0,4676,"SEA TO SKY(Block 1,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,1座(SEA TO SKY),1 康城路",17715573.0,16449.0,1077.0,11661385.0,15695.0,743.0,10914665.999999998,15438.0,707.0,7146034.0,15302.0,467.0,6996058.000000001,15013.0,466.0,6979278.0,14818.0,471.0,11496095.0,15431.0,745.0,0.035093383668850286,0.035107869599341424
2019-3-15,10062458.42857143,14925.42857142857,7,70437209.0,104478.0,4676,"SEA TO SKY(Block 1,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,1座(SEA TO SKY),1 康城路",17116761.0,15893.0,1077.0,11265366.0,15162.0,743.0,10544198.0,14914.0,707.0,6903661.0,14783.0,467.0,6758398.0,14503.0,466.0,6742365.0,14315.0,471.0,11106460.0,14908.0,745.0,-0.003473113038214737,-0.0034623858986465583
2019-2-15,10097528.285714285,14977.285714285714,7,70682698.0,104841.0,4676,"SEA TO SKY(Block 1,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,1座(SEA TO SKY),1 康城路",17178150.0,15950.0,1077.0,11304002.0,15214.0,743.0,10580255.0,14965.0,707.0,6927478.0,14834.0,467.0,6781698.0,14553.0,466.0,6765915.0,14365.0,471.0,11145200.0,14960.0,745.0,0.018869953465453282,0.0188827771190887
