,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_change,npsf_change
2019-12-15,,,2,,,1176,"ONTOLO(Block 9A),FO YIN RD|朗濤9A座,科研路",10640750.0,13730.0,775.0,,,401.0,,
2019-11-15,,,2,,,1176,"ONTOLO(Block 9A),FO YIN RD|朗濤9A座,科研路",10856200.0,14008.0,775.0,,,401.0,,
2019-10-15,,,2,,,1176,"ONTOLO(Block 9A),FO YIN RD|朗濤9A座,科研路",10668650.0,13766.0,775.0,,,401.0,,
2019-9-15,,,2,,,1176,"ONTOLO(Block 9A),FO YIN RD|朗濤9A座,科研路",10964700.0,14148.0,775.0,,,401.0,,
2019-8-15,,,2,,,1176,"ONTOLO(Block 9A),FO YIN RD|朗濤9A座,科研路",11107300.0,14332.0,775.0,,,401.0,,
2019-7-15,,,2,,,1176,"ONTOLO(Block 9A),FO YIN RD|朗濤9A座,科研路",11118150.0,14346.0,775.0,,,401.0,,
2019-6-15,,,2,,,1176,"ONTOLO(Block 9A),FO YIN RD|朗濤9A座,科研路",10934475.0,14109.0,775.0,,,401.0,,
2019-5-15,,,2,,,1176,"ONTOLO(Block 9A),FO YIN RD|朗濤9A座,科研路",11148375.0,14385.0,775.0,,,401.0,,
2019-4-15,,,2,,,1176,"ONTOLO(Block 9A),FO YIN RD|朗濤9A座,科研路",10980975.0,14169.0,775.0,,,401.0,,
2019-3-15,,,2,,,1176,"ONTOLO(Block 9A),FO YIN RD|朗濤9A座,科研路",10715150.0,13826.0,775.0,,,401.0,,
2019-2-15,,,2,,,1176,"ONTOLO(Block 9A),FO YIN RD|朗濤9A座,科研路",10350125.000000002,13355.0,775.0,,,401.0,,
2019-1-15,,,2,,,1176,"ONTOLO(Block 9A),FO YIN RD|朗濤9A座,科研路",10267200.000000002,13248.0,775.0,,,401.0,,
