,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_change,npsf_change
2019-12-15,18732586.333333332,17141.333333333332,3,56197759.0,51424.0,3300,"THE ENTRANCE(Block 3),LOK WO SHA LANE|峻源3座,落禾沙里",19294170.0,16282.0,1185.0,17081894.0,18527.0,922.0,19821695.0,16615.0,1193.0,-0.020464275918537944,-0.020476580506295528
2019-11-15,19123944.0,17499.666666666668,3,57371832.0,52499.0,3300,"THE ENTRANCE(Block 3),LOK WO SHA LANE|峻源3座,落禾沙里",19695885.0,16621.0,1185.0,17441474.0,18917.0,922.0,20234473.0,16961.0,1193.0,0.003027851552352523,0.0030186660552913303
2019-10-15,19066214.333333332,17447.0,3,57198643.0,52341.0,3300,"THE ENTRANCE(Block 3),LOK WO SHA LANE|峻源3座,落禾沙里",19636635.0,16571.0,1185.0,17390764.0,18862.0,922.0,20171244.0,16908.0,1193.0,0.00763156325026948,0.00762344787756275
2019-9-15,18921811.333333332,17315.0,3,56765434.0,51945.0,3300,"THE ENTRANCE(Block 3),LOK WO SHA LANE|峻源3座,落禾沙里",19487325.0,16445.0,1185.0,17260762.0,18721.0,922.0,20017347.0,16779.0,1193.0,0.006600582346745876,0.00658850886541984
2019-8-15,18797735.333333332,17201.666666666668,3,56393206.0,51605.0,3300,"THE ENTRANCE(Block 3),LOK WO SHA LANE|峻源3座,落禾沙里",19358160.0,16336.0,1185.0,17150122.0,18601.0,922.0,19884924.0,16668.0,1193.0,-0.03701433698091028,-0.037022523279031105
2019-7-15,19520265.0,17863.0,3,58560795.0,53589.0,3300,"THE ENTRANCE(Block 3),LOK WO SHA LANE|峻源3座,落禾沙里",20101155.000000004,16963.0,1185.0,17811196.0,19318.0,922.0,20648444.0,17308.0,1193.0,0.10175890335538229,0.10174753289473681
2019-6-15,17717365.333333332,16213.333333333334,3,53152096.0,48640.0,3300,"THE ENTRANCE(Block 3),LOK WO SHA LANE|峻源3座,落禾沙里",18244260.0,15396.0,1185.0,16168192.0,17536.0,922.0,18739644.0,15708.0,1193.0,-0.05236046629443292,-0.052369077306733014
2019-5-15,18696313.0,17109.333333333332,3,56088939.0,51328.0,3300,"THE ENTRANCE(Block 3),LOK WO SHA LANE|峻源3座,落禾沙里",19251510.0,16246.0,1185.0,17063454.0,18507.0,922.0,19773975.0,16575.0,1193.0,-0.03456077881040276,-0.03457096640710233
2019-4-15,19365603.333333332,17722.0,3,58096810.0,53166.0,3300,"THE ENTRANCE(Block 3),LOK WO SHA LANE|峻源3座,落禾沙里",19939995.0,16827.0,1185.0,17676584.0,19172.0,922.0,20480231.0,17167.0,1193.0,0.008205070661441827,0.008192058254636425
2019-3-15,19208000.333333332,17578.0,3,57624001.0,52734.0,3300,"THE ENTRANCE(Block 3),LOK WO SHA LANE|峻源3座,落禾沙里",19776465.0,16689.0,1185.0,17535518.0,19019.0,922.0,20312018.000000004,17026.0,1193.0,0.056991299192035605,0.056984225611833805
2019-2-15,18172335.333333332,16630.333333333332,3,54517006.0,49891.0,3300,"THE ENTRANCE(Block 3),LOK WO SHA LANE|峻源3座,落禾沙里",18709965.0,15789.0,1185.0,16591390.0,17995.0,922.0,19215651.0,16107.0,1193.0,-0.016506123640953607,-0.016519150781604375
2019-1-15,18477324.333333332,16909.666666666668,3,55431973.0,50729.0,3300,"THE ENTRANCE(Block 3),LOK WO SHA LANE|峻源3座,落禾沙里",19022805.0,16053.0,1185.0,16872600.0,18300.0,922.0,19536568.0,16376.0,1193.0,0.05655902429494164,0.05654600741450433
2018-12-15,17488208.333333332,16004.666666666666,3,52464625.0,48014.0,3300,"THE ENTRANCE(Block 3),LOK WO SHA LANE|峻源3座,落禾沙里",18003705.0,15193.0,1185.0,15971806.0,17323.0,922.0,18489114.0,15498.0,1193.0,-0.05809523070880329,-0.05810577526679228
2018-11-15,18566854.0,16992.0,3,55700562.0,50976.0,3300,"THE ENTRANCE(Block 3),LOK WO SHA LANE|峻源3座,落禾沙里",19112865.0,16129.0,1185.0,16959268.0,18394.0,922.0,19628429.0,16453.0,1193.0,-0.01854992408199041,-0.018559876780900986
2018-10-15,18917777.333333332,17313.333333333332,3,56753332.0,51940.0,3300,"THE ENTRANCE(Block 3),LOK WO SHA LANE|峻源3座,落禾沙里",19473105.0,16433.0,1185.0,17281968.0,18744.0,922.0,19998259.0,16763.0,1193.0,0.02428691662095539,0.024275769587252638
2018-9-15,18469217.0,16903.0,3,55407651.0,50709.0,3300,"THE ENTRANCE(Block 3),LOK WO SHA LANE|峻源3座,落禾沙里",19010955.0,16043.0,1185.0,16874444.0,18302.0,922.0,19522252.0,16364.0,1193.0,-0.03457789898831287,-0.03459239233903222
2018-8-15,19130717.0,17508.666666666668,3,57392151.0,52526.0,3300,"THE ENTRANCE(Block 3),LOK WO SHA LANE|峻源3座,落禾沙里",19691145.0,16617.0,1185.0,17482042.0,18961.0,922.0,20218964.0,16948.0,1193.0,-0.006157505784685879,-0.00616816771361528
2018-7-15,19249244.333333332,17617.333333333332,3,57747733.0,52852.0,3300,"THE ENTRANCE(Block 3),LOK WO SHA LANE|峻源3座,落禾沙里",19812015.0,16719.0,1185.0,17592682.0,19081.0,922.0,20343036.0,17052.0,1193.0,-0.02211424321540778,-0.022128478389579653
2018-6-15,19684553.333333332,18016.0,3,59053660.0,54048.0,3300,"THE ENTRANCE(Block 3),LOK WO SHA LANE|峻源3座,落禾沙里",20258760.0,17096.0,1185.0,17993752.0,19516.0,922.0,20801148.0,17436.0,1193.0,0.01797973489141058,0.017968131992315506
2018-5-15,19336881.333333332,17698.0,3,58010644.0,53094.0,3300,"THE ENTRANCE(Block 3),LOK WO SHA LANE|峻源3座,落禾沙里",19899705.0,16793.0,1185.0,17678428.0,19174.0,922.0,20432511.0,17127.0,1193.0,0.001787223135878202,0.0017735849056603747
