,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_1,npsf_1,nfa_1,lumpSum_2,npsf_2,nfa_2,lumpSum_3,npsf_3,nfa_3,lumpSum_5,npsf_5,nfa_5,lumpSum_6,npsf_6,nfa_6,lumpSum_change,npsf_change
2019-12-15,64758790.6,24572.4,5,323793953.0,122862.0,13176,"THE PAPILLONS,TONG CHUN ST|海翩匯,唐俊街",66416413.0,24773.0,2681.0,66254400.0,24768.0,2675.0,65141512.0,24968.0,2609.0,64790124.0,24881.0,2604.0,61191504.0,23472.0,2607.0,-0.04993065332524527,-0.04993079129903566
2019-11-15,68162172.4,25863.8,5,340810862.0,129319.0,13176,"THE PAPILLONS,TONG CHUN ST|海翩匯,唐俊街",69904394.0,26074.0,2681.0,69737250.0,26070.0,2675.0,68564520.0,26280.0,2609.0,68196156.0,26189.0,2604.0,64408542.0,24706.0,2607.0,0.0474481566183822,0.04744818201699319
2019-10-15,65074507.0,24692.2,5,325372535.0,123461.0,13176,"THE PAPILLONS,TONG CHUN ST|海翩匯,唐俊街",66738133.0,24893.0,2681.0,66578075.0,24889.0,2675.0,65459810.0,25090.0,2609.0,65105208.0,25002.0,2604.0,61491309.0,23587.0,2607.0,-0.01717889460542621,-0.017178929938942322
2019-9-15,66211955.2,25123.8,5,331059776.0,125619.0,13176,"THE PAPILLONS,TONG CHUN ST|海翩匯,唐俊街",67904368.0,25328.0,2681.0,67741700.0,25324.0,2675.0,66602552.0,25528.0,2609.0,66243156.0,25439.0,2604.0,62568000.00000001,24000.0,2607.0,-0.03773405813813269,-0.03773411467310128
2019-8-15,68808374.4,26109.0,5,344041872.0,130545.0,13176,"THE PAPILLONS,TONG CHUN ST|海翩匯,唐俊街",70566601.0,26321.0,2681.0,70397975.0,26317.0,2675.0,69214161.0,26529.0,2609.0,68841948.0,26437.0,2604.0,65021187.0,24941.0,2607.0,0.003914457219199141,0.003914300655203151
2019-7-15,68540077.2,26007.2,5,342700386.0,130036.0,13176,"THE PAPILLONS,TONG CHUN ST|海翩匯,唐俊街",70290458.0,26218.0,2681.0,70122450.0,26214.0,2675.0,68945434.0,26426.0,2609.0,68573736.0,26334.0,2604.0,64768308.0,24844.0,2607.0,0.004682191925597934,0.00468206752684841
2019-6-15,68220655.0,25886.0,5,341103275.0,129430.0,13176,"THE PAPILLONS,TONG CHUN ST|海翩匯,唐俊街",69963376.0,26096.0,2681.0,69793425.0,26091.0,2675.0,68624527.0,26303.0,2609.0,68253444.0,26211.0,2604.0,64468503.0,24729.0,2607.0,-0.011554627111635907,-0.01155464591463451
2019-5-15,69018133.8,26188.6,5,345090669.0,130943.0,13176,"THE PAPILLONS,TONG CHUN ST|海翩匯,唐俊街",70781081.0,26401.0,2681.0,70609300.0,26396.0,2675.0,69425490.0,26610.0,2609.0,69052872.0,26518.0,2604.0,65221926.0,25018.0,2607.0,0.024689526935265604,0.02468932920149003
2019-4-15,67355166.6,25557.6,5,336775833.0,127788.0,13176,"THE PAPILLONS,TONG CHUN ST|海翩匯,唐俊街",69073284.0,25764.0,2681.0,68908000.0,25760.0,2675.0,67753121.0,25969.0,2609.0,67388916.0,25879.0,2604.0,63652512.0,24416.0,2607.0,0.03515652745176978,0.035156503143023876
2019-3-15,65067615.2,24689.6,5,325338076.0,123448.0,13176,"THE PAPILLONS,TONG CHUN ST|海翩匯,唐俊街",66727409.0,24889.0,2681.0,66567375.0,24885.0,2675.0,65451983.0,25087.0,2609.0,65100000.0,25000.0,2604.0,61491309.00000001,23587.0,2607.0,-0.003390645347277288,-0.003390706235670282
2019-2-15,65288987.0,24773.6,5,326444935.0,123868.0,13176,"THE PAPILLONS,TONG CHUN ST|海翩匯,唐俊街",66955293.99999999,24974.0,2681.0,66792075.0,24969.0,2675.0,65676357.0,25173.0,2609.0,65321340.00000001,25085.0,2604.0,61699869.0,23667.0,2607.0,0.018927891316034673,0.018927834033907187
