,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_H,npsf_H,nfa_H,lumpSum_J,npsf_J,nfa_J,lumpSum_change,npsf_change
2019-12-15,9873406.625,14931.25,8,78987253.0,119450.0,5253,"SEA TO SKY(LOHAS PARK),Block 2,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第2座,1 康城路",13255008.0,16224.0,817.0,11151861.0,14889.0,749.0,10370646.0,14586.0,711.0,6852130.000000001,14579.0,470.0,6736392.0,14394.0,468.0,6847350.0,14325.0,478.0,11188080.0,14760.0,758.0,12585786.0,15693.0,802.0,-0.049933692712010314,-0.049918075815662655
2019-11-15,10392334.25,15715.75,8,83138674.0,125726.0,5253,"SEA TO SKY(LOHAS PARK),Block 2,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第2座,1 康城路",13951909.0,17077.0,817.0,11739077.0,15673.0,749.0,10916694.0,15354.0,711.0,7211210.0,15343.0,470.0,7089732.0,15149.0,468.0,7206328.0,15076.0,478.0,11776288.000000002,15536.0,758.0,13247435.999999998,16518.0,802.0,0.04740633664483962,0.0474198976956528
2019-10-15,9921970.0,15004.25,8,79375760.0,120034.0,5253,"SEA TO SKY(LOHAS PARK),Block 2,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第2座,1 康城路",13320368.0,16304.0,817.0,11208785.0,14965.0,749.0,10423971.0,14661.0,711.0,6884090.0,14647.0,470.0,6768216.0,14462.0,468.0,6879375.999999999,14392.0,478.0,11243414.0,14833.0,758.0,12647540.0,15770.0,802.0,-0.017193896594186908,-0.017186182276698325
2019-9-15,10095551.875,15266.625,8,80764415.0,122133.0,5253,"SEA TO SKY(LOHAS PARK),Block 2,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第2座,1 康城路",13553213.0,16589.0,817.0,11406521.0,15229.0,749.0,10607409.0,14919.0,711.0,7003940.0,14902.0,470.0,6886152.0,14714.0,468.0,6999353.999999999,14643.0,478.0,11439736.0,15092.0,758.0,12868090.0,16045.0,802.0,-0.037754009493569995,-0.037739416811767734
2019-8-15,10491653.875,15865.375,8,83933231.0,126923.0,5253,"SEA TO SKY(LOHAS PARK),Block 2,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第2座,1 康城路",14084263.0,17239.0,817.0,11855172.0,15828.0,749.0,11024766.0,15506.0,711.0,7277950.000000001,15485.0,470.0,7155252.0,15289.0,468.0,7273248.0,15216.0,478.0,11889230.0,15685.0,758.0,13373350.0,16675.0,802.0,0.003903651015044085,0.003915271933432551
2019-7-15,10450857.375,15803.5,8,83606859.0,126428.0,5253,"SEA TO SKY(LOHAS PARK),Block 2,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第2座,1 康城路",14029524.0,17172.0,817.0,11810232.0,15768.0,749.0,10982817.0,15447.0,711.0,7249280.0,15424.0,470.0,7126703.999999999,15228.0,468.0,7244090.0,15155.0,478.0,11842992.0,15624.0,758.0,13321220.0,16610.0,802.0,0.004661318181271357,0.004672600127145543
2019-6-15,10402368.625,15730.0,8,83218949.0,125840.0,5253,"SEA TO SKY(LOHAS PARK),Block 2,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第2座,1 康城路",13964164.0,17092.0,817.0,11757053.0,15697.0,749.0,10933758.000000002,15378.0,711.0,7214970.0,15351.0,470.0,7093008.0,15156.0,468.0,7209674.0,15083.0,478.0,11787658.0,15551.0,758.0,13258664.0,16532.0,802.0,-0.011593271314244258,-0.011577674097114188
2019-5-15,10524380.625,15914.25,8,84195045.0,127314.0,5253,"SEA TO SKY(LOHAS PARK),Block 2,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第2座,1 康城路",14127564.0,17292.0,817.0,11896367.000000002,15883.0,749.0,11063160.0,15560.0,711.0,7298630.0,15529.0,470.0,7175376.0,15332.0,468.0,7293324.0,15258.0,478.0,11926372.0,15734.0,758.0,13414252.0,16726.0,802.0,0.024687401442577084,0.024701195219123395
2019-4-15,10270820.75,15530.625,8,82166566.0,124245.0,5253,"SEA TO SKY(LOHAS PARK),Block 2,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第2座,1 康城路",13786875.0,16875.0,817.0,11610998.0,15502.0,749.0,10797957.0,15187.0,711.0,7121910.0,15153.0,470.0,7001748.0,14961.0,468.0,7116942.0,14889.0,478.0,11639090.0,15355.0,758.0,13091046.0,16323.0,802.0,0.03513818021905468,0.03515071734457531
2019-3-15,9922173.625,15003.25,8,79377389.0,120026.0,5253,"SEA TO SKY(LOHAS PARK),Block 2,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第2座,1 康城路",13318734.0,16302.0,817.0,11218521.999999998,14978.0,749.0,10432503.0,14673.0,711.0,6879390.0,14637.0,470.0,6763536.0,14452.0,468.0,6874596.0,14382.0,478.0,11244172.000000002,14834.0,758.0,12645936.0,15768.0,802.0,-0.0034158048737960023,-0.0034042977182902057
2019-2-15,9956182.0,15054.5,8,79649456.0,120436.0,5253,"SEA TO SKY(LOHAS PARK),Block 2,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第2座,1 康城路",13364486.000000002,16358.0,817.0,11258219.0,15031.0,749.0,10469475.0,14725.0,711.0,6902420.0,14686.0,470.0,6786000.0,14500.0,468.0,6897540.0,14430.0,478.0,11282072.0,14884.0,758.0,12689244.0,15822.0,802.0,0.018903351118616518,0.018917089678510912
2019-1-15,9771468.5,14775.0,8,78171748.0,118200.0,5253,"SEA TO SKY(LOHAS PARK),Block 2,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第2座,1 康城路",13116118.0,16054.0,817.0,11050746.0,14754.0,749.0,10276794.000000002,14454.0,711.0,6773640.0,14412.0,470.0,6659172.0,14229.0,468.0,6768958.0,14161.0,478.0,11072864.0,14608.0,758.0,12453456.000000002,15528.0,802.0,,
2018-12-15,,,8,,,5253,"SEA TO SKY(LOHAS PARK),Block 2,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第2座,1 康城路",,,817.0,,,749.0,,,711.0,,,470.0,,,468.0,,,478.0,,,758.0,,,802.0,,
2018-11-15,,,8,,,5253,"SEA TO SKY(LOHAS PARK),Block 2,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第2座,1 康城路",,,817.0,,,749.0,,,711.0,,,470.0,,,468.0,,,478.0,,,758.0,,,802.0,,
2018-10-15,,,8,,,5253,"SEA TO SKY(LOHAS PARK),Block 2,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第2座,1 康城路",,,817.0,,,749.0,,,711.0,,,470.0,,,468.0,,,478.0,,,758.0,,,802.0,,
2018-9-15,,,8,,,5253,"SEA TO SKY(LOHAS PARK),Block 2,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第2座,1 康城路",,,817.0,,,749.0,,,711.0,,,470.0,,,468.0,,,478.0,,,758.0,,,802.0,,
2018-8-15,,,8,,,5253,"SEA TO SKY(LOHAS PARK),Block 2,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第2座,1 康城路",,,817.0,,,749.0,,,711.0,,,470.0,,,468.0,,,478.0,,,758.0,,,802.0,,
