,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_1,npsf_1,nfa_1,lumpSum_2,npsf_2,nfa_2,lumpSum_3,npsf_3,nfa_3,lumpSum_4,npsf_4,nfa_4,lumpSum_5,npsf_5,nfa_5,lumpSum_6,npsf_6,nfa_6,lumpSum_7,npsf_7,nfa_7,lumpSum_change,npsf_change
2019-12-15,4264493.428571428,8079.857142857143,7,29851454.0,56559.0,3690,"KWUN TAK COURT(Block C),SHEUNG LOK ST|冠德苑C座,常樂街",3690180.0,7885.0,468.0,4564241.0,8107.0,563.0,4734280.0,8335.0,568.0,3751405.9999999995,7783.0,482.0,4560300.0,8100.0,563.0,4605903.0,8181.0,563.0,3945144.0,8168.0,483.0,-0.023629852261949913,-0.023632785526860767
2019-11-15,4367701.571428572,8275.42857142857,7,30573911.0,57928.0,3690,"KWUN TAK COURT(Block C),SHEUNG LOK ST|冠德苑C座,常樂街",3779568.0,8076.0,468.0,4674589.0,8303.0,563.0,4848448.0,8536.0,568.0,3842986.0,7973.0,482.0,4670648.0,8296.0,563.0,4717377.0,8379.0,563.0,4040295.0,8365.0,483.0,-0.04292107948198243,-0.04292370221062036
2019-10-15,4563575.142857143,8646.57142857143,7,31945026.0,60526.0,3690,"KWUN TAK COURT(Block C),SHEUNG LOK ST|冠德苑C座,常樂街",3948984.0,8438.0,468.0,4884025.0,8675.0,563.0,5065424.0,8918.0,568.0,4016024.0,8332.0,482.0,4880647.0,8669.0,563.0,4928502.0,8754.0,563.0,4221420.0,8740.0,483.0,0.014194810774641908,0.014192597060942669
2019-9-15,4499702.714285715,8525.57142857143,7,31497919.0,59679.0,3690,"KWUN TAK COURT(Block C),SHEUNG LOK ST|冠德苑C座,常樂街",3893292.0,8319.0,468.0,4815339.0,8553.0,563.0,4994424.0,8793.0,568.0,3961076.0,8218.0,482.0,4812524.0,8548.0,563.0,4859253.0,8631.0,563.0,4162011.0,8617.0,483.0,-0.06298668600551927,-0.06299163147069442
2019-8-15,4802175.857142857,9098.714285714286,7,33615231.0,63691.0,3690,"KWUN TAK COURT(Block C),SHEUNG LOK ST|冠德苑C座,常樂街",4155372.0,8879.0,468.0,5138501.0,9127.0,563.0,5329544.0,9383.0,568.0,4228104.0,8772.0,482.0,5136249.0,9123.0,563.0,5185793.0,9211.0,563.0,4441668.0,9196.0,483.0,0.0014171377624434545,0.00141507209006142
2019-7-15,4795380.142857143,9085.857142857143,7,33567661.0,63601.0,3690,"KWUN TAK COURT(Block C),SHEUNG LOK ST|冠德苑C座,常樂街",4149288.0,8866.0,468.0,5131182.0,9114.0,563.0,5322160.0,9370.0,568.0,4223284.0,8762.0,482.0,5128930.0,9110.0,563.0,5177911.0,9197.0,563.0,4434906.0,9182.0,483.0,0.0037710571498315026,0.0036294203973425976
2019-6-15,4777364.428571428,9053.0,7,33441551.0,63371.0,3690,"KWUN TAK COURT(Block C),SHEUNG LOK ST|冠德苑C座,常樂街",4165200.0,8900.0,468.0,5105847.0,9069.0,563.0,5296032.0,9324.0,568.0,4204004.0,8722.0,482.0,5104721.0,9067.0,563.0,5152576.0,9152.0,563.0,4413171.0,9137.0,483.0,-0.033033362040269854,-0.0330352783203125
2019-5-15,4940568.0,9362.285714285714,7,34583976.0,65536.0,3690,"KWUN TAK COURT(Block C),SHEUNG LOK ST|冠德苑C座,常樂街",4307472.0,9204.0,468.0,5280377.0,9379.0,563.0,5476656.0,9642.0,568.0,4348604.0,9022.0,482.0,5279251.0,9377.0,563.0,5328232.0,9464.0,563.0,4563384.0,9448.0,483.0,0.07837729174821906,0.07837361986408431
2019-4-15,4581483.714285715,8681.857142857143,7,32070386.0,60773.0,3690,"KWUN TAK COURT(Block C),SHEUNG LOK ST|冠德苑C座,常樂街",3994380.0,8535.0,468.0,4896411.000000001,8697.0,563.0,5077920.0,8940.0,568.0,4033376.0,8368.0,482.0,4895847.999999999,8696.0,563.0,4940888.0,8776.0,563.0,4231563.0,8761.0,483.0,0.09542816755620609,0.09542349357414515
2019-3-15,4182368.0,7925.571428571428,7,29276576.0,55479.0,3690,"KWUN TAK COURT(Block C),SHEUNG LOK ST|冠德苑C座,常樂街",3646187.9999999995,7791.0,468.0,4469094.0,7938.0,563.0,4635448.0,8161.0,568.0,3682962.0,7641.0,482.0,4469657.0,7939.0,563.0,4510193.0,8011.0,563.0,3863034.0,7998.0,483.0,0.0001482633578111514,0.00014421950208221013
2019-2-15,4181748.0,7924.428571428572,7,29272236.0,55471.0,3690,"KWUN TAK COURT(Block C),SHEUNG LOK ST|冠德苑C座,常樂街",3645720.0,7790.0,468.0,4468531.0,7937.0,563.0,4634312.0,8159.0,568.0,3683444.0,7642.0,482.0,4469094.0,7938.0,563.0,4509067.0,8009.0,563.0,3862068.0,7996.0,483.0,-0.001652961787886209,-0.0016557781257311444
