,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_change,npsf_change
2019-12-15,6639180.8,20683.6,5,33195904.0,103418.0,1608,"SABLIER,FUK CHAK ST|傲寓,福澤街",6840777.0,20667.0,331.0,6597712.0,21703.0,304.0,6424200.0,21414.0,300.0,6561660.0,19299.0,340.0,6771555.0,20335.0,333.0,-0.030541421227582966,-0.03054107765570524
2019-11-15,6848338.8,21335.2,5,34241694.0,106676.0,1608,"SABLIER,FUK CHAK ST|傲寓,福澤街",7056258.0,21318.0,331.0,6805648.0,22387.0,304.0,6626400.0,22088.0,300.0,6768380.0,19907.0,340.0,6985008.0,20976.0,333.0,0.0732842946499832,0.07328557630392774
2019-10-15,6380731.4,19878.4,5,31903657.0,99392.0,1608,"SABLIER,FUK CHAK ST|傲寓,福澤街",6574653.0,19863.0,331.0,6340832.0,20858.0,304.0,6173700.0,20579.0,300.0,6306320.0,18548.0,340.0,6508152.0,19544.0,333.0,-0.06140877925844068,-0.06135670371804425
2019-9-15,6798200.6,21177.8,5,33991003.0,105889.0,1608,"SABLIER,FUK CHAK ST|傲寓,福澤街",7011904.0,21184.0,331.0,6729040.0,22135.0,304.0,6583800.0,21946.0,300.0,6725540.0,19781.0,340.0,6940719.0,20843.0,333.0,-0.041746293254758315,-0.041745850753832636
2019-8-15,7094364.0,22100.4,5,35471820.0,110502.0,1608,"SABLIER,FUK CHAK ST|傲寓,福澤街",7317417.0,22107.0,331.0,7022400.0,23100.0,304.0,6870300.0,22901.0,300.0,7018620.0,20643.0,340.0,7243083.0,21751.0,333.0,0.024418285462453948,0.024418734008232468
2019-7-15,6925261.0,21573.6,5,34626305.0,107868.0,1608,"SABLIER,FUK CHAK ST|傲寓,福澤街",7142980.0,21580.0,331.0,6854896.0,22549.0,304.0,6706500.0,22355.0,300.0,6851340.0,20151.0,340.0,7070589.0,21233.0,333.0,0.006267656062453497,0.00626889063024727
2019-6-15,6882126.2,21439.2,5,34410631.0,107196.0,1608,"SABLIER,FUK CHAK ST|傲寓,福澤街",7098626.0,21446.0,331.0,6812032.0,22408.0,304.0,6664500.0,22215.0,300.0,6808840.0,20026.0,340.0,7026633.0,21101.0,333.0,0.0006721043178485875,0.0006721182928195457
2019-5-15,6877503.8,21424.8,5,34387519.0,107124.0,1608,"SABLIER,FUK CHAK ST|傲寓,福澤街",7093992.0,21432.0,331.0,6807776.0,22394.0,304.0,6659700.0,22199.0,300.0,6804080.0,20012.0,340.0,7021971.0,21087.0,333.0,-0.005487738042939783,-0.00548670101657156
2019-4-15,6915454.0,21543.0,5,34577270.0,107715.0,1608,"SABLIER,FUK CHAK ST|傲寓,福澤街",7133050.0,21550.0,331.0,6845168.0,22517.0,304.0,6696300.0,22321.0,300.0,6841820.0,20123.0,340.0,7060932.0,21204.0,333.0,,
2019-3-15,,,5,,,1608,"SABLIER,FUK CHAK ST|傲寓,福澤街",,,331.0,,,304.0,,,300.0,,,340.0,,,333.0,,
2019-2-15,,,5,,,1608,"SABLIER,FUK CHAK ST|傲寓,福澤街",,,331.0,,,304.0,,,300.0,,,340.0,,,333.0,,
2019-1-15,,,5,,,1608,"SABLIER,FUK CHAK ST|傲寓,福澤街",,,331.0,,,304.0,,,300.0,,,340.0,,,333.0,,
2018-12-15,,,5,,,1608,"SABLIER,FUK CHAK ST|傲寓,福澤街",,,331.0,,,304.0,,,300.0,,,340.0,,,333.0,,
2018-11-15,,,5,,,1608,"SABLIER,FUK CHAK ST|傲寓,福澤街",,,331.0,,,304.0,,,300.0,,,340.0,,,333.0,,
2018-10-15,,,5,,,1608,"SABLIER,FUK CHAK ST|傲寓,福澤街",,,331.0,,,304.0,,,300.0,,,340.0,,,333.0,,
2018-9-15,,,5,,,1608,"SABLIER,FUK CHAK ST|傲寓,福澤街",,,331.0,,,304.0,,,300.0,,,340.0,,,333.0,,
2018-8-15,,,5,,,1608,"SABLIER,FUK CHAK ST|傲寓,福澤街",,,331.0,,,304.0,,,300.0,,,340.0,,,333.0,,
2018-7-15,,,5,,,1608,"SABLIER,FUK CHAK ST|傲寓,福澤街",,,331.0,,,304.0,,,300.0,,,340.0,,,333.0,,
2018-6-15,,,5,,,1608,"SABLIER,FUK CHAK ST|傲寓,福澤街",,,331.0,,,304.0,,,300.0,,,340.0,,,333.0,,
2018-5-15,,,5,,,1608,"SABLIER,FUK CHAK ST|傲寓,福澤街",,,331.0,,,304.0,,,300.0,,,340.0,,,333.0,,
2018-4-15,,,5,,,1608,"SABLIER,FUK CHAK ST|傲寓,福澤街",,,331.0,,,304.0,,,300.0,,,340.0,,,333.0,,
2018-3-15,,,5,,,1608,"SABLIER,FUK CHAK ST|傲寓,福澤街",,,331.0,,,304.0,,,300.0,,,340.0,,,333.0,,
2018-2-15,,,5,,,1608,"SABLIER,FUK CHAK ST|傲寓,福澤街",,,331.0,,,304.0,,,300.0,,,340.0,,,333.0,,
2018-1-15,,,5,,,1608,"SABLIER,FUK CHAK ST|傲寓,福澤街",,,331.0,,,304.0,,,300.0,,,340.0,,,333.0,,
2017-12-15,,,5,,,1608,"SABLIER,FUK CHAK ST|傲寓,福澤街",,,331.0,,,304.0,,,300.0,,,340.0,,,333.0,,
2017-11-15,,,5,,,1608,"SABLIER,FUK CHAK ST|傲寓,福澤街",,,331.0,,,304.0,,,300.0,,,340.0,,,333.0,,
2017-10-15,,,5,,,1608,"SABLIER,FUK CHAK ST|傲寓,福澤街",,,331.0,,,304.0,,,300.0,,,340.0,,,333.0,,
2017-9-15,,,5,,,1608,"SABLIER,FUK CHAK ST|傲寓,福澤街",,,331.0,,,304.0,,,300.0,,,340.0,,,333.0,,
2017-8-15,,,5,,,1608,"SABLIER,FUK CHAK ST|傲寓,福澤街",,,331.0,,,304.0,,,300.0,,,340.0,,,333.0,,
2017-7-15,,,5,,,1608,"SABLIER,FUK CHAK ST|傲寓,福澤街",,,331.0,,,304.0,,,300.0,,,340.0,,,333.0,,
2017-6-15,,,5,,,1608,"SABLIER,FUK CHAK ST|傲寓,福澤街",,,331.0,,,304.0,,,300.0,,,340.0,,,333.0,,
2017-5-15,,,5,,,1608,"SABLIER,FUK CHAK ST|傲寓,福澤街",,,331.0,,,304.0,,,300.0,,,340.0,,,333.0,,
2017-4-15,,,5,,,1608,"SABLIER,FUK CHAK ST|傲寓,福澤街",,,331.0,,,304.0,,,300.0,,,340.0,,,333.0,,
2017-3-15,,,5,,,1608,"SABLIER,FUK CHAK ST|傲寓,福澤街",,,331.0,,,304.0,,,300.0,,,340.0,,,333.0,,
2017-2-15,,,5,,,1608,"SABLIER,FUK CHAK ST|傲寓,福澤街",,,331.0,,,304.0,,,300.0,,,340.0,,,333.0,,
2017-1-15,,,5,,,1608,"SABLIER,FUK CHAK ST|傲寓,福澤街",,,331.0,,,304.0,,,300.0,,,340.0,,,333.0,,
2016-12-15,,,5,,,1608,"SABLIER,FUK CHAK ST|傲寓,福澤街",,,331.0,,,304.0,,,300.0,,,340.0,,,333.0,,
2016-11-15,,,5,,,1608,"SABLIER,FUK CHAK ST|傲寓,福澤街",,,331.0,,,304.0,,,300.0,,,340.0,,,333.0,,
2016-10-15,,,5,,,1608,"SABLIER,FUK CHAK ST|傲寓,福澤街",,,331.0,,,304.0,,,300.0,,,340.0,,,333.0,,
2016-9-15,,,5,,,1608,"SABLIER,FUK CHAK ST|傲寓,福澤街",,,331.0,,,304.0,,,300.0,,,340.0,,,333.0,,
2016-8-15,,,5,,,1608,"SABLIER,FUK CHAK ST|傲寓,福澤街",,,331.0,,,304.0,,,300.0,,,340.0,,,333.0,,
