,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_change,npsf_change
2019-12-15,7429016.166666667,15019.166666666666,6,44574097.0,90115.0,3068,"CRESCENT GREEN(Block 10),KO PO PATH|山水盈10座,高埔徑",9637420.0,13130.0,734.0,5013000.0,16710.0,300.0,7577124.0,15124.0,501.0,7549569.0,15069.0,501.0,5016000.0,16720.0,300.0,9780984.0,13362.0,732.0,0.008414612745220929,0.008415115875697987
2019-11-15,7367025.5,14893.833333333334,6,44202153.0,89363.0,3068,"CRESCENT GREEN(Block 10),KO PO PATH|山水盈10座,高埔徑",9556680.0,13020.0,734.0,4971000.0,16570.0,300.0,7513998.000000001,14998.0,501.0,7486443.0,14943.0,501.0,4974300.0,16581.0,300.0,9699732.0,13251.0,732.0,0.011303789417820731,0.011294064392010528
2019-10-15,7284681.0,14727.5,6,43708086.0,88365.0,3068,"CRESCENT GREEN(Block 10),KO PO PATH|山水盈10座,高埔徑",9448782.0,12873.0,734.0,4915200.0,16384.0,300.0,7430331.0,14831.0,501.0,7403277.000000001,14777.0,501.0,4919100.0,16397.0,300.0,9591396.0,13103.0,732.0,-0.027582059560592898,-0.02757755499554304
2019-9-15,7491306.666666667,15145.166666666666,6,44947840.0,90871.0,3068,"CRESCENT GREEN(Block 10),KO PO PATH|山水盈10座,高埔徑",9716692.0,13238.0,734.0,5054400.0,16848.0,300.0,7641252.0,15252.0,501.0,7613196.0,15196.0,501.0,5058600.0,16862.0,300.0,9863700.0,13475.0,732.0,-0.024909837247353184,-0.024916034466108017
2019-8-15,7682681.0,15532.166666666666,6,46096086.0,93193.0,3068,"CRESCENT GREEN(Block 10),KO PO PATH|山水盈10座,高埔徑",9964050.0,13575.0,734.0,5183100.0,17277.0,300.0,7837142.999999999,15643.0,501.0,7808085.000000001,15585.0,501.0,5188200.0,17294.0,300.0,10115508.0,13819.0,732.0,-0.010490506943211408,-0.01049043862350163
2019-7-15,7764130.666666667,15696.833333333334,6,46584784.0,94181.0,3068,"CRESCENT GREEN(Block 10),KO PO PATH|山水盈10座,高埔徑",10069012.0,13718.0,734.0,5237700.0,17459.0,300.0,7920309.0,15809.0,501.0,7891251.0,15751.0,501.0,5243400.0,17478.0,300.0,10223112.0,13966.0,732.0,0.01498044881713212,0.01497990106799163
2019-6-15,7649537.166666667,15465.166666666666,6,45897223.0,92791.0,3068,"CRESCENT GREEN(Block 10),KO PO PATH|山水盈10座,高埔徑",9919276.0,13514.0,734.0,5160000.0,17200.0,300.0,7804077.000000001,15577.0,501.0,7774517.999999999,15518.0,501.0,5166300.0,17221.0,300.0,10073052.0,13761.0,732.0,-0.026785150480629683,-0.02678693166920143
2019-5-15,7860070.333333333,15890.833333333334,6,47160422.0,95345.0,3068,"CRESCENT GREEN(Block 10),KO PO PATH|山水盈10座,高埔徑",10191590.0,13885.0,734.0,5301900.0,17673.0,300.0,8019006.000000001,16006.0,501.0,7988946.0,15946.0,501.0,5308500.0,17695.0,300.0,10350480.0,14140.0,732.0,0.0102421485490376,0.01023532777418712
2019-4-15,7780382.5,15729.833333333334,6,46682295.0,94379.0,3068,"CRESCENT GREEN(Block 10),KO PO PATH|山水盈10座,高埔徑",10087362.0,13743.0,734.0,5247900.0,17493.0,300.0,7937844.000000001,15844.0,501.0,7908285.000000001,15785.0,501.0,5255100.0,17517.0,300.0,10245804.0,13997.0,732.0,0.012293821141289518,0.012291785097551244
2019-3-15,7685893.5,15538.833333333334,6,46115361.0,93233.0,3068,"CRESCENT GREEN(Block 10),KO PO PATH|山水盈10座,高埔徑",9964050.0,13575.0,734.0,5183700.0,17279.0,300.0,7842153.0,15653.0,501.0,7812594.0,15594.0,501.0,5191500.0,17305.0,300.0,10121364.0,13827.0,732.0,0.039382635663953725,0.0393868450390189
2019-2-15,7394671.833333333,14950.0,6,44368031.0,89700.0,3068,"CRESCENT GREEN(Block 10),KO PO PATH|山水盈10座,高埔徑",9586040.0,13060.0,734.0,4986900.0,16623.0,300.0,7545060.0,15060.0,501.0,7516503.0,15003.0,501.0,4995000.0,16650.0,300.0,9738528.0,13304.0,732.0,0.006663856867601181,0.006654920488850413
2019-1-15,7345721.0,14851.166666666666,6,44074326.0,89107.0,3068,"CRESCENT GREEN(Block 10),KO PO PATH|山水盈10座,高埔徑",9521448.0,12972.0,734.0,4953600.0,16512.0,300.0,7495461.000000001,14961.0,501.0,7467405.000000001,14905.0,501.0,4962300.0,16541.0,300.0,9674112.0,13216.0,732.0,0.009710690267797917,0.010157463354910412
2018-12-15,7275075.0,14701.833333333334,6,43650450.0,88211.0,3068,"CRESCENT GREEN(Block 10),KO PO PATH|山水盈10座,高埔徑",9475206.0,12909.0,734.0,4899000.0,16330.0,300.0,7413798.000000001,14798.0,501.0,7385742.0,14742.0,501.0,4908000.0,16360.0,300.0,9568704.0,13072.0,732.0,,
